	1	2	3	4	5	6	7	8	9	10
abcinformation.org - backlinks	Agricultural Biotechnology Council, UK (01.12.2006): abc welcomes Defra approval of GM field trials in the UK - 25% - 341	abcinformation - 23% - 322	Agricultural Biotechnology Council, UK: abc welcomes Defra approval of GM field trials in the UK - 15% - 201	Agricultural Biotechnology Council - 8% - 106	abcinformation.org - 5% - 65	promotion of GM crops - 5% - 65	http://www.abcinformation.org/index.php?page=about - 2% - 32	www.abcinformation.org - 1% - 15	http://www.abcinformation.org/index.php - 1% - 15	http://www.abcinformation.org/ - 1% - 11
activ8social.com - backlinks	activ8social.com - 89% - 4147	The Social Grammys - 1% - 68	Visit website - 1% - 60	activ8social The Social Grammys infographic - 1% - 60	a8s.co - 1% - 44	activ8social - 1% - 37	Activ8Social - 1% - 33	activ8social, - 0% - 21	SXSW,SXSWi,SXSWedu,startups,SXSW13 - 0% - 21	an awesome infographic - 0% - 21
advicebeast.com - backlinks	Home Page Home Page - 15% - 1179	nan - 7% - 591	advicebeast.com - 6% - 484	advicebeast - 4% - 310	No Insert Key on HP Laptop - Advice Beast - 2% - 178	http://advicebeast.com/cheapest-laptops-with-backlit-keyboard/ - 2% - 122	https://advicebeast.com/does-facetime-do-group-calls/ - 2% - 121	http://advicebeast.com/best-projector-for-daylight-viewing/ - 1% - 118	https://advicebeast.com/does-facetime-edit-your-eyes/ - 1% - 113	https://advicebeast.com/best-vacuum-for-pet-hair/ - 1% - 50
aftertheharvestkc.org - backlinks	aftertheharvestkc.org - 24% - 200	After the Harvest - 20% - 165	aftertheharvestkc - 18% - 152	nan - 3% - 28	Donate - 2% - 17	After the Harvest KC - 2% - 13	http://aftertheharvestkc.org/ - 1% - 11	After The Harvest - 1% - 10	Visit Website - 1% - 9	Fall gleaning procures unique unusual fruit: the jujube After the - 1% - 9
agil8.com - backlinks	agil8 - 35% - 323	agil8.com - 20% - 182	Changes to the Renewal of Scrum Alliance Certifications Blog Agil8 - 5% - 47	Agil8 - 5% - 46	nan - 2% - 23	SAFe and LeSS: Much Ado about Nothing - Agil8 - 2% - 22	How to become a Certified Scrum Professional (CSP) Blog Agil8 - 2% - 18	www.agil8.com - 2% - 17	component teams - 2% - 14	Which is the best SAFe Training and Certification for you? | Agil8 - 1% - 10
ajblive.com - backlinks	ajblive.com - 27% - 121	http://ajblive.com - 23% - 103	ajblive - 8% - 36	nan - 4% - 16	www.ajblive.com - 4% - 16	AJBLIVE.COM - 3% - 15	Anthony Brown and Group Therapy - 3% - 15	Anthony Brown - 3% - 14	http://www.ajblive.com/ - 3% - 13	website - 3% - 12
alphaclone.com - backlinks	nan - 43% - 983	AlphaClone - 19% - 442	alphaclone.com - 9% - 207	Take a tour of AlphaClone… - 4% - 97	tour-ss-full-berkshire.jpg (JPEG Image, 370x713 pixels) - 4% - 97	https://blog.alphaclone.com - 2% - 40	www.alphaclone.com - 1% - 31	Alpha Clone - 1% - 18	here - 1% - 17	visit AlphaClone - 1% - 17
artintheworld.net - backlinks	http://www.artintheworld.net/ - 26% - 664	www.artintheworld.net - 6% - 158	https://www.artintheworld.net/ - 6% - 141	http://www.artintheworld.net - 5% - 120	artintheworld.net - 4% - 106	http:// www.artintheworld.net/ - 2% - 59	artintheworld - 2% - 57	Event website - 2% - 46	nan - 1% - 33	https://www.artintheworld.net/drupal/sites/default/files/ESPIRE/Solo_ex… - 1% - 33
axcellahealth.com - backlinks	https://www.axcellahealth.com - 15% - 182	https://axcellahealth.com/ - 14% - 170	axcellahealth.com - 10% - 124	http://www.axcellahealth.com - 9% - 108	www.axcellahealth.com - 8% - 99	Link - 6% - 70	AXCELLA HEALTH INC - 5% - 65	Axcella Health Inc. - 3% - 37	Website - 3% - 35	nan - 3% - 35
backyardsodas.com - backlinks	backyardsodas - 44% - 258	backyardsodas.com - 14% - 82	Backyard Soda Co. - 4% - 22	Visit Website - 3% - 18	Backyard Soda - 3% - 17	nan - 3% - 17	Backyard Soda Co - 2% - 13	Backyard Beverage Co., - 2% - 12	https://www.backyardsodas.com/ - 2% - 12	cbd simple syrup - 1% - 8
