Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
58,Data on the Web Best Practices,https://www.w3.org/TR/dwbp/,https://guide.dhcuration.org/representation/,Digital Humanities Curation Guide,105,329,false,false,false,true,false,false,false,false,2024-11-12,2025-05-23,false,false
58,Data on the Web Best Practices,https://www.w3.org/TR/dwbp/,https://guide.dhcuration.org/preservation/,focusing on preservation planning and meta-data,105,329,false,false,false,true,false,false,false,false,2024-07-21,2025-05-23,false,false
47,cakuewa,https://checkaddd.blogspot.com/,https://dhcuration.org/,dhcuration,50175,7,true,false,false,true,false,false,false,false,2024-07-19,2025-05-29,false,false
47,rtpteam,https://rtpteamx.blogspot.com/,https://guide.dhcuration.org/,guide,50176,3,true,false,false,true,false,false,false,false,2024-11-10,2025-05-30,false,false
46,Data curation - Wikipedia,https://en.wikipedia.org/wiki/Data_curation,http://guide.dhcuration.org/intro/,http://guide.dhcuration.org/intro/,48,246,true,false,false,true,false,false,false,false,2024-05-20,2025-05-16,false,false
46,Humanities Data: A Necessary Contradiction – Miriam Posner's Blog,https://miriamposner.com/blog/humanities-data-a-necessary-contradiction/,http://www.dhcuration.org/,their important work,40,36,false,false,false,true,false,false,false,false,2024-10-22,2025-05-24,false,false
42,rtpteam,https://rtpteamx.blogspot.com/%C2%A0,https://guide.dhcuration.org/,guide,50176,4,true,false,false,true,false,false,false,false,2024-12-09,2025-04-08,false,false
39,Digital Humanities Data Curation · GitHub,https://github.com/dhdc,http://www.dhcuration.org/,http://www.dhcuration.org,3,90,true,false,false,true,false,false,false,false,2024-06-14,2025-04-10,false,false
36,Welcome - Digital Humanities Data Curation,https://archive.mith.umd.edu/dhcuration-guide/guide.dhcuration.org/index.html,http://guide.dhcuration.org/about-2/,About This Site,3,12,false,false,false,true,false,false,false,false,2024-07-21,2025-05-26,false,false
34,rtpteam,https://rtpteamx.blogspot.com/files/textes/droits_usage.html,https://guide.dhcuration.org/,guide,50176,5,true,false,false,true,false,false,false,false,2025-03-13,2025-03-13,false,false
32,An Introduction to Humanities Data Curation - Digital Humanities Data Curation,https://archive.mith.umd.edu/dhcuration-guide/guide.dhcuration.org/glossary/intro/index.html,http://dev.dhcuration.org/glossary/#algorithm,algorithmic,10,14,false,false,false,true,false,false,false,false,2024-10-15,2025-05-19,false,false
32,dlfforum.md · GitHub,https://gist.github.com/edsu/c8027057f20dc8c29eb6,http://www.dhcuration.org/,DH Curation - A community of practice,291,33,true,false,false,true,false,false,false,false,2024-08-02,2025-04-13,false,false
28,"Curación de datos - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Curaci%C3%B3n_de_datos,https://guide.dhcuration.org/contents/intro/,«An Introduction to Humanities Data Curation»,38,132,true,false,false,true,false,false,false,false,2024-12-10,2025-04-23,false,false
26,Data curation - Wikipedia,https://it.wikipedia.org/wiki/Data_curation,http://guide.dhcuration.org/intro/,"""An Introduction to Humanities Data Curation"" di Julia Flanders e Trevor Muñoz",22,98,true,false,false,true,false,false,false,false,2024-05-08,2025-03-20,false,false
25,Humanities Data: A Necessary Contradiction – Miriam Posner's Blog,http://miriamposner.com/blog/humanities-data-a-necessary-contradiction/,http://www.dhcuration.org/,their important work,40,36,false,false,false,true,false,false,false,false,2024-10-28,2025-05-31,false,false
25,Курација на податоци — Википедија,https://mk.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%BE%D1%86%D0%B8,http://guide.dhcuration.org/intro/,http://guide.dhcuration.org/intro/,37,118,true,false,false,true,false,false,false,false,2024-03-21,2025-04-28,false,false
23,cakuewa,https://checkaddd.blogspot.com/OPS_Page/index.html,https://dhcuration.org/,dhcuration,50175,5,true,false,false,true,false,false,false,false,2024-08-06,2024-12-16,false,false
23,Exploring the “Flute Girls” of Ancient Greece through Multimodality – Classics@ Journal,https://classics-at.chs.harvard.edu/classics17-tulley/,https://guide.dhcuration.org/contents/classics-digital-classics-and-issues-for-data-curation/,https://guide.dhcuration.org/contents/classics-digital-classics-and-issues-for-data-curation/,47,147,false,false,false,true,false,false,false,false,2024-05-12,2025-05-29,false,false
23,rtpteam,https://rtpteamx.blogspot.com/hot/,https://guide.dhcuration.org/,guide,50176,5,true,false,false,true,false,false,false,false,2024-12-18,2024-12-18,false,false
22,cakuewa,https://checkaddd.blogspot.com/%C2%A0,https://dhcuration.org/,dhcuration,50175,5,true,false,false,true,false,false,false,false,2025-03-16,2025-04-21,false,false
21,"Classics, “Digital Classics” and Issues for Data Curation - Digital Humanities Data Curation",https://archive.mith.umd.edu/dhcuration-guide/guide.dhcuration.org/research-practices/classics/index.html,https://guide.dhcuration.org/glossary.html#ontology,ontology,121,14,false,false,false,true,false,false,false,false,2024-04-29,2025-05-19,false,false
21,"Classics, “Digital Classics” and Issues for Data Curation - Digital Humanities Data Curation",https://archive.mith.umd.edu/dhcuration-guide/guide.dhcuration.org/research-practices/classics/index.html,https://guide.dhcuration.org/glossary.html#unicode,Unicode,121,14,false,false,false,true,false,false,false,false,2024-04-29,2025-05-19,false,false
21,"Classics, “Digital Classics” and Issues for Data Curation - Digital Humanities Data Curation",https://archive.mith.umd.edu/dhcuration-guide/guide.dhcuration.org/research-practices/classics/index.html,https://guide.dhcuration.org/glossary.html#fedora,Fedora,121,14,false,false,false,true,false,false,false,false,2024-11-13,2025-05-19,false,false
