Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,Canada and the Changing Nature of Work – Policy Horizons Canada,https://horizons.service.canada.ca/en/2016/05/12/canada-and-the-changing-nature-of-work/index.shtml,http://dynamicsofvirtualwork.com/resources/wp-content/uploads/2014/04/Mandl-presentation.pdf,"New forms of employment: Status quo and first findings on crowd employment and ICT based, mobile work (link is external)",63,63,false,false,false,true,false,false,false,false,2024-01-10,2025-05-17,false,false
23,Le Canada et le changement de la nature du travail – Horizons de politiques Canada,https://horizons.service.canada.ca/fr/2016/05/12/le-canada-et-le-changement-de-la-nature-du-travail/index.shtml,http://dynamicsofvirtualwork.com/resources/wp-content/uploads/2014/04/Mandl-presentation.pdf,"New forms of employment: Status quo and first findings on crowd employment and ICT based, mobile work",61,63,false,false,false,true,false,false,false,false,2024-01-09,2025-05-17,false,false
22,TagTeam :: Data & Society,http://tagteam.harvard.edu/hubs/107/items?page=505,http://dynamicsofvirtualwork.com/,http://dynamicsofvirtualwork.com/,25,120,false,false,false,true,false,false,false,false,2024-11-08,2025-04-06,false,true
22,TagTeam :: Data & Society,https://tagteam.harvard.edu/hubs/107/items?page=505,http://dynamicsofvirtualwork.com/,http://dynamicsofvirtualwork.com/,25,120,false,false,false,true,false,false,false,false,2024-11-05,2025-04-02,false,true
22,TagTeam :: Data & Society,https://tagteam.harvard.edu/remix/work/items?page=23,http://dynamicsofvirtualwork.com/,http://dynamicsofvirtualwork.com/,25,122,false,false,false,true,false,false,false,false,2023-11-17,2025-01-24,false,false
22,2014 – InternetActu,https://www.lemonde.fr/blog/internetactu/2014/,http://dynamicsofvirtualwork.com/,Dynamique du travail virtuel,409,204,false,false,false,true,false,false,false,false,2024-11-18,2025-02-12,false,false
22,2014 – InternetActu,https://www.lemonde.fr/blog/internetactu/2014/,http://dynamicsofvirtualwork.com/wp-content/uploads/2013/03/COST-Action-IS1202-Working-Paper-12.pdf,à l’étude (.pdf),409,204,false,false,false,true,false,false,false,false,2024-07-23,2025-02-12,false,false
22,novembre 2014 – InternetActu,https://www.lemonde.fr/blog/internetactu/2014/11/,http://dynamicsofvirtualwork.com/,Dynamique du travail virtuel,124,140,false,false,false,true,false,false,false,false,2023-11-26,2025-02-11,false,false
22,novembre 2014 – InternetActu,https://www.lemonde.fr/blog/internetactu/2014/11/,http://dynamicsofvirtualwork.com/wp-content/uploads/2013/03/COST-Action-IS1202-Working-Paper-12.pdf,à l’étude (.pdf),124,140,false,false,false,true,false,false,false,false,2024-08-05,2025-02-11,false,false
22,29 novembre 2014 – InternetActu,https://www.lemonde.fr/blog/internetactu/2014/11/29/,http://dynamicsofvirtualwork.com/wp-content/uploads/2013/03/COST-Action-IS1202-Working-Paper-12.pdf,à l’étude (.pdf),55,134,false,false,false,true,false,false,false,false,2024-07-24,2025-02-13,false,false
