Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
44,"Miami, bro.",http://miamibro.blogspot.com/,http://www.finsnation.com/,finsnation,100,67,false,false,false,true,false,false,false,true,2024-06-15,2025-05-18,false,false
24,"Some N.F.L. Fans Want Andrew Luck Later, Not Wins Now - The New York Times",https://www.nytimes.com/2011/10/16/sports/football/some-nfl-fans-want-andrew-luck-later-not-wins-now.html,http://www.finsnation.com/,Fins Nation,11,104,false,false,false,true,false,false,false,false,2024-08-01,2025-04-17,false,false
21,'Fins fans employ airplane signage to call for Ireland's job,https://www.nfl.com/news/fins-fans-employ-airplane-signage-to-call-for-ireland-s-job-09000d5d8251ae5c,http://www.finsnation.com/,Finsnation.com,4,17,false,false,false,true,false,false,false,false,2024-04-03,2025-05-25,false,false
20,Thursday morning one-liners - NBC Sports,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/thursday-morning-one-liners-58,http://www.finsnation.com/2010/04/yes-this-is-happening.html,aren’t too thrilled,58,99,false,false,false,true,false,false,false,false,2024-09-10,2025-04-02,false,false
19,"Frenz of the Family: Links to the Best in AFC East Coverage, Weekend Edition",https://bleacherreport.com/articles/1173130-frenz-of-the-family-links-to-the-best-in-afc-east-coverage-weekend-edition,http://www.finsnation.com/fins_nation/2012/05/dolphins-draft-rundown-part-2.html,part two,15,37,false,false,false,true,false,false,false,false,2024-07-07,2025-04-04,false,false
19,"Frenz of the Family: Links to the Best in AFC East Coverage, Weekend Edition",https://bleacherreport.com/articles/1173130-frenz-of-the-family-links-to-the-best-in-afc-east-coverage-weekend-edition,http://www.finsnation.com/fins_nation/2012/05/dolphins-draft-rundown-part-1.html,Here's part one,15,37,false,false,false,true,false,false,false,false,2024-07-07,2025-04-04,false,false
16,muthafucka - definition and meaning,http://wordnik.com/words/muthafucka,http://finsnation.com/2008/11/joey-porter-thinks-greg-camarillo-needs-to-work-on-his-trash-talking.html,MVN,12,32,false,false,false,true,false,false,false,false,2024-07-05,2024-12-13,false,false
16,Fins - definition and meaning,http://www.wordnik.com/words/Fins,http://finsnation.com/2008/11/joey-porter-thinks-greg-camarillo-needs-to-work-on-his-trash-talking.html,MVN,12,33,false,false,false,true,false,false,false,false,2024-07-20,2025-03-22,false,false
16,paisan - definition and meaning,http://www.wordnik.com/words/paisan,http://finsnation.com/2009/01/mike-mikey-bats-maser-wacked-could-be-replaced-by-dave-davey-cueballs-deguglielmo.html,MVN,13,33,false,false,false,true,false,false,false,false,2024-07-26,2025-03-08,false,false
16,Deadspin | NFL Season Preview: Miami Dolphins,https://deadspin.com/nfl-season-preview-miami-dolphins-5042545/,http://www.finsnation.com/,FinsNation,6,249,false,false,false,true,false,false,false,false,2024-05-26,2025-05-02,false,false
16,blowie - definition and meaning,https://www.wordnik.com/words/blowie,http://finsnation.com/2009/03/friday-link-dump-1.html,MVN,11,33,false,false,false,true,false,false,false,false,2024-07-23,2025-03-04,false,false
15,Bizarro Superman - definition and meaning,https://wordnik.com/words/Bizarro%20Superman,http://finsnation.com/2009/11/jason-taylor-bad-motherfker-or-baddest-motherfker.html,unknown title,5,34,false,false,false,true,false,false,false,false,2024-06-13,2025-04-12,false,false
15,blowie - definition and meaning,https://wordnik.com/words/blowie,http://finsnation.com/2009/03/friday-link-dump-1.html,MVN,11,34,false,false,false,true,false,false,false,false,2024-05-24,2025-04-19,false,false
15,Dolphins Could Make a Play for Cam Newton – NBC 6 South Florida,https://www.nbcmiami.com/news/sports/could-the-dolphins-make-a-play-for-cam-newton/1889489/,http://www.finsnation.com/fins_nation/2009/08/the-robot-chad-henne-is-just-biding-his-time.html,The Robot,13,74,false,false,false,true,false,false,false,false,2024-05-19,2025-04-24,false,false
15,Dolphins Fans to Fly ‘Fire Jeff Ireland’ Sign at Jets Game – NBC 6 South Florida,https://www.nbcmiami.com/news/sports/dolphins-fans-to-fly-fire-jeff-ireland-sign-at-jets-game/1888218/,http://www.finsnation.com/fins_nation/2011/12/hey-ross-fire-that-giner-asshle.html,the banner will read,14,71,false,false,false,true,false,false,false,false,2024-04-27,2025-04-30,false,false
15,Dolphins Fans to Fly ‘Fire Jeff Ireland’ Sign at Jets Game – NBC 6 South Florida,https://www.nbcmiami.com/news/sports/dolphins-fans-to-fly-fire-jeff-ireland-sign-at-jets-game/1888218/,http://www.finsnation.com/,FinsNation.com,14,71,false,false,false,true,false,false,false,false,2024-04-27,2025-04-30,false,false
15,Henne: Tebow “Not An NFL Quarterback” – NBC 6 South Florida,https://www.nbcmiami.com/news/sports/henne-tebow-is-not-an-nfl-quarterback/1851501/,http://www.finsnation.com/2010/03/this-is-what-happens-when-the-robot-tries-to-be-human.html,like Fins Nation pointed out,19,73,false,false,false,true,false,false,false,false,2024-06-21,2025-05-02,false,false
14,blowie - definition and meaning,http://wordnik.com/words/blowie,http://finsnation.com/2009/03/friday-link-dump-1.html,MVN,11,34,false,false,false,true,false,false,false,false,2024-06-09,2025-05-01,false,false
14,muthafucka - definition and meaning,https://wordnik.com/words/muthafucka,http://finsnation.com/2008/11/joey-porter-thinks-greg-camarillo-needs-to-work-on-his-trash-talking.html,MVN,12,32,false,false,false,true,false,false,false,false,2024-05-29,2025-05-15,false,false
14,paisan - definition and meaning,https://wordnik.com/words/paisan,http://finsnation.com/2009/01/mike-mikey-bats-maser-wacked-could-be-replaced-by-dave-davey-cueballs-deguglielmo.html,MVN,13,33,false,false,false,true,false,false,false,false,2025-02-24,2025-05-17,false,false
14,"A Feeling of Nothingness | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/a-feeling-of-nothingness-6537292,http://www.finsnation.com/,FinsNation.com,21,90,false,false,false,true,false,false,false,false,2024-08-04,2025-05-19,false,false
14,"Across the Pond For Yet Another Ass-Whuppin' | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/across-the-pond-for-yet-another-ass-whuppin-6520980,http://www.finsnation.com/,site,24,89,false,false,false,true,false,false,false,false,2024-09-21,2025-05-28,false,false
14,"Anyone But This Guy | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/anyone-but-this-guy-6551498,http://www.finsnation.com/,FinsNation.com,20,91,false,false,false,true,false,false,false,false,2024-12-02,2025-05-07,false,false
14,"Arrows Going Up | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/arrows-going-up-6551928,http://finsnation.com/,Finsnation.com,21,90,false,false,false,true,false,false,false,false,2024-09-01,2025-05-19,false,false
14,"Bill Parcells Is Good At Drafting | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/bill-parcells-is-good-at-drafting-6532159,http://finsnation.com/,Finsnation.com,20,90,false,false,false,true,false,false,false,false,2024-05-04,2025-05-12,false,false
14,"Bowles To Be the New Defensive Coordinator? | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/bowles-to-be-the-new-defensive-coordinator-6561072,http://finsnation.com/,FinsNation.com,20,90,false,false,false,true,false,false,false,false,2024-09-18,2025-05-05,false,false
14,"Breaking News - The Tuna Fires Cam Cameron | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/breaking-news-the-tuna-fires-cam-cameron-6546794,http://www.finsnation.com/,FinsNation.com,20,91,false,false,false,true,false,false,false,false,2024-04-27,2025-05-10,false,false
14,"Calvin Pace Will Break Windows With His Arm In New York | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/calvin-pace-will-break-windows-with-his-arm-in-new-york-6521979,http://finsnation.com/,Finsnation.com,22,90,false,false,false,true,false,false,false,false,2024-12-24,2025-05-27,false,false
14,"Cleo Lemon Won't Go Away | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/cleo-lemon-wont-go-away-6546292,http://www.finsnation.com/,FinsNation.com,22,90,false,false,false,true,false,false,false,false,2024-05-18,2025-05-13,false,false
14,"Clever Headline: Parcells Looks to ""Gaine"" a Top Dallas Scout | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/clever-headline-parcells-looks-to-gaine-a-top-dallas-scout-6560026,http://www.finsnation.com/,FinsNation.com,22,89,false,false,false,true,false,false,false,false,2024-04-27,2025-05-31,false,false
14,"Combine Talk - I Like Gholston More Than Long. There I Said It. | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/combine-talk-i-like-gholston-more-than-long-there-i-said-it-6534242,http://finsnation.com/,Finsnation.com,21,89,false,false,false,true,false,false,false,false,2024-05-25,2025-05-21,false,false
14,"Combine Talk: Jerry's Got a Hankerin! | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/combine-talk-jerrys-got-a-hankerin-6555422,http://finsnation.com/,Finsnation.com,25,89,false,false,false,true,false,false,false,false,2024-09-18,2025-05-25,false,false
14,"Dan Henning is the New Dolphins OC | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dan-henning-is-the-new-dolphins-oc-6545730,http://finsnation.com/,Finsnation.com,21,89,false,false,false,true,false,false,false,false,2024-08-20,2025-05-21,false,false
14,"Dear Cleo, So Long and Thanks For All The Suck | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dear-cleo-so-long-and-thanks-for-all-the-suck-6545806,http://www.finsnation.com/,FinsNation.com,19,88,false,false,false,true,false,false,false,false,2024-12-05,2025-05-24,false,false
14,"Dolphins Axe Trent Green, Marty Booker and others | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dolphins-axe-trent-green-marty-booker-and-others-6555566,http://www.finsnation.com/,FinsNation.com,20,90,false,false,false,true,false,false,false,false,2024-09-22,2025-05-19,false,false
14,"Dolphins Coaching Search is a ""Four-Horse Race"" | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dolphins-coaching-search-is-a-four-horse-race-6520939,http://www.finsnation.com/,FinsNation.com,21,90,false,false,false,true,false,false,false,false,2024-06-17,2025-05-19,false,false
14,"Dolphins Get Hosed, Lose Heartbreaker to the Steelers | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dolphins-get-hosed-lose-heartbreaker-to-the-steelers-6542803,http://www.finsnation.com/fins_nation/2010/10/victory-stolen-by-lack-of-video-evidence-or-something.html,there was no conclusive video evidence,26,90,false,false,false,true,false,false,false,false,2024-09-06,2025-05-10,false,false
14,"Dolphins Inflict Cruel and Unusual Punishment | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dolphins-inflict-cruel-and-unusual-punishment-6556109,http://www.finsnation.com/,FinsNation.com,24,90,false,false,false,true,false,false,false,false,2024-09-19,2025-05-11,false,false
14,"Dolphins to Interview Schwartz | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dolphins-to-interview-schwartz-6540990,http://www.finsnation.com/,FinsNation.com,20,89,false,false,false,true,false,false,false,false,2024-12-02,2025-05-08,false,false
14,"Dwight Freeney Disagrees With Bloggers and Fan Forums | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/dwight-freeney-disagrees-with-bloggers-and-fan-forums-6549973,http://finsnation.com/,Finsnation.com,22,89,false,false,false,true,false,false,false,false,2024-06-15,2025-05-05,false,false
14,"Either Cam Cameron Is Retarded, or John Beck Sucks | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/either-cam-cameron-is-retarded-or-john-beck-sucks-6551269,http://www.finsnation.com/,FinsNation.com,21,90,false,false,false,true,false,false,false,false,2024-06-01,2025-05-11,false,false
14,"Ex-Dolphins All Up In the Super Bowl | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/ex-dolphins-all-up-in-the-super-bowl-6550676,http://www.finsnation.com/,FinsNation.com,19,89,false,false,false,true,false,false,false,false,2024-08-09,2025-05-30,false,false
14,"Fins Need a Win, The Rest is Meaningless | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/fins-need-a-win-the-rest-is-meaningless-6534507,http://www.finsnation.com/,FinsNation.com,22,90,false,false,false,true,false,false,false,false,2024-06-19,2025-05-11,false,false
14,"First Coach to Eventually Get Fired by Parcells is Almost Onboard | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/first-coach-to-eventually-get-fired-by-parcells-is-almost-onboard-6539267,http://www.finsnation.com/,FinsNation.com,20,89,false,false,false,true,false,false,false,false,2024-06-07,2025-05-08,false,false
14,"For Your Bloggies Consideration | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/for-your-bloggies-consideration-6532497,http://www.finsnation.com/,,44,90,false,false,false,true,false,false,false,false,2024-04-12,2025-05-24,false,false
14,"For Your Bloggies Consideration | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/for-your-bloggies-consideration-6532497,http://www.finsnation.com/,Fins Nation,44,90,false,false,false,true,false,false,false,false,2024-04-12,2025-05-24,false,false
14,"God Hates the Dolphins | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/god-hates-the-dolphins-6541539,http://www.finsnation.com/,FinsNation.com,21,91,false,false,false,true,false,false,false,false,2024-09-13,2025-05-11,false,false
14,"Hankerin For Some D-Mac | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/hankerin-for-some-d-mac-6531337,http://www.finsnation.com/,Read more,19,90,false,false,false,true,false,false,false,false,2024-05-22,2025-05-28,false,false
14,"Hard Knocks, Episode 2: Chad Johnson's Epic Groin-Kick to Dolphins Fans | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/hard-knocks-episode-2-chad-johnsons-epic-groin-kick-to-dolphins-fans-6535707,http://www.finsnation.com/fins_nation/2011/12/lamontell-pussyhammer-needs-just-230-yards-to-reach-1000-yards-has-an-ass-closet.html,"you've never seen an ""ass closet""",26,89,false,false,false,true,false,false,false,false,2024-04-09,2025-05-07,false,false
14,"Howie's Kid a Dolphin? | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/howies-kid-a-dolphin-6556220,http://finsnation.com/,Finsnation.com,22,89,false,false,false,true,false,false,false,false,2024-06-04,2025-05-22,false,false
14,"I Just Want a Dolphins Win | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/i-just-want-a-dolphins-win-6531027,http://www.finsnation.com/,FinsNation.com,23,90,false,false,false,true,false,false,false,false,2024-06-18,2025-05-18,false,false
14,"In Jason Taylor's Final Game, Dolphins End Jets' Season | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/in-jason-taylors-final-game-dolphins-end-jets-season-6527351,http://www.finsnation.com/,FinsNation,24,90,false,false,false,true,false,false,false,false,2024-12-08,2025-05-10,false,false
14,"It Never Gets Old: Henne Beat the Jets | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/it-never-gets-old-henne-beat-the-jets-6531031,http://finsnation.com/2009/10/jets-mnf-recap.html,the comment board at finsnation.com,19,90,false,false,false,true,false,false,false,false,2025-02-20,2025-05-25,false,false
14,"Jake Long Is Not Too Fired Up About Becoming a Dolphin + The Dolphins' Schedule | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/jake-long-is-not-too-fired-up-about-becoming-a-dolphin-the-dolphins-schedule-6519269,http://finsnation.com/,Finsnation.com,20,88,false,false,false,true,false,false,false,false,2024-06-02,2025-05-09,false,false
14,"Jason Taylor Is The Mambo King, Bitch | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/jason-taylor-is-the-mambo-king-bitch-6550298,http://finsnation.com/,Finsnation.com,23,90,false,false,false,true,false,false,false,false,2024-05-28,2025-05-26,false,false
14,"Jason Taylor What? Excuse Me While I Blow My Brains Out | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/jason-taylor-what-excuse-me-while-i-blow-my-brains-out-6565490,http://www.finsnation.com/,FinsNation.com,19,89,false,false,false,true,false,false,false,false,2024-12-20,2025-05-27,false,false
14,"Jason Taylor Wins Over Dancing Judges, My Heart | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/jason-taylor-wins-over-dancing-judges-my-heart-6529141,http://www.finsnation.com/,Finsnation.com,19,88,false,false,false,true,false,false,false,false,2024-09-03,2025-05-14,false,false
14,"JT Says He Is Staying (And Other Crap) | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/jt-says-he-is-staying-and-other-crap-6519275,http://finsnation.com/,Finsnation.com,26,90,false,false,false,true,false,false,false,false,2024-09-28,2025-05-11,false,false
14,"Lehan Suffers Apparent Ankle Dislocation (Derek Hagan Still Not Injured). | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/lehan-suffers-apparent-ankle-dislocation-derek-hagan-still-not-injured-6534661,http://www.finsnation.com/2008/06/lehan-goes-down.html,Michael Lehan yesterday,21,88,false,false,false,true,false,false,false,false,2024-11-23,2025-05-24,false,false
14,"Lehan Suffers Apparent Ankle Dislocation (Derek Hagan Still Not Injured). | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/lehan-suffers-apparent-ankle-dislocation-derek-hagan-still-not-injured-6534661,http://finsnation.com/,Finsnation.com,21,88,false,false,false,true,false,false,false,false,2024-05-13,2025-05-24,false,false
14,"Let's Talk Free Agents: Defense | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/lets-talk-free-agents-defense-6554850,http://finsnation.com/,Finsnation.com,37,89,false,false,false,true,false,false,false,false,2024-06-02,2025-05-26,false,false
14,"Let's Talk Free Agents: Offense | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/lets-talk-free-agents-offense-6555018,http://www.finsnation.com/,FinsNation.com,36,91,false,false,false,true,false,false,false,false,2024-08-10,2025-05-10,false,false
14,"Meet the New Nerdy White Dude, Same as the Old Nerdy White Dude | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/meet-the-new-nerdy-white-dude-same-as-the-old-nerdy-white-dude-6535638,http://www.finsnation.com/,FinsNation.com,23,88,false,false,false,true,false,false,false,false,2024-04-10,2025-05-03,false,false
14,"Miami Dolphins Preview: One Insufferable Fanbase Down, One To Go | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/miami-dolphins-preview-one-insufferable-fanbase-down-one-to-go-6535519,http://finsnation.com/2009/11/ted-ginn-jr-is-jesus-christ-and-whale-sht-but-mostly-jesus-christ.html,compared to Jesus Christ by his offensive coordinator.,21,90,false,false,false,true,false,false,false,false,2024-06-03,2025-05-27,false,false
14,"Miami Dolphins: The Suckiest Bunch of Sucks That Ever Sucked A Suck | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/miami-dolphins-the-suckiest-bunch-of-sucks-that-ever-sucked-a-suck-6547495,http://www.finsnation.com/fins_nation/2011/10/pouncey-flip.html,POUNCEY FLIP!!,26,91,false,false,false,true,false,false,false,false,2024-05-18,2025-05-26,false,false
14,"More Jake Longy Goodness | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/more-jake-longy-goodness-6548908,http://finsnation.com/,Finsnation.com,26,89,false,false,false,true,false,false,false,false,2024-12-04,2025-05-06,false,false
14,"NFL Draft Live-Blog | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/nfl-draft-live-blog-6557303,http://www.finsnation.com/2010/04/oh-shut-the-f-up-fat-a.html,Jennifer Lopez is crying into an empty can of frosting,20,88,false,false,false,true,false,false,false,false,2024-08-31,2025-05-26,false,false
14,"Parcells Wants Trent Green | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/parcells-wants-trent-green-6541842,http://www.finsnation.com/,FinsNation.com,20,90,false,false,false,true,false,false,false,false,2024-09-10,2025-05-16,false,false
14,"Picking First Sucks | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/picking-first-sucks-6542378,http://finsnation.com/,Finsnation.com,21,90,false,false,false,true,false,false,false,false,2024-05-10,2025-05-27,false,false
14,"Saying Goodbye to 54 | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/saying-goodbye-to-54-6538355,http://finsnation.com/,Finsnation.com,21,92,false,false,false,true,false,false,false,false,2024-05-02,2025-05-07,false,false
14,"Shine On You Crazy Mormon | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/shine-on-you-crazy-mormon-6546335,http://www.finsnation.com/,FinsNation.com,20,89,false,false,false,true,false,false,false,false,2024-06-02,2025-05-16,false,false
14,"Shocking News Break: Brian Gaine Quits Cowboys | Riptide 2.0 | Miami | Miami New Times | The Leading Independent News Source in Miami, Florida",https://www.miaminewtimes.com/news/shocking-news-break-brian-gaine-quits-cowboys-6554404,http://www.finsnation.com/,FinsNation.com,20,89,false,false,false,true,false,false,false,false,2024-05-21,2025-05-30,false,false
