Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
47,toammke,https://toammke.blogspot.com/,https://milesovermountains.com/,milesovermountains,50170,7,true,false,false,true,false,false,false,false,2024-11-20,2025-05-31,false,false
33,toammke,https://toammke.blogspot.com/files/textes/droits_usage.html,https://milesovermountains.com/,milesovermountains,50170,5,true,false,false,true,false,false,false,false,2025-04-16,2025-04-16,false,false
33,Best Up-And-Coming Chicago Bands To Check Out In 2016 - CBS Chicago,https://www.cbsnews.com/chicago/news/best-up-and-coming-chicago-bands-to-check-out-in-2016/,http://www.milesovermountains.com/,www.milesovermountains.com,36,135,true,false,false,true,false,false,false,false,2024-09-21,2025-05-17,false,false
23,Summer’s End,https://allerton.illinois.edu/events/summers-end-concert-2-665/,https://www.milesovermountains.com/,Miles Over Mountains,26,109,false,false,false,true,false,false,false,false,2025-02-26,2025-04-17,false,true
22,toammke,https://toammke.blogspot.com/cgi-bin/koha/opac-search.pl,https://milesovermountains.com/,milesovermountains,50170,5,true,false,false,true,false,false,false,false,2025-04-11,2025-04-11,false,false
19,Hillberry Festival 2019 Lineup Part 1 Unveiled,https://arkansounds.substack.com/p/hillberry-festival-2019-lineup-part-1-unveiled,http://www.milesovermountains.com/,Miles Over Mountains,12,12,true,false,true,true,false,false,false,false,2024-11-28,2025-05-11,false,false
18,Illinois Faculty/Staff Notices - 9/8/2024,https://bulletins.illinois.edu/view/354456754/20240908,https://www.milesovermountains.com/,Miles Over Mountains,55,77,false,false,false,true,false,false,false,false,2024-12-30,2025-05-28,false,false
17,Miles Over Mountains Concerts & Live Tour Dates: 2025-2026 Tickets | Bandsintown,https://www.bandsintown.com/a/9875617-miles-over-mountains,http://www.milesovermountains.com/,,12,34,true,false,false,true,false,false,false,false,2024-10-27,2025-04-28,false,false
14,Music notes: 25 years and counting for Local H,https://www.dailyherald.com/20151124/entertainment/music-notes-25-years-and-counting-for-local-h/,http://www.milesovermountains.com/,Miles Over Mountains,60,114,false,false,false,true,false,false,false,false,2024-12-16,2025-04-15,false,false
14,"Music notes: Miles, Prowlers headline roots rock fest at Mackey's",https://www.dailyherald.com/20160126/entertainment/music-notes-miles-prowlers-headline-roots-rock-fest-at-mackeys/,http://www.milesovermountains.com/,Miles Over Mountains,51,113,false,false,false,true,false,false,false,false,2024-09-23,2025-04-16,false,false
14,Weekend picks: Winter Jam calls to faithful music fans,https://www.dailyherald.com/20160129/lifestyle/weekend-picks-winter-jam-calls-to-faithful-music-fans/,http://www.milesovermountains.com/,Miles Over Mountains,78,115,false,false,false,true,false,false,false,false,2024-10-01,2025-04-13,false,false
14,Weekend picks: Catch the bull by the horns at Sears Centre,https://www.dailyherald.com/20170203/entertainment/weekend-picks-catch-the-bull-by-the-horns-at-sears-centre/,http://www.milesovermountains.com/,Miles Over Mountains,79,115,false,false,false,true,false,false,false,false,2024-12-10,2025-04-20,false,false
14,Sound check: Celebrate 50 years of 'Aqualung' at Arcada,https://www.dailyherald.com/20220112/entertainment/sound-check-celebrate-50-years-of-aqualung-at-arcada/,http://www.milesovermountains.com/,Miles Over Mountains,32,121,false,false,false,true,false,false,false,false,2024-12-11,2025-04-04,false,false
13,"Start the weekend early with Michael McDermott, comedian McCaffrey",https://www.dailyherald.com/20151222/entertainment/start-the-weekend-early-with-michael-mcdermott-comedian-mccaffrey/,http://www.milesovermountains.com/,Miles Over Mountains,43,114,false,false,false,true,false,false,false,false,2024-11-20,2025-05-13,false,false
