Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
19,"In The Loop: April 10, 2022 - by Kevin Worley",https://kcdowntownloop.substack.com/p/in-the-loop-april-10-2022,https://paseogateway.com/,Paseo Gateway,53,15,false,false,false,true,false,false,false,false,2024-12-08,2025-05-12,false,false
15,Several projects aim to revitalize northeast KCMO,https://www.kshb.com/news/local-news/business-incubator-on-independence-ave-campaigning-for-votes-to-receive-grant,https://paseogateway.com/,Paseo Gateway,21,123,false,false,false,true,false,false,false,false,2024-12-08,2025-05-20,false,false
15,Kansas City Researcher Earns National PCORI Engagement Award | Saint Luke's Health System,https://www.saintlukeskc.org/about/news/kansas-city-researcher-earns-national-pcori-engagement-award,https://paseogateway.com/,Paseo Gateway,15,87,false,false,false,true,false,false,false,false,2024-10-19,2025-05-27,false,false
14,"The History Behind The Paseo, One Of Kansas City's First Boulevards | KCUR - Kansas City news and NPR",https://www.kcur.org/community/2017-05-23/the-history-behind-the-paseo-one-of-kansas-citys-first-boulevards,http://www.paseogateway.com/,The Paseo Gateway Project,28,88,false,false,false,true,false,false,false,false,2024-12-18,2025-05-23,false,false
14,Artistic groups moving into new building in NE KCMO,https://www.kshb.com/news/local-news/new-apartment-complex-with-focus-on-arts-opens-as-part-of-paseo-gateway-project,https://paseogateway.com/,Paseo Gateway,23,122,false,false,false,true,false,false,false,false,2024-12-18,2025-05-30,false,false
10,Mattie Rhodes CALL FOR ARTISTS & APPRENTICE ARTISTS! - Mattie Rhodes,https://www.mattierhodes.org/call-for-artists-2/,http://www.paseogateway.com/neighborhood/,http://www.paseogateway.com/neighborhood/,10,27,false,false,false,true,false,false,false,false,2024-12-07,2024-12-07,false,false
9,Greenline KC Update: An Urban Trail Looping Around Downtown Kansas City - Downtown Council of Kansas City,https://www.downtownkc.org/greenline-kc-update-an-urban-trail-looping-around-downtown-kansas-city/,https://paseogateway.com/,Paseo Gateway project,3,15,false,false,false,true,false,false,false,false,2024-12-18,2025-05-30,false,false
9,Here's where the first phase of that Kansas City bond money will likely be spent,https://www.thepitchkc.com/heres-where-the-first-phase-of-all-that-kansas-city-bond-money-is-going-to-be-spent/,http://www.paseogateway.com/transformation-plan/,Paseo Gateway,13,44,false,false,false,true,false,false,false,false,2024-12-18,2025-05-30,false,false
8,"Choice Neighborhoods | Housing Authority of Kansas City, Missouri",https://www.hakc.org/choice-neighborhoods,https://paseogateway.com/,"To learn more about the Paseo Gateway, please click here to visit the Paseo Gateway website.",8,127,false,false,false,true,false,false,false,false,2023-12-01,2025-05-28,false,false
8,"Rose Hill Townhomes | Housing Authority of Kansas City, Missouri",https://www.hakc.org/our-properties/rose-hill-townhomes,https://paseogateway.com/housing/rose-hill-townhomes/,https://paseogateway.com/housing/rose-hill-townhomes/,9,130,false,false,false,true,false,false,false,false,2023-12-01,2025-05-23,false,false
8,"Resident Services | Housing Authority of Kansas City, Missouri",https://www.hakc.org/resident-services,https://paseogateway.com/,Choice Initiative,8,126,false,false,false,true,false,false,false,false,2023-08-15,2025-05-20,false,false
8,"The Gateway Gazette | Issue 2 | Housing Authority of Kansas City, Missouri",https://www.hakc.org/the-gateway-gazette-issue-2,https://www.paseogateway.com/,PaseoGateway.com,19,125,false,false,false,true,false,false,false,false,2023-12-01,2025-05-17,false,false
8,"The Gateway Gazette | Issue 2 | Housing Authority of Kansas City, Missouri",https://www.hakc.org/the-gateway-gazette-issue-2,https://www.paseogateway.com/,Please visit PaseoGateway.com for the latest information regarding Covid-19 and the status of community meetings and events.,19,125,false,false,false,true,false,false,false,false,2023-12-01,2025-05-17,false,false
7,Final Paseo Gateway projects to break ground this month - Northeast News,https://northeastnews.net/pages/final-paseo-gateway-projects-to-break-ground-this-month/,https://paseogateway.com/housing/rose-hill-townhomes/,Rosehill Townhomes.,39,118,false,false,false,true,false,false,false,false,2024-10-19,2025-05-30,false,false
7,Final Paseo Gateway projects to break ground this month - Northeast News,https://northeastnews.net/pages/final-paseo-gateway-projects-to-break-ground-this-month/,https://paseogateway.com/,Paseo Gateway Initiative,39,118,false,false,false,true,false,false,false,false,2024-12-03,2025-05-30,false,false
7,Northeast residents list top five goals for area - Northeast News,https://northeastnews.net/pages/northeast-residents-list-top-five-goals-for-area/,http://www.paseogateway.com/,www.paseogateway.com,24,71,false,false,false,true,false,false,false,false,2024-11-26,2025-05-31,false,false
7,Renovations coming to Independence Plaza Park - Northeast News,https://northeastnews.net/pages/renovations-coming-independence-plaza-park/,http://www.paseogateway.com/,www.paseogateway.com,23,76,false,false,false,true,false,false,false,false,2024-12-03,2025-05-30,false,false
7,Real-Time Solutions - United Way of Greater Kansas City,https://unitedwaygkc.org/real-time-solutions/,https://paseogateway.com/,Learn more,10,55,false,false,false,true,false,false,false,false,2024-03-29,2025-05-09,false,true
6,Initiatives - Downtown Council of Kansas City,https://www.downtownkc.org/initiatives/,https://paseogateway.com/,,22,48,false,false,false,true,false,false,false,false,2024-10-01,2025-05-29,false,false
6,Initiatives - Downtown Council of Kansas City,https://www.downtownkc.org/initiatives/,https://paseogateway.com/,Paseo Gateway,22,48,false,false,false,true,false,false,false,false,2024-10-01,2025-05-29,false,false
5,Town Hall Meeting on Cardiovascular Health | Show Me PAD,https://showme-pad.org/join-us-for-a-town-hall-meeting/,https://paseogateway.com/,Paseo Gateway,3,33,false,false,false,true,false,false,false,false,2024-10-04,2025-05-22,false,false
4,PASEO GATEWAY PROJECT- PENDLETON FLATS RENOVATION WILL PROVIDE PERMANENT HOUSING SOLUTIONS | 4 Sight Construction Group,https://4sightgroupllc.com/paseo-gateway-project-pendleton-flats-renovation-will-provide-permanent-housing-solutions/,http://www.paseogateway.com/,http://www.paseogateway.com/,5,42,false,false,false,true,false,false,false,false,2025-02-12,2025-04-02,false,false
4,Why Wait Months? ✨ExLinko.com✨ Delivers Now,https://exlinko.net/b/zatki-rank-website-in-3-weeks/,https://paseogateway.com/,Reshape paseogateway.com SEO destiny – ExLinko.com shows the way.,3500,1428,true,false,false,true,false,false,false,false,2025-01-31,2025-04-28,false,false
4,Programs | Northeast Kansas City Chamber of Commerce,https://nekcchamber.com/programs/,https://paseogateway.com/,Visit Page,16,35,false,false,false,true,false,false,false,false,2024-09-15,2025-05-18,false,false
4,"No black-hat nonsense—just honest success, on SeoFlox.com",https://seoflx.net/b/nxawt-rank-website-on-first-page/,https://paseogateway.com/,Discover the key metric that jumped paseogateway.com above the crowd on SeoFlox.com.,7000,1003,true,false,false,true,false,false,false,false,2025-01-26,2025-04-25,false,false
4,Programs | Northeast Kansas City Chamber of Commerce,https://www.nekcchamber.com/programs/,https://paseogateway.com/,Visit Page,16,35,false,false,false,true,false,false,false,false,2024-10-15,2025-02-26,false,false
4,Paseo Gateway Transformation Plan | Northeast Kansas City Chamber of Commerce,https://www.nekcchamber.com/programs/paseo-gateway-transformation-plan/,http://www.paseogateway.com/transformation-plan/,Paseo Gateway Site,5,32,false,false,false,true,false,false,false,false,2024-12-19,2025-03-11,false,false
3,Paseo Gateway Transformation Plan | Northeast Kansas City Chamber of Commerce,https://nekcchamber.com/programs/paseo-gateway-transformation-plan/,http://www.paseogateway.com/transformation-plan/,Paseo Gateway Site,5,32,false,false,false,true,false,false,false,false,2024-12-17,2025-05-31,false,false
