Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
52,OrdinarySoft,http://www.ordinarysoft.com/,http://www.tidyfavorites.com/,Tidy Favorites,9,9,false,false,false,true,false,false,false,false,2024-10-21,2025-05-25,false,false
45,Tidy Start Menu,http://www.tidystartmenu.com/index.shtml,http://www.tidyfavorites.com/,Tidy Favorites,12,10,false,false,false,true,false,false,false,true,2024-09-03,2025-05-30,false,false
24,Virus - Virus.Win32.Induc.a,https://groups.google.com/g/tidyfavorites/c/7Gbq3g8EZeU,http://www.tidyfavorites.com/contact.php,http://www.tidyfavorites.com/contact.php,8,6,true,false,false,true,false,false,false,false,2025-01-08,2025-04-27,false,false
24,Virus - Virus.Win32.Induc.a,https://groups.google.com/g/tidyfavorites/c/7Gbq3g8EZeU,http://www.tidyfavorites.com/TidyFavorites_Setup_Pro.exe,http://www.TidyFavorites.com/TidyFavorites_Setup_Pro.exe,8,6,true,false,false,true,false,false,false,false,2025-01-08,2025-04-27,false,false
24,Virus - Virus.Win32.Induc.a,https://groups.google.com/g/tidyfavorites/c/7Gbq3g8EZeU,http://tidyfavorites.com/TidyFavorites_Setup_freeware.exe,http://tidyfavorites.com/TidyFavorites_Setup_freeware.exe,8,6,true,false,false,true,false,false,false,false,2025-01-08,2025-04-27,false,false
23,Tidy Favorites - Download,https://tidy-favorites.de.softonic.com/,http://www.tidyfavorites.com/,OrdinarySoft,32,210,true,false,false,true,false,false,false,false,2024-11-28,2025-05-30,false,false
23,Tidy Favorites - Download,https://tidy-favorites.en.softonic.com/,http://www.tidyfavorites.com/,OrdinarySoft,32,215,true,false,false,true,false,false,false,false,2024-09-05,2025-05-30,false,false
23,Tidy Favorites - Télécharger,https://tidy-favorites.fr.softonic.com/,http://www.tidyfavorites.com/,OrdinarySoft,32,209,true,false,false,true,false,false,false,false,2024-04-15,2025-05-30,false,false
23,Tidy Favorites - Download,https://tidy-favorites.it.softonic.com/,http://www.tidyfavorites.com/,OrdinarySoft,32,210,true,false,false,true,false,false,false,false,2024-04-16,2025-05-31,false,false
23,Tidy Favorites - Tải về,https://tidy-favorites.vi.softonic.com/,http://www.tidyfavorites.com/,OrdinarySoft,32,201,true,false,false,true,false,false,false,false,2024-11-29,2025-05-30,false,false
22,Tidy Favorites - Browser / Internetprogramme,http://pcfiles.de/download-tidy-favorites.html,http://www.tidyfavorites.com/,Tidy Favorites Downloaden,1,39,true,false,false,true,false,false,false,false,2024-12-17,2025-03-12,false,false
22,"cross platform - Bookmark sync tool between Internet Explorer, Firefox, Chrome, Safari and Opera browsers? - Software Recommendations Stack Exchange",https://softwarerecs.stackexchange.com/questions/3317/bookmark-sync-tool-between-internet-explorer-firefox-chrome-safari-and-opera,http://www.tidyfavorites.com/favorites/synchronize%20bookmarks.html,tidyfavorites,53,137,true,false,false,true,false,false,false,false,2024-12-10,2025-03-02,false,true
21,ソーシャルでないブックマークを管理する「Tidy Favorites」--視覚化しながら効率的に - CNET Japan,https://japan.cnet.com/article/20383750/,http://www.tidyfavorites.com/,Tidy Favorites,37,106,false,false,false,true,false,false,false,false,2024-05-02,2025-05-08,false,false
20,For Mac 10.11 Full Free Version Get 2018 Folder Tidy Pwb (2.7.1) Without Ad xzf orw - merethamnopec67’s diary,https://merethamnopec67.hatenablog.com/entry/2018/02/02/205758,http://www.tidyfavorites.com/faq/How%20to%20Import%20Favorites%20from%20IE%20to%20Mozilla%20Firefox.html,http://www.tidyfavorites.com/faq/How%20to%20Import%20Favorites%20from%20IE%20to%20Mozilla%20Firefox.html,27,31,false,false,false,true,false,false,false,false,2024-09-02,2024-12-31,false,false
19,Tidy Favorites - تنزيل,https://tidy-favorites.softonic-ar.com/,http://www.tidyfavorites.com/,OrdinarySoft,54,176,true,false,false,true,false,false,false,false,2024-11-10,2025-05-29,false,false
19,Tidy Favorites - Download,https://tidy-favorites.softonic.com.br/,http://www.tidyfavorites.com/,OrdinarySoft,54,186,true,false,false,true,false,false,false,false,2024-07-28,2025-05-26,false,false
18,Tech: Legyen nézőképes katalógusa Kedvenceiről | hvg.hu,https://hvg.hu/tudomany/20081119_kedvencek,http://www.tidyfavorites.com/,Tidy Favorites,19,121,false,false,false,true,false,false,false,false,2025-01-06,2025-05-19,false,false
18,Tidy Favorites Is a Customizable Thumbnail Homepage | Lifehacker,https://lifehacker.com/tidy-favorites-is-a-customizable-thumbnail-homepage-5092265,http://www.tidyfavorites.com/,Tidy Favorites,30,46,false,false,false,true,false,false,false,false,2024-04-26,2025-05-11,false,false
18,Tidy Favorites untuk Windows - Unduh,https://tidy-favorites.softonic-id.com/,http://www.tidyfavorites.com/,OrdinarySoft,54,179,true,false,false,true,false,false,false,false,2024-04-06,2025-05-27,false,false
18,Tidy Favorites 3.4 Download - TidyFavorites.exe,https://tidy-favorites.software.informer.com/3.4/,http://www.tidyfavorites.com/introduction.html,OrdinarySoft,6,81,true,false,false,true,false,false,false,false,2024-05-31,2025-05-09,false,false
18,Tidy Favorites 4.0 Download - TidyFavorites.exe,https://tidy-favorites.software.informer.com/4.0/,http://www.tidyfavorites.com/introduction.html,OrdinarySoft,6,80,true,false,false,true,false,false,false,false,2024-06-30,2025-05-16,false,false
18,Tidy Favorites 4.1 Download - TidyFavorites.exe,https://tidy-favorites.software.informer.com/4.1/,http://www.tidyfavorites.com/introduction.html,OrdinarySoft,3,80,true,false,false,true,false,false,false,false,2024-06-30,2025-05-10,false,true
18,Tidy Favorites 5.0 Download - TidyFavorites.exe,https://tidy-favorites.software.informer.com/5.0/,http://www.tidyfavorites.com/introduction.html,OrdinarySoft,3,80,true,false,false,true,false,false,false,false,2024-05-31,2025-05-10,false,true
17,Tidy Favorites Is a Customizable Thumbnail Homepage - Internet,https://au.lifehacker.com/internet/26063/news/tidy-favorites-is-a-customizable-thumbnail-homepage,http://www.tidyfavorites.com/,Tidy Favorites,15,32,false,false,false,true,false,false,false,false,2024-12-14,2025-05-27,false,false
17,Tidy Favorites — Скачать,https://tidy-favorites.softonic.ru/,http://www.tidyfavorites.com/,OrdinarySoft,54,178,true,false,false,true,false,false,false,false,2024-05-16,2025-05-22,false,false
