Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
77,Website Carbon Calculator v3 | What's your site's carbon footprint?,https://www.websitecarbon.com/,https://www.wearedonation.com/,Screenshot of Do Nation website one of the lightest sites tested on our Website Carbon Calculator,24,11,false,false,false,false,false,false,true,false,2024-03-11,2025-05-28,false,false
77,Website Carbon Calculator v3 | What's your site's carbon footprint?,https://www.websitecarbon.com/,https://www.wearedonation.com/,,24,11,false,false,false,true,false,false,false,false,2024-03-11,2025-05-28,false,false
77,Website Carbon Calculator v3 | What's your site's carbon footprint?,https://www.websitecarbon.com/,https://www.wearedonation.com/,Do Nation,24,11,false,false,false,true,false,false,false,false,2024-03-11,2025-05-28,false,false
46,sajellc,https://sajellc.blogspot.com/,https://wearedonation.com/,wearedonation,50175,3,true,false,false,true,false,false,false,false,2024-11-24,2025-05-31,false,false
42,sajellc,https://sajellc.blogspot.com/%C2%A0,https://wearedonation.com/,wearedonation,50175,4,true,false,false,true,false,false,false,false,2025-02-13,2025-04-19,false,false
41,Kateri je najboljši kalkulator vašega osebnega ogljičnega odtisa? - Trajnostno.si,https://trajnostno.si/kateri-je-najboljsi-kalkulator-vasega-osebnega-ogljicnega-odtisa/,https://www.wearedonation.com/en-gb/,We are Donation,7,47,false,false,false,true,false,false,false,false,2023-08-30,2025-05-27,false,false
26,Partners and Allies,https://globalclimatestrike.net/partners/,http://www.wearedonation.com/,Do Nation,295,12,false,false,false,true,false,false,false,false,2024-11-08,2025-05-26,false,false
23,Climbing4Climate | Roeland van Oss - Spreker-Klimmer-Gids,https://www.roelandvanoss.com/climbing4climate/,https://www.wearedonation.com/en-gb/campaigns/climbing4climate-2/pledges/create/all/,Klik hier!,13,15,false,false,false,true,false,false,false,false,2024-03-13,2025-05-25,false,false
22,sajellc,https://sajellc.blogspot.com/OPS_Page/index.html,https://wearedonation.com/,wearedonation,50175,4,true,false,false,true,false,false,false,false,2024-12-09,2024-12-09,false,false
21,"matt.hocking | Twitter, Instagram | Linktree",https://linktr.ee/matt.hocking,https://www.wearedonation.com/en-gb/businesses/ride-the-change-to-cop26/campaigns/matt-hocking-leap-eco-ride-the-change/,"I braved the rain, hills & chills & cycled 540 miles to COP26 Glasgow. I’m not asking for ££, instead will you pledge 2-3 small climate actions on my page.",27,0,false,false,false,true,false,false,false,false,2024-04-14,2024-12-05,false,false
21,5 formas en que tu oficina puede luchar vs el cambio climático,https://prevencia.wixsite.com/prevencia/post/5-formas-en-que-tu-oficina-puede-luchar-vs-el-cambio-clim%C3%A1tico,https://www.wearedonation.com/,Do Nation,16,49,false,false,false,true,false,false,false,false,2024-07-28,2025-02-14,false,false
