Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
sfcon.org,root_domain,4,13075,204,189,12698,374,11827,1242,0,0,0
weddingdressonlineshop.net,root_domain,2,785,121,113,496,287,632,150,0,0,0
ohtohiak.com,root_domain,2,1585,337,347,1388,197,805,68,0,0,0
steelfactor.net,root_domain,3,50303,478,348,49164,1148,50159,156,0,0,0
ugmkinfo.com,root_domain,4,1063,282,250,925,138,953,86,24,0,0
thepsl8.com,root_domain,4,1294,238,277,544,750,1287,13,0,0,187
88tc88.com,root_domain,5,395,174,148,224,171,333,61,0,0,0
pfcmarek.com,root_domain,4,782,131,123,578,204,686,102,0,0,0
v-sources.org,root_domain,2,570,94,102,105,465,464,106,0,0,0
salons-tunisie.com,root_domain,2,3279,1034,1036,539,2744,3294,11,0,0,0
yk-tax.com,root_domain,3,201,134,129,192,9,197,3,0,0,0
mke-ecommerce.com,root_domain,2,163,107,107,110,53,135,27,0,0,0
f-taiken.net,root_domain,2,399,125,114,290,109,295,106,0,0,0
vulkan-russia-onliness.com,root_domain,3,384,245,246,367,17,377,8,0,0,0
saudebeleza.net,root_domain,2,136,107,101,103,32,132,5,0,0,0
lookingforbrides.net,root_domain,2,273,178,166,225,48,243,24,0,3,0
hemcbroadband.net,root_domain,3,164,117,104,85,79,130,34,0,0,0
top10webdesignsites.com,root_domain,4,10600,1179,1126,10488,115,10547,67,0,0,0
2020venues.com,root_domain,3,465,123,129,96,370,401,65,0,0,0
pinup-girin.com,root_domain,4,39140,5259,4944,38945,205,39328,65,0,0,0
