Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
pointclickswitch.com,root_domain,5,682,205,237,579,103,621,59,0,0,0
olivolabs.com,root_domain,5,533,157,166,227,307,533,0,0,0,0
the-kuwaitis.com,root_domain,20,556,206,202,485,71,548,8,0,0,0
frederickinn.com,root_domain,3,296,91,137,246,50,295,2,0,0,0
mylatinovoice.com,root_domain,5,10024,1280,1293,8524,1487,8774,177,0,0,295
getboldtoday.com,root_domain,3,516,114,125,462,54,491,27,0,0,0
artscams.com,root_domain,4,1362,165,195,1323,40,1179,12,0,0,0
r-stheatrics.com,root_domain,4,405,134,168,389,16,402,1,0,0,0
bendifulblog.com,root_domain,5,1173,359,276,403,773,1008,164,0,0,0
ilvicinatochicago.com,root_domain,5,540,139,147,161,380,536,5,0,0,234
nlhistory.org,root_domain,4,703,160,177,684,19,492,211,0,0,0
classychaos.com,root_domain,4,2288,393,233,1238,1051,2130,135,0,0,0
dougfinke.com,root_domain,5,6690,366,327,6180,512,6680,36,0,0,0
metroparkmacau.com,root_domain,5,240,102,111,214,26,227,12,0,0,0
guyanajournal.com,root_domain,16,3103,493,528,2516,589,3127,15,0,1,39
eyeprime.net,root_domain,5,9792,588,493,8588,1200,10603,3391,0,0,0
pimatucsonhomebuyers.com,root_domain,5,393,160,156,284,110,355,32,0,0,0
52op.net,root_domain,3,838,182,181,583,258,762,78,0,0,0
qomicis.com,root_domain,4,2545,233,230,1504,1041,2530,3,0,0,0
emailsfromstevejobs.com,root_domain,6,541,250,294,480,61,321,7,0,0,0
mad4flash.com,root_domain,5,2621,574,303,2460,166,2273,257,0,87,0
ulanzhou.com,root_domain,2,3761,345,414,3668,93,3940,5,0,0,0
dpsbulandshahr.org,root_domain,5,511,133,153,316,196,501,8,0,0,0
stefoodie.net,root_domain,4,5003,267,252,4246,774,4712,279,0,0,0
lorenzosphotography.com,root_domain,1,2063,350,163,1960,103,2064,0,0,0,0
gpdevos.com,root_domain,2,1840,345,530,1820,20,1837,4,0,0,0
strung-out.com,root_domain,2,435,157,164,391,44,413,21,0,0,0
