Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
15,3 reasons why countries should purchase COVID-19 Vaccines at Risk | SOCIAL DIGITAL,https://socialdigital.iadb.org/en/node/8756,https://www.acceleratinght.org/,Accelerating Health Technologies,3,26,False,False,False,True,False,False,False,False,2023-08-12,2025-05-16,False,False
10,vaccineEarlyInvest: vaccineEarlyInvest in jc-castillo/vaccineEarlyInvest: Investment in Early Manufacturing Capacity for Vaccines,https://rdrr.io/github/jc-castillo/vaccineEarlyInvest/man/vaccineEarlyInvest.html,https://www.acceleratinght.org/,here,4,57,False,False,False,True,False,False,False,False,2024-01-22,2025-03-24,False,False
10,AcceleratingHT — COVID-19 Response | Open Philanthropy,https://www.openphilanthropy.org/grants/acceleratinght-covid-19-response/,https://www.acceleratinght.org/,Visit Grantee Site,4,51,False,False,False,True,False,False,False,False,2024-07-13,2025-05-12,False,False
5,AcceleratingHT — COVID-19 Response | Good Ventures,https://www.goodventures.org/our-portfolio/grants/acceleratinght-covid-19-response/,https://www.acceleratinght.org/,AcceleratingHT Website,5,30,False,False,False,True,False,False,False,False,2024-10-11,2025-05-18,False,False
21,"Designing Markets for Faster, Better Vaccines | Stanford Graduate School of Business",https://public-dev.gsb.stanford.edu/insights/designing-markets-faster-better-vaccines,https://www.acceleratinght.org/,Accelerating Health Technologies,6,53,False,False,False,True,False,False,False,False,2024-11-30,2025-03-18,False,False
17,Michael Kremer on Encouraging the development and manufacturing of vaccines and diagnostics - Bendheim Center for Finance,https://bcf.princeton.edu/events/michael-kremer-on-encouraging-the-development-and-manufacturing-of-vaccines-and-diagnostics/,https://www.acceleratinght.org/,visit the project website,6,55,False,False,False,True,False,False,False,False,2024-07-01,2025-05-26,False,False
17,AcceleratingHT | Department of Economics,https://economics.dartmouth.edu/news/2020/06/acceleratinght,https://www.acceleratinght.org/home,AcceleratingHT,7,139,False,False,False,True,False,False,False,False,2023-11-09,2024-12-05,False,True
19,"“El punto no es cuántas vacunas comprar, sino qué tan rápido las van a entregar” | EL ESPECTADOR",https://www.elespectador.com/salud/el-punto-no-es-cuantas-vacunas-comprar-sino-que-tan-rapido-las-van-a-entregar-article/,https://www.acceleratinght.org/,Accelerating Health Technologies with Incentive Design,7,97,False,False,False,True,False,False,False,False,2024-08-22,2025-04-24,False,False
19,Research Applications | Michael Kremer University Professor Kenneth C. Griffin Department of Economics,https://michaelkremer.economics.uchicago.edu/development-resources/,https://www.acceleratinght.org/,https://www.acceleratinght.org/,8,11,False,False,False,True,False,False,False,False,2024-03-08,2025-05-15,False,False
14,"“El punto no es cuántas vacunas comprar, sino qué tan rápido las van a entregar” :: MSACVCO",https://mscavco.webnode.page/news/el-punto-no-es-cuantas-vacunas-comprar-sino-que-tan-rapido-las-van-a-entregar/,https://www.acceleratinght.org/,Accelerating Health Technologies with Incentive Design,9,16,False,False,False,True,False,False,False,False,2024-07-21,2025-04-16,False,False
