Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,Topline,https://topline.com/companies/gsf-india,http://gsfaccelerator.com/,Company Website,1,51,False,False,False,True,False,False,False,False,2024-10-10,2025-05-15,False,False
9,GSF Accelerator - Venture Capital Firm | Signal,https://signal.nfx.com/firms/gsf-accelerator,https://gsfaccelerator.com/,,2,43,False,False,False,True,False,False,False,False,2024-03-17,2025-05-27,False,False
5,GSF | Investors | Mindmaps,https://platform.dkv.global/mind-map/firms/6646/,https://gsfaccelerator.com/,Visit Website,3,6,False,False,False,True,False,False,False,False,2025-05-27,2025-05-27,True,False
6,Venture Center Funding Database,https://funding.venturecenter.co.in/viewrecord.php?srn=BI20200724080117,https://gsfaccelerator.com/,Link,4,20,False,False,False,True,False,False,False,False,2024-12-15,2025-05-16,False,False
8,GSF - Base Templates Investor Profile,https://www.basetemplates.com/organization/gsf,https://gsfaccelerator.com/,gsfaccelerator.com/,6,69,False,False,False,True,False,False,False,False,2024-06-26,2025-03-20,False,False
8,"GSF Accelerator Invites Applications for its sixth batch, will invest $1 million – TechStory",https://techstory.in/gsf-accelerator-sixth-batch-2017/,http://www.gsfaccelerator.com/,the sixth edition of its incubation program,6,103,False,False,False,True,False,False,False,False,2024-03-29,2025-05-16,False,False
5,"GSF Fund Investor Profile: Web3, Investments, Contact Information, News, Activity, and Team – EdgeIn.io",https://edgein.io/investors/gsf-fund/,https://gsfaccelerator.com/,gsfaccelerator.com,6,41,False,False,False,True,False,False,False,False,2024-02-21,2025-01-21,False,True
5,"GSF — 78 Investments, Performance analytics, Stats — Unicorn Nest",https://unicorn-nest.com/funds/gsf/,https://gsfaccelerator.com/,https://gsfaccelerator.com/,6,94,False,False,False,True,False,False,False,False,2024-05-18,2024-12-03,False,False
6,GSF | HYDERABAD ANGELS FORUM FOR ENTREPRENEURSHIP,https://hyderabadangels.in/team/gsf/,https://gsfaccelerator.com/,Know More…,8,26,False,False,False,True,False,False,False,False,2023-04-18,2025-05-21,False,False
11,"AG Design: Revenue, Competitors, Alternatives",https://growjo.com/company/AG_Design,https://gsfaccelerator.com/,,8,112,False,False,False,False,False,False,True,False,2024-06-04,2025-05-10,False,True
5,GSF Investor Profile | Lucidity Insights,https://lucidityinsights.com/investors/gsf-1474,https://gsfaccelerator.com/,Link Image Link Image Visit Website,8,19,False,False,False,False,False,False,True,False,2024-06-25,2025-04-13,False,False
10,Top 8 Crypto Accelerators and Incubators in 2024,https://www.failory.com/startups/crypto-accelerators-incubators,https://gsfaccelerator.com/,here,11,46,False,False,False,True,False,False,False,False,2024-05-13,2025-05-24,False,False
8,,https://www.letsventure.com/blogs/keep-writing-cheques-be-resilient,https://gsfaccelerator.com/,GSF Accelerator,11,35,False,False,False,True,False,False,False,False,2024-12-04,2025-05-16,False,False
14,Bolkar App: A voice based Quora alternative for non-English speakers,https://www.newsbytesapp.com/news/business/bolkar-india-s-audio-based-crowdsourced-knowledge-sharing-app/story,https://gsfaccelerator.com/,GSF Accelerator,13,84,False,False,False,True,False,False,False,False,2024-05-01,2025-05-20,False,False
13,Top 10 Accelerators and Incubators in India,https://aipressroom.beehiiv.com/p/top-97-accelerators-and-incubators-in-india,https://gsfaccelerator.com/,here,14,9,False,False,False,True,False,False,False,False,2024-04-05,2025-02-02,False,True
9,Mistletoe、バンガロールにアグリテック／フードテック特化アクセラレータ「Gastrotope」を設立——現地アクセラレータGSF Indiaと協力 - BRIDGE（ブリッジ）,https://thebridge.jp/2017/09/taizo-son-starts-accelerator-gastrotope,http://www.gsfaccelerator.com/,GSF Accelerator,19,60,False,False,False,True,False,False,False,False,2024-12-06,2025-05-27,False,False
10,Rajesh Sawhney: Indian AgriFood Tech is Where ECommerce Industry Was 10 Years Ago - AgFunderNews,https://agfundernews.com/rajesh-sawhney-indian-agrifood-tech-is-where-ecommerce-industry-was-10-years-ago,http://www.gsfaccelerator.com/,Gastrotope,19,11,False,False,False,True,False,False,False,False,2024-07-29,2025-05-25,False,False
17,"GSF’s Rajesh Sawhney On 25X Return On Pokkt, 50X On DailyRounds",https://inc42.com/features/gsf-accelerators-rajesh-sawhney-on-the-dailyrounds-pokkt-exits-the-changing-attitude-towards-profitability-more/,https://gsfaccelerator.com/,the GSF Accelerator portfolio,41,439,False,False,False,True,False,False,False,False,2024-06-08,2025-05-25,False,False
10,Gastrotope – Farm to Fork accelerator program,https://gastrotope.com/,https://www.gsfaccelerator.com/,client,54,7,False,False,False,False,False,False,True,False,2024-12-07,2025-05-15,False,False
7,80 SaaS Accelerators and Incubators in India,https://growfusely.com/blog/saas-accelerators-and-incubators-india/,https://gsfaccelerator.com/,GSF Accelerator,84,48,False,False,False,True,False,False,False,False,2024-12-04,2025-05-29,False,False
14,The Hardware Incubators/Accelerators List,https://www.nexpcb.com/blog/the-hardware-incubators-accelerators-list,http://www.gsfaccelerator.com/,GSF Accelerator,134,40,False,False,False,True,False,False,False,False,2024-03-23,2025-05-26,False,False
6,Top 50 Media (entertainment) Startup Investors in India,https://theindiabizz.com/top-50-media-entertainment-startup-investors-in-india-in-november-2024/,https://gsfaccelerator.com/,,197,82,False,False,False,True,False,False,False,False,2024-12-09,2025-03-15,False,False
