Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
54,Ameer Sultan - Wikipedia,https://en.wikipedia.org/wiki/Ameer_Sultan,https://www.osians.com/filmhouse/festival/cawards.php,"""OSIAN's""",34,197,True,False,False,True,False,False,False,False,2024-10-06,2025-02-25,False,False
53,Blogmarks : Public marks with tag master,http://blogmarks.net/marks/tag/master,http://osians.com/,OSIANs,57,244,False,False,False,True,False,False,False,False,2024-12-31,2024-12-31,False,False
53,Blogmarks : Public marks with tag master,http://blogmarks.net/marks/tag/master,http://osians.com/,,57,244,False,False,False,False,False,False,True,False,2024-12-31,2024-12-31,False,False
50,Blogmarks : Public marks with tag indian,http://blogmarks.net/marks/tag/indian,http://osians.com/,,53,236,False,False,False,False,False,False,True,False,2024-12-30,2024-12-30,False,False
50,Blogmarks : Public marks with tag indian,http://blogmarks.net/marks/tag/indian,http://osians.com/,OSIANs,53,236,False,False,False,True,False,False,False,False,2024-12-30,2024-12-30,False,False
50,Meherjaan - Wikipedia,https://en.wikipedia.org/wiki/Meherjaan,http://cinefan.osians.com/film-sub/?film_id=3363,the original,45,144,True,False,False,True,False,False,False,False,2024-11-21,2025-05-15,False,False
49,Osian's Cinefan Festival of Asian and Arab Cinema - Wikipedia,https://en.wikipedia.org/wiki/Osian's_Cinefan_Festival_of_Asian_and_Arab_Cinema,http://www.osians.com/cinefan10/cinefan10.php,10th Osian's-Cinefan,26,119,True,False,False,True,False,False,False,False,2024-08-07,2025-01-07,False,False
49,Osian's Cinefan Festival of Asian and Arab Cinema - Wikipedia,https://en.wikipedia.org/wiki/Osian's_Cinefan_Festival_of_Asian_and_Arab_Cinema,http://www.osians.com/,Official site - Osian's Connoisseurs of Art Pvt. Ltd.,26,119,True,False,False,True,False,False,False,False,2025-01-07,2025-01-07,False,False
49,Osian's Cinefan Festival of Asian and Arab Cinema - Wikipedia,https://en.wikipedia.org/wiki/Osian's_Cinefan_Festival_of_Asian_and_Arab_Cinema,http://www.osians.com/cinefan10/talent5.php,Talent Campus India #5 2008,26,119,True,False,False,True,False,False,False,False,2024-08-07,2025-01-07,False,False
48,Kanzeon the Movie,http://www.kanzeonthemovie.com/,http://cinefan.osians.com/film-sub/?film_id=2547,Osian’s Cinefan Festival,96,10,False,False,False,True,False,False,False,False,2024-10-11,2025-05-14,False,False
48,Paruthiveeran - Wikipedia,https://en.wikipedia.org/wiki/Paruthiveeran,http://www.osians.com/filmhouse/festival/cawards.php,"""9th Osian Cinefan, Festival of Asian & Arab Cinema""",109,481,True,False,False,True,False,False,False,False,2024-07-05,2025-05-03,False,False
47,shanathom,https://shanathom.blogspot.com/,https://osians.com/,osians,50176,3,True,False,False,True,False,False,False,False,2024-08-08,2025-05-31,False,False
46,staxtaxes,https://staxtaxes.blogspot.com/,https://osians.com/,osians,50176,3,True,False,False,True,False,False,False,False,2024-07-27,2025-05-30,False,False
46,thomashenryboehm,https://thomashenryboehm.blogspot.com/,https://osians.com/,osians,50176,3,True,False,False,True,False,False,False,False,2024-07-25,2025-05-31,False,False
45,rmbchains,https://rmbchains.blogspot.com/,https://osians.com/,osians,50176,3,True,False,False,True,False,False,False,False,2024-09-14,2025-05-30,False,False
43,Mumbai Cutting - Wikipedia,https://en.wikipedia.org/wiki/Mumbai_Cutting,http://cinefan.osians.com/filmdetails.aspx?id=94,the original,22,199,True,False,False,True,False,False,False,False,2024-08-30,2025-04-22,False,False
