Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
78,,http://youtoocancookindianfood.blogspot.in/,https://www.youtoocancook.net/,,0,0,False,False,False,True,False,False,False,False,2024-08-27,2025-05-03,False,False
17,,http://youtoocancookindianfood.blogspot.com/2012/04/easy-tomato-rice-thakkali-sadam.html,https://www.youtoocancook.net/2012/04/easy-tomato-rice-thakkali-sadam.html,,0,0,False,False,False,True,False,False,False,False,2025-03-21,2025-03-21,False,False
16,,http://youtoocancookindianfood.blogspot.sg/,https://www.youtoocancook.net/,,0,0,False,False,False,True,False,False,False,False,2024-08-29,2024-12-31,False,True
8,,http://youtoocancookindianfood.blogspot.co.nz/2012/06/scrambled-egg-rice-and-ive-been-awarded.html,https://www.youtoocancook.net/2012/06/scrambled-egg-rice-and-ive-been-awarded.html,,0,0,False,False,False,True,False,False,False,False,2024-08-12,2025-05-02,False,False
10,,http://youtoocancookindianfood.blogspot.com.br/2012/04/collection-of-best-recipes.html,https://www.youtoocancook.net/2012/04/collection-of-best-recipes.html,,0,0,False,False,False,True,False,False,False,False,2024-03-02,2025-05-04,False,True
10,,http://youtoocancookindianfood.blogspot.co.uk/,https://www.youtoocancook.net/,,0,0,False,False,False,True,False,False,False,False,2025-04-26,2025-04-26,False,False
6,,http://youtoocancookindianfood.blogspot.ca/2012/04/yummy-almond-banana-milk-shake-badam.html,https://www.youtoocancook.net/2012/04/yummy-almond-banana-milk-shake-badam.html,,0,0,False,False,False,True,False,False,False,False,2024-08-28,2024-12-31,False,False
25,You Too Can Cook (youtoocancook) - Profile | Pinterest,https://uk.pinterest.com/youtoocancook/,http://www.youtoocancook.net/,youtoocancook.net ; Opens a new tab,1,17,False,False,False,True,False,False,False,False,2024-11-29,2025-03-21,False,True
5,Cooked - Glace Cherry Muffins,https://cooked.wiki/saved/5f829a1e-b20c-4ff3-99d9-1ddf87c982fb,https://www.youtoocancook.net/2014/11/glace-cherry-muffins-christmas-recipes.html?m=1,,1,23,False,False,False,False,False,False,True,False,2025-03-23,2025-05-08,False,False
11,VISIIR - Dataset Explorer - Red Hot Chicken Curry | Without Coconut | You Too Can Cook,https://visiir.isir.upmc.fr/explore/recipe-16263,http://www.youtoocancook.net/2012/05/red-hot-chicken-curry.html,Red Hot Chicken Curry | Without Coconut | You Too Can Cook,2,7,False,False,False,True,False,False,False,False,2025-03-23,2025-05-18,False,False
