Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
7,SeedQuest - News section,https://www.seedquest.com/~seedqu5/News/Companies/Europe/agbiotechcouncil.htm,http://www.abcinformation.org/,www.abcinformation.org,1,6,False,False,False,True,False,False,False,False,2024-06-14,2025-03-06,False,False
24,"BBC NEWS | Science/Nature | GM wheat 'delayed, not abandoned'",https://newsimg.bbc.co.uk/1/hi/sci/tech/3703791.stm,http://www.abcinformation.org/,Agricultural Biotechnology Council,2,67,False,False,False,True,False,False,False,False,2025-01-07,2025-04-01,False,False
8,NEWS: Does the UK need a growth strategy for agricultural technology? | NIAB,https://niab.com/news-views/news/news-does-the-uk-need-a-growth-strategy-for-agricultural-technology,http://www.abcinformation.org/,www.abcinformation.org,5,348,False,False,False,True,False,False,False,False,2024-12-18,2025-05-16,False,False
6,OF&G seeks government assurance of meaningful gene editing consultation | OF&G,https://ofgorganic.org/news/of-g-seeks-government-assurance-of-meaningful-gene-editing-consultation,https://abcinformation.org/two-thirds-of-britons-fear-impact-of-second-wave-of-covid-19-on-uk-food-supplies/,https://abcinformation.org/two-thirds-of-britons-fear-impact-of-second-wave-of-covid-19-on-uk-food-supplies/,5,48,False,False,False,True,False,False,False,False,2023-11-30,2025-05-30,False,False
6,GM companies recommend insecticides and IPM for failed Bt crops,https://www.gmwatch.org/en/news/archive/2014/15467-gm-companies-recommend-insecticides-and-ipm-for-failed-bt-crops,http://www.abcinformation.org/index.php/knowledge-hub/features/biotech-for-food-security,http://www.abcinformation.org/index.php/knowledge-hub/features/biotech-for-food-security,6,75,False,False,False,True,False,False,False,False,2024-02-09,2025-05-26,False,False
11,Un rischio potenziale dalle coltivazioni OGM - Le Scienze,https://www.lescienze.it/news/2005/03/29/news/un_rischio_potenziale_dalle_coltivazioni_ogm-585131/,https://www.abcinformation.org/index.php,Agricultural Biotechnology Council,6,3,False,False,False,True,False,False,False,False,2023-12-07,2025-02-11,False,False
11,In the context of ... - Gaia Community,https://letschangetheworld.ning.com/profiles/blogs/in-the-context-of-2,http://www.abcinformation.org/,Agricultural Biotechnology Council,7,33,False,False,False,True,False,False,False,False,2024-10-28,2025-06-02,False,False
11,"European Leaders Say Europe Needs Biotech- Crop Biotech Update (February 10, 2012) | Crop Biotech Update - ISAAA.org",https://www.isaaa.org/kc/cropbiotechupdate/article/default.asp?ID=9134,http://www.abcinformation.org/index.php?page=news#114,http://www.abcinformation.org/index.php?page=news#114,8,53,False,False,False,True,False,False,False,False,2024-02-12,2025-05-09,False,False
5,Un rischio potenziale dalle coltivazioni OGM,https://www.molecularlab.it/news/view.asp?n=2311,http://www.abcinformation.org/index.php,Agricultural Biotechnology Council,8,60,False,False,False,True,False,False,False,False,2023-12-07,2025-04-30,False,False
7,"Europa se arriesga a convertirse en un museo mundial de agricultura, si no adopta la biotecnología | Agro-Bio",https://agrobio.org/noticias/europa-se-arriesga-convertirse-en-un-museo-mundial-de-agricultura-si-no-adopta-la,http://www.abcinformation.org/index.php/media-centre/press-releases,ABC,8,21,False,False,False,True,False,False,False,False,2023-11-30,2025-05-19,False,False
18,Cultivating the Future: How Can 20 Years of GM Debate Inform UK Farm Policy? | NC State Extension,https://agbiotech.ces.ncsu.edu/cultivating-the-future-how-can-20-years-of-gm-debate-inform-uk-farm-policy/,http://www.abcinformation.org/,http://www.abcinformation.org/,10,255,False,False,False,True,False,False,False,False,2022-12-30,2025-05-29,False,False
7,Food and Drink,https://virtual-library.culturalservices.net/webingres/bedfordshire/vlib_html5/0.gateway/gm_foods.htm,http://www.abcinformation.org/,Agricultural Biotechnology Council (ABC),10,65,False,False,False,True,False,False,False,False,2024-10-25,2025-06-03,False,False
5,Agriculture and Food Web Directory: ODP.org > Science > Biology > Biotechnology > Agriculture and Food Directory,http://odp.org/Science/Biology/Biotechnology/Agriculture_and_Food,http://www.abcinformation.org/,Agricultural Biotechnology Council,12,17,False,False,False,True,False,False,False,False,2023-01-12,2025-04-30,False,False
