Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
57,"Q2 2019 Hedge Fund Letters: Einhorn, Carlson, Canyon, Mandel, Kerrisdale, Loeb, Paul Tudor And Much More [UPDATED 10/1 23:21 EST] | Hedge Fund Alpha",https://hedgefundalpha.com/q2-2019-hedge-fund-letters-einhorn-carlson-canyon-loeb-and-much-more/,http://blog.alphaclone.com/alphaclone-index-vs-peers-report-q2-2019/,AlphaClone,249,194,False,False,False,True,False,False,False,False,2024-08-27,2025-05-16,False,False
41,,http://bit.ly/4FYhbb,http://alphaclone.com/join?SSAID=384233,,0,0,False,False,False,True,False,False,False,False,2025-04-02,2025-04-02,False,False
25,"Want a hot stock tip? Follow the smart money and the crowd. - Sep. 8, 2010",https://money.cnn.com/2010/09/08/markets/tradestream_zack_miller/index.htm,http://alphaclone.com/,AlphaClone,52,156,False,False,False,True,False,False,False,False,2024-05-29,2025-04-17,False,False
25,How To Avoid Another Bear Market Burn,https://www.forbes.com/2010/05/20/s-and-p-bear-market-intelligent-investing-mebane-faber.html,http://alphaclone.com/join?SSAID=384233,AlphaClone,10,15,True,False,False,True,False,False,False,False,2024-12-17,2025-03-30,False,False
25,"Guru Funds, Mimicking the Smart Money - The New York Times",https://www.nytimes.com/2014/01/12/business/mutfund/guru-funds-mimicking-the-smart-money.html,http://alphaclone.com/about.html?team,Mazin S. Jadallah,17,98,False,False,False,True,False,False,False,False,2024-08-11,2025-04-12,False,False
25,"Guru Funds, Mimicking the Smart Money - The New York Times",https://www.nytimes.com/2014/01/12/business/mutfund/guru-funds-mimicking-the-smart-money.html,http://alphaclone.com/hedge.html,AlphaClone Hedge Fund Long/Short Index.,17,98,False,False,False,True,False,False,False,False,2024-08-11,2025-04-12,False,False
24,Buffett Stocks For the Lazy Man,https://www.forbes.com/2010/04/22/coke-walmart-kraft-intelligent-investing-warren-buffett.html,http://alphaclone.com/,AlphaClone,16,411,True,False,False,True,False,False,False,False,2024-12-21,2025-05-07,False,False
24,Buffett Stocks For the Lazy Man,https://www.forbes.com/2010/04/22/coke-walmart-kraft-intelligent-investing-warren-buffett.html,http://alphaclone.com/join?src=header-free-trial,"Special Offer: For more information and to subscribe to Alphaclone, click here.",16,411,True,False,False,True,False,False,False,False,2024-04-13,2025-05-07,False,False
24,Grab A Tiger's Tail,https://www.forbes.com/2010/04/27/apple-visa-google-intelligent-investing-julian-robertson.html,http://alphaclone.com/join?SSAID=384233,AlphaClone,23,410,True,False,False,True,False,False,False,False,2024-12-31,2025-05-14,False,False
24,Class Action Filed Against Jack Ma's Alibaba Group,https://www.forbes.com/sites/kenrapoza/2015/02/21/class-action-filed-against-jack-mas-alibaba-group/,http://alphaclone.com/about.html,AlphaClone.,10,408,True,False,False,True,False,False,False,False,2024-04-18,2025-04-23,False,False
24,"11,949% Growth Shows Euclid Has What Hedge Funds Want",https://www.forbes.com/sites/petercohan/2013/01/04/11949-growth-shows-euclid-has-what-hedge-funds-want/,http://blog.alphaclone.com/alphaclone/2011/12/top-2011-hedge-fund-performance.html,lost 9%,11,407,True,False,False,True,False,False,False,False,2024-09-01,2025-04-21,False,False
23,How To Ride Seth Klarman's Coattails,https://www.forbes.com/2010/02/24/enzon-facet-nws-markets-intelligent-investing-seth-klarman.html,http://alphaclone.com/,AlphaClone,22,411,True,False,False,True,False,False,False,False,2024-08-23,2025-05-25,False,False
23,New ETF Replicates Hedge-Fund Alpha,https://www.forbes.com/sites/katestalter/2012/06/26/new-etf-replicates-hedge-fund-alpha/,http://alphaclone.com/,AlphaClone,25,413,True,False,False,True,False,False,False,False,2024-05-02,2025-06-05,False,False
22,Michael_with_Heartsong « « MichaelCruzMusic.com,https://michaelcruzmusic.com/?attachment_id=184,http://blog.alphaclone.com/alphaclone/2011/08/healthcor-management.html,Hedge Fund Joe Healey,14016,14798,True,False,True,True,False,False,False,False,2025-03-22,2025-06-03,False,False
22,"Alphaclone, inc.",https://www.slideshare.net/AlphaClone,https://alphaclone.com/,alphaclone.com,6,8,False,False,False,True,False,False,False,False,2024-11-16,2025-04-02,False,False
21,"Alphaclone, inc.",https://de.slideshare.net/AlphaClone,https://alphaclone.com/,alphaclone.com,6,8,False,False,False,True,False,False,False,False,2024-09-28,2025-04-30,False,False
21,"Alphaclone, inc.",https://fr.slideshare.net/AlphaClone,https://alphaclone.com/,alphaclone.com,6,8,False,False,False,True,False,False,False,False,2024-05-11,2025-04-04,False,False
21,"Alphaclone, inc.",https://pt.slideshare.net/AlphaClone,https://alphaclone.com/,alphaclone.com,6,8,False,False,False,True,False,False,False,False,2024-12-08,2025-04-23,False,False
21,Hedge funds love…Carl Icahn and Bill Ackman?,https://www.cnbc.com/2014/08/18/hedge-funds-lovecarl-icahn-and-bill-ackman.html,http://alphaclone.com/,AlphaClone,20,133,False,False,False,True,False,False,False,False,2024-10-09,2025-06-04,False,False
21,What you need to know to invest like a billionaire,https://www.cnbc.com/2016/03/05/what-you-need-to-know-to-invest-like-a-billionaire.html,http://blog.alphaclone.com/dont-be-dicaprio-dont-let-the-market-bear-maul-you/,here,21,130,False,False,False,True,False,False,False,False,2024-05-14,2025-06-03,False,False
21,What you need to know to invest like a billionaire,https://www.cnbc.com/2016/03/05/what-you-need-to-know-to-invest-like-a-billionaire.html,http://blog.alphaclone.com/why-we-hedge-the-alphaclone-dynamic-hedge/,here,21,130,False,False,False,True,False,False,False,False,2024-05-14,2025-06-03,False,False
21,AlphaClone - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/alphaclone,http://www.alphaclone.com/,www.alphaclone.com,11,79,True,False,False,True,False,False,False,False,2024-05-02,2025-05-12,False,False
20,『となりのバフェットがやっている凄い投資』に載っている情報 - をちこち犬の吠ゆるころ,https://gnostikoi.hatenablog.com/entry/20120306/1331043891,http://www.alphaclone.com/,http://www.alphaclone.com,107,122,False,False,False,True,False,False,False,False,2024-05-09,2025-01-06,False,False
20,Here's What a Most Impressive Investor Is Buying,https://www.aol.com/news/2011-09-14-heres-what-a-most-impressive-investor-is-buying.html,http://alphaclone.com/,AlphaClone,48,38,True,False,False,True,False,False,False,False,2024-10-13,2025-04-24,False,False
20,Here's What Powerful Real Estate Investors Are Buying,https://www.aol.com/news/2011-09-15-heres-what-powerful-real-estate-investors-are-buyi.html,http://alphaclone.com/,AlphaClone,51,38,True,False,False,True,False,False,False,False,2024-08-20,2025-05-11,False,False
20,AlphaClone: Assemble Your Fantasy Hedge Fund Team ... And Win,https://www.aol.com/news/2012-11-08-alphaclone-fantasy-hedge-fund-team-investing.html,http://alphaclone.com/,founder of AlphaClone,25,45,True,False,False,True,False,False,False,False,2024-07-30,2025-04-07,False,False
20,Look Who's Dumping Dividend Stocks | The Motley Fool,https://www.fool.com/investing/dividends-income/2010/09/17/look-whos-dumping-dividend-stocks.aspx,http://alphaclone.com/,AlphaClone,18,172,False,False,False,True,False,False,False,False,2024-06-18,2025-04-28,False,False
20,5 Dividend Stocks You Shouldn't Go Without | The Motley Fool,https://www.fool.com/investing/dividends-income/2010/11/17/5-dividend-stocks-you-shouldnt-go-without.aspx,http://alphaclone.com/,AlphaClone,18,169,False,False,False,True,False,False,False,False,2024-04-27,2025-03-07,False,False
20,6 Dividend Stocks the Smart Money Is Buying | The Motley Fool,https://www.fool.com/investing/dividends-income/2011/05/26/6-dividend-stocks-the-smart-money-is-buying.aspx,http://alphaclone.com/,AlphaClone,18,190,False,False,False,True,False,False,False,False,2024-12-15,2025-05-18,False,False
20,6 ETFs the Big Guns Are Buying | The Motley Fool,https://www.fool.com/investing/etf/2010/10/08/6-etfs-the-big-guns-are-buying.aspx,http://alphaclone.com/,AlphaClone,18,175,False,False,False,True,False,False,False,False,2024-04-15,2025-04-13,False,False
20,The Future of These Top ETFs | The Motley Fool,https://www.fool.com/investing/etf/2011/06/27/the-future-of-these-top-etfs.aspx,http://alphaclone.com/,AlphaClone,18,173,False,False,False,True,False,False,False,False,2024-04-26,2025-03-28,False,False
20,7 Stocks the World's Greatest Hedge Fund Managers Love | The Motley Fool,https://www.fool.com/investing/general/2010/09/14/7-stocks-the-worlds-greatest-hedge-fund-managers-l.aspx,http://alphaclone.com/,AlphaClone,18,167,False,False,False,True,False,False,False,False,2024-08-28,2025-02-03,False,False
20,5 Stocks the Value Greats Love | The Motley Fool,https://www.fool.com/investing/general/2010/10/04/5-stocks-the-value-greats-love.aspx,http://alphaclone.com/index.html,AlphaClone,18,171,False,False,False,True,False,False,False,False,2024-11-24,2025-04-12,False,False
20,The Pros Like These 6 ETFs | The Motley Fool,https://www.fool.com/investing/general/2010/12/21/the-pros-like-these-6-etfs.aspx,http://alphaclone.com/,AlphaClone,18,172,False,False,False,True,False,False,False,False,2024-07-01,2025-04-03,False,False
20,Top Holdings and New Trades: Brandes Investment Partners | The Motley Fool,https://www.fool.com/investing/general/2011/03/22/top-holdings-and-new-trades-brandes-investment-par.aspx,http://alphaclone.com/,visit AlphaClone,19,169,False,False,False,True,False,False,False,False,2024-04-15,2025-04-08,False,False
20,Top Holdings and New Trades: Brandes Investment Partners | The Motley Fool,https://www.fool.com/investing/general/2011/03/22/top-holdings-and-new-trades-brandes-investment-par.aspx,http://alphaclone.com/,AlphaClone,19,169,False,False,False,True,False,False,False,False,2024-04-15,2025-04-08,False,False
20,Top Holdings and New Trades: Pzena Investment Management | The Motley Fool,https://www.fool.com/investing/general/2011/03/26/top-holdings-and-new-trades-pzena-investment-manag.aspx,http://alphaclone.com/,AlphaClone,19,163,False,False,False,True,False,False,False,False,2024-10-05,2025-02-28,False,False
20,Top Holdings and New Trades: Pzena Investment Management | The Motley Fool,https://www.fool.com/investing/general/2011/03/26/top-holdings-and-new-trades-pzena-investment-manag.aspx,http://alphaclone.com/,visit AlphaClone,19,163,False,False,False,True,False,False,False,False,2024-10-05,2025-02-28,False,False
20,Hedge Funds Are Bullish on Equities | The Motley Fool,https://www.fool.com/investing/general/2011/06/26/hedge-funds-are-bullish-on-equities.aspx,http://alphaclone.com/,AlphaClone,18,163,False,False,False,True,False,False,False,False,2024-09-07,2025-04-02,False,False
20,Kyle Bass Is Trouncing the Market | The Motley Fool,https://www.fool.com/investing/general/2011/06/30/kyle-bass-is-trouncing-the-market.aspx,http://www.alphaclone.com/,,19,174,True,False,False,False,False,False,True,False,2024-06-03,2025-05-05,False,False
20,Kyle Bass Is Trouncing the Market | The Motley Fool,https://www.fool.com/investing/general/2011/06/30/kyle-bass-is-trouncing-the-market.aspx,http://alphaclone.com/,Hayman Advisors,19,174,False,False,False,True,False,False,False,False,2024-06-03,2025-05-05,False,False
20,Here's What Mason Hawkins' Southeastern Asset Management Bought and Sold Last Quarter | The Motley Fool,https://www.fool.com/investing/general/2011/07/06/heres-what-mason-hawkins-southeastern-asset-manage.aspx,http://www.alphaclone.com/,,20,168,True,False,False,False,False,False,True,False,2024-08-01,2025-04-08,False,False
20,Here's What Mason Hawkins' Southeastern Asset Management Bought and Sold Last Quarter | The Motley Fool,https://www.fool.com/investing/general/2011/07/06/heres-what-mason-hawkins-southeastern-asset-manage.aspx,http://alphaclone.com/,visit AlphaClone,20,168,False,False,False,True,False,False,False,False,2024-08-01,2025-04-08,False,False
20,Here's What Mason Hawkins' Southeastern Asset Management Bought and Sold Last Quarter | The Motley Fool,https://www.fool.com/investing/general/2011/07/06/heres-what-mason-hawkins-southeastern-asset-manage.aspx,http://alphaclone.com/,AlphaClone,20,168,False,False,False,True,False,False,False,False,2024-08-01,2025-04-08,False,False
20,Here's What Bill Ackman Is Buying | The Motley Fool,https://www.fool.com/investing/general/2011/09/06/heres-what-bill-ackman-is-buying.aspx,http://alphaclone.com/,AlphaClone,18,178,False,False,False,True,False,False,False,False,2024-08-22,2025-03-22,False,False
20,Here's What Some Big-Time Quants Are Buying | The Motley Fool,https://www.fool.com/investing/general/2011/09/12/heres-what-some-big-time-quants-are-buying.aspx,http://alphaclone.com/,AlphaClone,18,196,False,False,False,True,False,False,False,False,2024-08-23,2025-05-14,False,False
20,"Here's What This ""Best Investor"" Is Buying | The Motley Fool",https://www.fool.com/investing/general/2011/09/13/heres-what-this-best-investor-is-buying.aspx,http://alphaclone.com/,AlphaClone,18,179,False,False,False,True,False,False,False,False,2024-05-10,2025-04-13,False,False
20,Here's What Bill Ackman Is Buying | The Motley Fool,https://www.fool.com/investing/general/2011/12/02/heres-what-bill-ackman-is-buying.aspx,http://alphaclone.com/,AlphaClone,18,170,False,False,False,True,False,False,False,False,2024-09-30,2025-02-18,False,False
20,Hedge Fund Manager David Tepper Bought Banks and Tech | The Motley Fool,https://www.fool.com/investing/mutual-funds/2011/03/29/hedge-fund-manager-david-tepper-bought-banks-and-t.aspx,http://alphaclone.com/,click here,19,161,False,False,False,True,False,False,False,False,2025-01-22,2025-01-22,False,False
20,Hedge Fund Manager David Tepper Bought Banks and Tech | The Motley Fool,https://www.fool.com/investing/mutual-funds/2011/03/29/hedge-fund-manager-david-tepper-bought-banks-and-t.aspx,http://alphaclone.com/,AlphaClone,19,161,False,False,False,True,False,False,False,False,2025-01-22,2025-01-22,False,False
20,What Stocks Has Hedge Fund Brave Warrior Advisors Been Buying and Selling? | The Motley Fool,https://www.fool.com/investing/mutual-funds/2011/04/04/what-stocks-has-hedge-fund-brave-warrior-advisors-.aspx,http://alphaclone.com/,click here,19,171,False,False,False,True,False,False,False,False,2024-06-13,2025-03-21,False,False
20,What Stocks Has Hedge Fund Brave Warrior Advisors Been Buying and Selling? | The Motley Fool,https://www.fool.com/investing/mutual-funds/2011/04/04/what-stocks-has-hedge-fund-brave-warrior-advisors-.aspx,http://alphaclone.com/,AlphaClone,19,171,False,False,False,True,False,False,False,False,2024-06-13,2025-03-21,False,False
20,Here's What Ariel Capital Bought and Sold Last Quarter | The Motley Fool,https://www.fool.com/investing/mutual-funds/2011/04/05/heres-what-ariel-capital-bought-and-sold-last-quar.aspx,http://alphaclone.com/,click here,19,171,False,False,False,True,False,False,False,False,2024-07-25,2025-04-24,False,False
