Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
41,,http://bit.ly/4FYhbb,http://alphaclone.com/join?SSAID=384233,,0,0,False,False,False,True,False,False,False,False,2025-04-02,2025-04-02,False,False
14,ALPHACLONE | etf.com,https://www.etf.com/etf-service-providers/index-providers/alphaclone,http://www.alphaclone.com/,www.alphaclone.com,1,73,False,False,False,True,False,False,False,False,2024-04-18,2025-05-20,False,False
6,AlphaClone Venture Capital and Private Equity Financings,https://vcnewsdaily.com/AlphaClone/venture-funding.php,http://alphaclone.com/,http://alphaclone.com/,3,18,False,False,False,True,False,False,False,False,2023-08-11,2025-05-26,False,False
8,AlphaClone LLC | RIABiz,https://riabiz.com/d/alphaclone-llc,http://alphaclone.com/,http://alphaclone.com,3,25,False,False,False,True,False,False,False,False,2024-05-29,2025-05-27,False,False
10,AlphaClone Technologies Stack and Company Profile,https://enlyft.com/tech/company/alphaclone.com,http://alphaclone.com/,alphaclone.com,5,61,False,False,False,True,False,False,False,False,2024-04-17,2025-06-04,False,False
14,Mebane Faber | InvestorPlace,https://investorplace.com/author/mebanefaber/,http://alphaclone.com/,AlphaClone,6,44,False,False,False,True,False,False,False,False,2024-04-26,2025-04-19,False,False
21,"Alphaclone, inc.",https://de.slideshare.net/AlphaClone,https://alphaclone.com/,alphaclone.com,6,8,False,False,False,True,False,False,False,False,2024-09-28,2025-04-30,False,False
7,Blow Up Risk - How Tony Stark Would Build A Portfolio | Hedge Fund Alpha,https://hedgefundalpha.com/blow-up-risk-how-tony-stark-would-build-a-portfolio/,http://blog.alphaclone.com/how-tony-stark-would-build-a-portfolio/,AlphaClone,6,59,False,False,False,True,False,False,False,False,2024-07-19,2025-05-22,False,False
8,(06/20/12) New ETF Replicates Hedge-Fund Alpha,https://www.moneyshow.com/articles/dailyguru-28286/,http://alphaclone.com/,AlphaClone,6,66,False,False,False,True,False,False,False,False,2024-08-23,2025-06-05,False,False
6,"Big Saturday Interview with Mebane Faber, author of The Ivy Portfolio, Part 2",https://tradingmarkets.com/recent/big_saturday_interview_with_mebane_faber_author_of_the_ivy_portfolio_part_2-639810,https://www.alphaclone.com/,AlphaClone,7,41,False,False,False,True,False,False,False,False,2024-08-15,2025-02-04,False,False
11,The Dynamic Hedge Rule During Confused Market Environments,https://www.valuewalk.com/dynamic-hedge-rule-confused-market-environments/,http://blog.alphaclone.com/why-we-hedge-the-alphaclone-dynamic-hedge/,written extensively,7,105,False,False,False,True,False,False,False,False,2023-09-29,2025-02-27,False,True
10,Mi vonzza az embereket erre a területre? - Tőzsdefórum,https://tozsdeforum.hu/extra/mi-vonzza-az-embereket-erre-a-teruletre/,http://blog.alphaclone.com/alphaclone/2011/12/top-2011-hedge-fund-performance.html,külföldi,7,188,False,False,False,True,False,False,False,False,2024-08-27,2025-05-30,False,False
8,2009 Press Releases - Folio News | About Us | Folio Investing,https://info.folioinvesting.com/folioinvesting/about-us/media-center/press/archive/2009/2009-06-03/,http://alphaclone.com/,AlphaClone,9,41,False,False,False,True,False,False,False,False,2024-07-20,2025-05-16,False,False
5,AlphaClone optimizes subscription service -- Planet Argon Blog,https://blog.planetargon.com/blog/entries/alphaclone-optimizes-subscription-service,http://alphaclone.com/,AlphaClone,9,34,False,False,False,True,False,False,False,False,2024-04-20,2025-05-19,False,False
12,dopo Faber: portfolio cloning? - Forum di FinanzaOnLine,https://forum.finanzaonline.com/threads/dopo-faber-portfolio-cloning.1154897/,http://alphaclone.com/,http://alphaclone.com/,11,132,False,False,False,True,False,False,False,False,2024-06-26,2025-04-03,False,False
6,Bespoke Premium - Welcome!,https://www.bespokepremium.com/roundtable/worldbeta/2010/,http://alphaclone.com/,AlphaClone,11,10,False,False,False,True,False,False,False,False,2024-05-09,2025-05-26,False,False
7,Using technology to mimic guru investors (Future of Investing) - Tearsheet,https://tearsheet.co/future-of-investing/using-technology-to-mimic-guru-investors-future-of-investing/,https://www.alphaclone.com/,AlphaClone,11,53,False,False,False,True,False,False,False,False,2024-04-02,2025-06-05,False,False
5,Wednesday screencast: fuzzy data,https://abnormalreturns.com/2010/11/17/wednesday-screencast-fuzzy-data/,http://alphaclone.com/what_is_cloning.html,AlphaClone,11,17,False,False,False,True,False,False,False,False,2024-04-29,2025-06-06,False,False
9,Mazin Jadallah Phone Number & Email - AlphaClone,https://www.cience.com/profile/maz-jadallah/8798391,https://alphaclone.com/,alphaclone.com,12,106,False,False,False,True,False,False,False,False,2024-06-25,2025-05-03,False,False
7,Ruby Buzz Forum - AlphaClone on PostgreSQL and Ruby on Rails,https://www.artima.com/forums/flat.jsp?forum=123&thread=244999,http://alphaclone.com/,AlphaClone,13,33,False,False,False,True,False,False,False,False,2024-04-01,2025-03-25,False,True
11,C360R RETURNS TO PIRELLI WORLD CHALLENGE WITH PFAFF AUDI RS 3 LMS USA CLUBSPORT - APR Blog,http://www.goapr.com/blog/post/c360r_returns_to_pirelli_world_challenge_with_pfaff_audi_rs_3_lms_usa_clubsport/,http://alphaclone.com/,http://alphaclone.com,15,132,False,False,False,True,False,False,False,False,2024-04-09,2025-05-20,False,False
17,Still No Herbalife in 13F ETFs | Fox Business,https://www.foxbusiness.com/markets/still-no-herbalife-in-13f-etfs,http://blog.alphaclone.com/,according to AlphaClone data,16,116,False,False,False,True,False,False,False,False,2024-04-29,2025-05-02,False,False
25,"Guru Funds, Mimicking the Smart Money - The New York Times",https://www.nytimes.com/2014/01/12/business/mutfund/guru-funds-mimicking-the-smart-money.html,http://alphaclone.com/about.html?team,Mazin S. Jadallah,17,98,False,False,False,True,False,False,False,False,2024-08-11,2025-04-12,False,False
20,Here's What George Soros Bought and Sold Last Quarter | The Motley Fool,https://www.fool.com/investing/mutual-funds/2011/08/25/heres-what-george-soros-bought-and-sold-last-quart.aspx,http://alphaclone.com/,AlphaClone,18,176,False,False,False,True,False,False,False,False,2024-11-13,2025-04-03,False,False
