Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
22,CardLife: una vita di cartone,https://it.ign.com/cardlife/138778/preview/cardlife-una-vita-di-cartone,http://cardlifegame.com/,sito ufficiale,3,37,False,False,False,True,False,False,False,False,2024-12-24,2025-05-14,False,False
6,MMOGames.com | Cardboard Sandbox CardLife Readies a Major Update,https://www.mmogames.com/articles/archives/cardboard-sandbox-cardlife-readies-major-update/,http://cardlifegame.com/index.php/faq,what it describes,3,43,False,False,False,True,False,False,False,False,2024-08-21,2025-05-22,False,False
6,Cardlife - Le renouveau du design vidéoludique ?,https://new-game-plus.fr/cardlife-description/,http://cardlifegame.com/,cardlife,4,28,False,False,False,True,False,False,False,False,2024-10-10,2025-05-21,False,False
17,"CardLife, CardLife: Creative Survival, CardLife: Cardboard Survival - PC | gamepressure.com",https://www.gamepressure.com/games/cardlife-cardboard-survival/zf5550,http://cardlifegame.com/,Official website,5,58,False,False,False,True,False,False,False,False,2024-01-27,2024-12-05,False,True
9,Robocraft,https://www.robocraftgame.com/download/,http://cardlifegame.com/,,7,14,False,False,False,False,False,False,True,False,2023-10-07,2025-02-25,False,True
6,CardLife Active Player Count & Population | MMO Stats,https://mmostats.com/game/cardlife,https://cardlifegame.com/,Website,7,49,False,False,False,True,False,False,False,False,2024-12-02,2024-12-02,False,False
5,"CardLife: Cardboard Survival - що це за гра, коли вийде, трейлер і відео, системні вимоги, зображення, ціна, схожі ігри",https://ukr.vgtimes.com/games/cardlife-cardboard-survival/,http://cardlifegame.com/,Офіційний сайт,8,111,False,False,False,True,False,False,False,False,2025-03-03,2025-05-26,False,False
17,Upload file - CardLife - ModDB,https://www.moddb.com/games/cardlife/downloads/add,http://cardlifegame.com/,Cardlifegame.com,8,90,False,False,False,True,False,False,False,False,2024-10-28,2025-04-13,False,False
17,"CardLife, CardLife: Creative Survival, CardLife: Cardboard Survival PC | GRYOnline.pl",https://www.gry-online.pl/gry/cardlife-cardboard-survival/zf5550,http://cardlifegame.com/,Strona oficjalna,9,61,False,False,False,True,False,False,False,False,2024-11-05,2025-05-18,False,False
16,"CardLife: Cardboard Survival - что это за игра, когда выйдет, трейлер и видео, системные требования, картинки, цена, похожие игры",https://vgtimes.ru/games/cardlife-cardboard-survival/,http://cardlifegame.com/,Официальный сайт,9,113,False,False,False,True,False,False,False,False,2025-01-10,2025-04-15,False,False
11,CardLife: Creative Survival - SteamSpy - All the data and stats about Steam games,https://steamspy.com/app/920690,http://cardlifegame.com/,Site,9,173,False,False,False,True,False,False,False,False,2022-12-26,2025-01-31,False,True
6,CardLife's Community is Its Heart and Soul,https://www.vgr.com/cardlifes-community-is-its-heart-and-soul/,http://cardlifegame.com/,CardLife website,9,25,False,False,False,True,False,False,False,False,2024-10-18,2025-06-01,False,False
10,CardLife Now on Steam giveaway 97 copies on Steam ends Oct 14 2018 - IndieDB,https://www.indiedb.com/giveaways/cardlife-now-on-steam,http://cardlifegame.com/,Cardlifegame.com,11,126,False,False,False,True,False,False,False,False,2024-09-12,2025-05-29,False,False
14,CardLife: Creative Survival: Überlebenskampf in einer Welt aus Pappe hat den Early Access verlassen - 4P.de,https://www.4p.de/news/cardlife_creative_survival-ueberlebenskampf_in_einer_welt_aus_pappe_hat_den_early_access_verlassen/2181249,http://cardlifegame.com/,offiziellen Website,12,42,False,False,False,True,False,False,False,False,2024-07-01,2025-05-15,False,False
5,CardLife | GameCompanies.com,https://gamecompanies.com/games/cardlife,http://cardlifegame.com/,Website,12,23,False,False,False,True,False,False,False,False,2024-08-29,2025-05-26,False,False
23,Craft Your Own Corrugated Adventures in CardLife | Fandom,https://www.fandom.com/articles/1805-craft-your-own-corrugated-adventures-in-cardlife,http://cardlifegame.com/index.php,CardLife,14,28,False,False,False,True,False,False,False,False,2024-12-12,2025-05-30,False,False
14,"CardLife: Creative Survival — обзоры и отзывы, описание, дата выхода, официальный сайт игры, системные требования и оценки игроков | StopGame",https://stopgame.ru/game/cardlife_creative_survival,http://cardlifegame.com/,Официальный,16,105,False,False,False,True,False,False,False,False,2024-11-07,2025-04-15,False,False
9,CardLife Early Access - Community Collaboration Built With Cardboard - GameSpace.com,https://gamespace.com/all-articles/news/cardlife-early-access-community-collaboration-built-with-cardboard/,http://cardlifegame.com/,CardLife,18,136,False,False,False,True,False,False,False,False,2025-03-28,2025-05-25,False,False
13,サバイバルゲーム『CardLife』10月早期アクセス配信開始へ。舞台は「ダンボール」でできた世界、切り抜きでアイテムなどを自由にデザイン - AUTOMATON,https://automaton-media.com/articles/iotw/20180917-76314/,http://cardlifegame.com/index.php,CardLife: Cardboard Survival,23,87,False,False,False,True,False,False,False,False,2024-12-06,2025-06-05,False,False
13,CardLife Articles | MMORPG.com,https://www.mmorpg.com/cardlife/articles,http://www.cardlifegame.com/,Official Site,26,218,False,False,False,True,False,False,False,False,2024-11-21,2025-05-20,False,False
