Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
48,rutrekker,https://rutrekkerc.blogspot.com/,https://catherletters.org/,catherletters,50172,7,True,False,False,True,False,False,False,False,2024-11-19,2025-06-03,False,False
43,rutrekker,https://rutrekkerc.blogspot.com/%C2%A0,https://catherletters.org/,catherletters,50172,5,True,False,False,True,False,False,False,False,2025-03-13,2025-03-20,False,False
31,Louise Pound - Wikipedia,https://en.wikipedia.org/wiki/Louise_Pound,http://www.catherletters.org/letters/1892-letter-louise-pound/,"""1892 Letter to Louise Pound""",71,253,True,False,False,True,False,False,False,False,2024-12-17,2025-04-10,False,False
26,"Louise Pound - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Louise_Pound,http://www.catherletters.org/letters/1892-letter-louise-pound/,«1892 Letter to Louise Pound»,79,241,True,False,False,True,False,False,False,False,2024-12-14,2025-04-27,False,False
22,Willa Cather (U.S. National Park Service),https://www.nps.gov/people/willa-cather.htm,http://www.catherletters.org/letters/1936-letter-edith-lewis/,http://www.catherletters.org/letters/1936-letter-edith-lewis/,17,34,False,False,False,True,False,False,False,False,2024-11-20,2025-06-04,False,False
22,Willa Cather (U.S. National Park Service),https://www.nps.gov/people/willa-cather.htm,http://www.catherletters.org/story-behind-letters/1892-letter-to-louise-pound/,http://www.catherletters.org/story-behind-letters/1892-letter-to-louise-pound/,17,34,False,False,False,True,False,False,False,False,2024-12-11,2025-06-04,False,False
19,Literary Stories for Dec. 5-8 - by Nicholas E. Barron,https://bidwellhollow.substack.com/p/literary-stories-for-dec-5-8,http://www.catherletters.org/story-behind-letters/1908-letter-to-sarah-orne-jewett/,The Story Behind the 1908 Sarah Orne Jewett Letter,25,10,False,False,False,True,False,False,False,False,2024-11-29,2025-05-18,False,False
19,WE THE PEOPLE (+ MACHINE),https://culturefuturist.substack.com/p/we-the-people-machine,https://www.catherletters.org/letters/,wrote,6,12,True,False,True,True,False,False,False,False,2024-06-30,2025-05-23,False,False
18,Jewell assists with new documentary on Cather’s letters | Nebraska Today,https://ianrnews-test.unl.edu/article/jewell-assists-with-new-documentary-on-cather-s-letters,http://www.catherletters.org/home/,click here,8,69,False,False,False,True,False,False,False,False,2025-04-07,2025-05-06,False,False
18,Jewell assists with new documentary on Cather’s letters | Nebraska Today,https://news-test.unl.edu/article/jewell-assists-with-new-documentary-on-cather-s-letters,http://www.catherletters.org/home/,click here,8,69,False,False,False,True,False,False,False,False,2024-12-02,2025-05-15,False,False
17,In the News | Willa Cather Archive,https://cather.unl.edu/about/news,http://www.catherletters.org/home/,catherletters.org,21,42,False,False,False,True,False,False,False,False,2024-12-02,2025-05-24,False,False
17,Jewell assists with new documentary on Cather’s letters | Nebraska Today,https://news.unl.edu/article/jewell-assists-with-new-documentary-on-cather-s-letters,http://www.catherletters.org/home/,click here,8,69,False,False,False,True,False,False,False,False,2024-11-13,2025-06-04,False,False
16,A Lost Lady Lesson Plan | Teaching Unit: Related Links | GradeSaver,https://www.gradesaver.com/a-lost-lady/lesson-plan/related-links,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,10,105,False,False,False,True,False,False,False,False,2025-01-03,2025-04-17,False,False
16,A Lost Lady Lesson Plan | Teaching Unit: Related Links | GradeSaver,https://www.gradesaver.com/a-lost-lady/lesson-plan/related-links,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,The Story Behind F. Scott Fitzgerald's 1925 Letter,10,105,False,False,False,True,False,False,False,False,2025-01-03,2025-04-17,False,False
15,bruce2008.com is for sale,http://www.bruce2008.com/,http://catherletters.org/,catherletters.org,268,0,False,False,False,True,False,False,False,False,2024-11-15,2025-06-01,False,False
15,18 Lesbian Power Couples From History Who Made Really Great Art For You | Autostraddle,https://www.autostraddle.com/18-lesbian-power-couples-from-history-who-made-great-art-376102/,http://www.catherletters.org/story-behind-letters/1936-letter-to-edith-lewis/,source,66,180,False,False,False,True,False,False,False,False,2024-11-27,2025-06-02,False,False
15,A Wagner Matinée Links | GradeSaver,https://www.gradesaver.com/a-wagner-matin%C3%A9e/study-guide/related-links,http://www.catherletters.org/home/,http://www.catherletters.org/home/,7,69,False,False,False,True,False,False,False,False,2024-12-03,2025-05-07,False,False
15,A Wagner Matinée Links | GradeSaver,https://www.gradesaver.com/a-wagner-matin%C3%A9e/study-guide/related-links,http://www.catherletters.org/home/,"Yours, Willa Cather",7,69,False,False,False,True,False,False,False,False,2024-12-03,2025-05-07,False,False
12,rutrekker,https://rutrekkerc.blogspot.com/component/dashboard/?view=manager,https://catherletters.org/,catherletters,50172,5,True,False,False,True,False,False,False,False,2025-03-22,2025-03-22,False,False
12,rutrekker,https://rutrekkerc.blogspot.com/component/dashboardmm/?view=manager,https://catherletters.org/,catherletters,50172,5,True,False,False,True,False,False,False,False,2025-03-27,2025-03-27,False,False
12,rutrekker,https://rutrekkerc.blogspot.com/component/newsmgr/?view=intro,https://catherletters.org/,catherletters,50172,5,True,False,False,True,False,False,False,False,2025-01-08,2025-01-08,False,False
12,rutrekker,https://rutrekkerc.blogspot.com/manage/manage-sidebar.html,https://catherletters.org/,catherletters,50172,5,True,False,False,True,False,False,False,False,2025-02-09,2025-02-09,False,False
10,Story of the Week: Roll Call on the Prairies,https://storyoftheweek.loa.org/2018/07/roll-call-on-prairies.html,http://www.catherletters.org/story-behind-letters/1922-letter-to-dorothy-canfield-fisher/,later wrote,12,36,False,False,False,True,False,False,False,False,2025-01-17,2025-04-29,False,False
10,Story of the Week: The Passing of Sister Barsett,https://storyoftheweek.loa.org/2019/09/the-passing-of-sister-barsett.html,http://www.catherletters.org/story-behind-letters/1908-letter-to-sarah-orne-jewett/,The Story Behind the 1908 Sarah Orne Jewett Letter from Willa Cather,9,36,False,False,False,True,False,False,False,False,2025-02-22,2025-04-30,False,False
7,"New NET Production 'Yours, Willa Cather' Spans, Radio, TV, & Digital | National Willa Cather Center - Red Cloud, NE",https://www.willacather.org/news/new-net-production-yours-willa-cather-spans-radio-tv-digital,http://www.catherletters.org/home/,catherletters.org,12,56,False,False,False,True,False,False,False,False,2024-11-20,2025-05-28,False,False
5,New Documentary Highlights Willa Cather (Giveaway),https://www.lillepunkin.com/2015/09/new-documentary-highlights-willa-cather.html,http://www.catherletters.org/,http://www.catherletters.org,16,25,False,False,False,True,False,False,False,False,2025-02-02,2025-02-02,False,False
4,Willa Cather Book Club - April • Stay Curious · Chris Wolak,https://chriswolak.com/2019/04/03/willa-cather-book-club-april/,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,10,47,False,False,False,True,False,False,False,False,2022-04-26,2025-06-03,False,False
4,"Response to ""The Sculptor's Funeral."" The Willa Cather Short Story Project • Stay Curious · Chris Wolak",https://chriswolak.com/2019/11/27/response-to-the-sculptors-funeral-the-willa-cather-short-story-project/,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,http://www.catherletters.org/story-behind-letters/1925-letter-to-f-scott-fitzgerald/,9,62,True,False,True,True,False,False,False,False,2021-07-12,2025-06-04,False,False
4,"""Peter."" Willa Cather Short Story Project • Feb 2021 Reminder • Stay Curious",https://chriswolak.com/2021/02/03/peter-willa-cather-short-story-project-feb-2021-reminder/,http://www.catherletters.org/story-behind-letters/1936-letter-to-annie-pavelka/,http://www.catherletters.org/story-behind-letters/1936-letter-to-annie-pavelka/,13,67,True,False,True,True,False,False,False,False,2024-05-05,2025-04-30,False,False
