Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,Printing Web Directory: ODP.org > Regional > North America > United States > California > Localities > H > Hollywood > Business and Economy > Printing Directory,http://odp.org/Regional/North_America/United_States/California/Localities/H/Hollywood/Business_and_Economy/Printing,http://www.copymathollywood.com/,Copymat Hollywood,4,21,False,False,False,True,False,False,False,False,2024-08-23,2025-03-13,False,False
9,Copymat Hollywood | The Hollywood Partnership,https://hollywoodpartnership.com/go/copymat-hollywood,https://www.copymathollywood.com/,visit website,6,65,False,False,False,True,False,False,False,False,2024-02-12,2025-03-01,False,True
7,"Copymat Hollywood in Hollywood, CA 90028 - YellowBot",https://m.yellowbot.com/copymat-hollywood-hollywood-ca.html,http://www.copymathollywood.com/,copymathollywood.com,6,14,False,False,False,True,False,False,False,False,2024-07-19,2024-12-11,False,False
15,"Copymat Hollywood - 133 Reviews - Business Services in Los Angeles, CA - Birdeye",https://reviews.birdeye.com/copymat-hollywood-147086956697598,https://www.copymathollywood.com/,https://www.copymathollywood.com/,13,95,False,False,False,True,False,False,False,False,2024-06-20,2025-04-27,False,False
5,Copymathollywood.com [Analysis],https://www.mustat.com/copymathollywood.com,https://copymathollywood.com/,Copymathollywood.com,13,31,False,False,False,True,False,False,False,False,2024-06-09,2025-05-22,False,False
6,Simcast News portal.,https://peanut.parklogic.com/Search?q=Entertainment%20Industry&st=40,http://copymathollywood.com/,copymathollywood.com,19,119,False,False,False,True,False,False,False,False,2025-03-04,2025-05-28,False,False
6,Copymat Hollywood Offer - Industry Deal Entertainment Industry,https://instagift.com/deal/copymat-hollywood-18,http://www.copymathollywood.com/,Visit Company Website,19,3,False,False,False,True,False,False,False,False,2024-07-16,2025-06-01,False,False
9,Carole Dorothy Joyce Grant for Student Filmmakers - From the Heart Productions Inc,https://fromtheheartproductions.com/carole-dorothy-joyce-grant-for-student-filmmakers/,http://www.copymathollywood.com/,"Copymat, Hollywood",25,94,False,False,False,True,False,False,False,False,2024-09-17,2025-05-25,False,False
8,Carole Dorothy Joyce Grant for Student Filmmakers - From the Heart Productions Inc,https://fromtheheartproductions.com.dream.website/carole-dorothy-joyce-grant-for-student-filmmakers/,http://www.copymathollywood.com/,"Copymat, Hollywood",29,88,False,False,False,True,False,False,False,False,2024-05-18,2025-05-08,False,True
6,"$3,500 Roy W. Dean Film Grant, Deadline June 30th - Cleveland Film",https://www.clevelandfilm.com/jobs-training/roy-w-dean-film-grant-deadline-june-30th/,http://www.copymathollywood.com/,"Copymat, Hollywood",29,66,False,False,False,True,False,False,False,False,2025-05-10,2025-05-27,True,False
