Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
21,New campaign says milk can help with PMS - The Washington Post,https://www.washingtonpost.com/blogs/the-checkup/post/new-campaign-says-milk-can-help-with-pms/2010/12/20/gIQA51sp5H_blog.html,http://everythingidoiswrong.org/,Everything I Do is Wrong.org,3,5,False,False,False,True,False,False,False,False,2024-05-27,2025-05-30,False,False
11,[UPDATED] Cramps? Bloating? Unbridled and Irrational Anger Towards the Men in Your Life? Try Some Milk!,https://www.riverfronttimes.com/food-drink/updated-cramps-bloating-unbridled-and-irrational-anger-towards-the-men-in-your-life-try-some-milk-2630348,http://everythingidoiswrong.org/#/,Everything I Do is Wrong,5,60,False,False,False,True,False,False,False,False,2024-04-02,2025-05-27,False,False
13,California Milk Processor Board советует пить молоко при ПМС,https://www.sostav.ru/news/2011/07/14/zar1/,http://www.everythingidoiswrong.org/,флеш-версию сайта,8,59,False,False,False,True,False,False,False,False,2024-01-19,2025-04-27,False,False
9,"New ""Got Milk?"" Ads Flip the Script - Got PMS? - Foodbeast",https://www.foodbeast.com/news/new-got-milk-ads-flip-the-script-got-pms/,https://www.everythingidoiswrong.org/,campaign,8,52,False,False,False,True,False,False,False,False,2024-08-27,2025-05-23,False,False
14,Milk: The New Key To A Man's Happiness,https://www.thedailymeal.com/milk-new-key-mans-happiness/,http://everythingidoiswrong.org/,everythingidoiswrong.org,10,78,False,False,False,True,False,False,False,False,2024-04-18,2025-05-31,False,False
21,Can Milk Really Relieve PMS? It Might : Shots - Health News : NPR,https://www.npr.org/sections/health-shots/2011/07/27/137816152/got-pms-marketers-want-you-to-reach-for-the-milk-carton,http://everythingidoiswrong.org/#/,EverythingIDoIsWrong.org,10,82,False,False,False,True,False,False,False,False,2024-05-24,2025-06-06,False,False
15,Got Sexism?,https://www.adweek.com/creativity/got-pms-have-glass-milk-you-crazy-bitch-133353/,http://www.everythingidoiswrong.org/,a Flash-heavy microsite,10,58,False,False,False,True,False,False,False,False,2024-04-24,2025-05-06,False,False
5,Annoyed with sexism? Milk says it's just your PMS! – About-Face: Media literacy and action for teen girls,https://about-face.org/annoyed-with-sexism-according-to-milk-its-probably-just-your-pms/,http://www.everythingidoiswrong.org/,Everything I Do Is Wrong,10,117,False,False,False,True,False,False,False,False,2021-08-06,2025-05-31,False,False
10,Got PMS? Get Milk. Ads aimed at men to promote women drinking more milk. Adland®Page 6 |,https://adland.tv/got-pms-get-milk-ads-aimed-men-promote-women-drinking-more-milk?page=5,https://everythingidoiswrong.org/#/,Everything I do is wrong,11,144,False,False,False,True,False,False,False,False,2024-08-30,2025-02-28,False,True
9,Got PMS? Milk can help | Drug Store News,https://drugstorenews.com/center-store/got-pms-milk-can-help,http://www.everythingidoiswrong.org/,EverythingIDoIsWrong.org,11,39,False,False,False,True,False,False,False,False,2023-01-03,2025-05-17,False,False
7,Milk Campaign Ended After Media Sh!tshow | Jessica Cording Nutrition,https://jessicacordingnutrition.com/milk-campaign-ended/,http://everythingidoiswrong.org/,everythingidoiswrong.org,11,42,False,False,False,True,False,False,False,False,2024-04-17,2025-05-17,False,False
10,Got milk? | IH8MUD Forum,https://forum.ih8mud.com/threads/got-milk.502867/,http://everythingidoiswrong.org/#/,Everything I Do Is Wrong | Are You A Man Living With PMS?,12,224,False,False,False,True,False,False,False,False,2024-04-19,2025-05-07,False,False
6,Daily archive: 14-Jul-11,https://www.adrants.com/2011/07/14/,http://www.everythingidoiswrong.org/,Everything I Do is Wrong,12,111,False,False,False,True,False,False,False,False,2024-02-25,2025-02-24,False,False
14,Milk's sexist new anti-PMS campaign | Salon.com,https://www.salon.com/2011/07/12/milk_sexist_pms_campaign/,http://everythingidoiswrong.org/#/,"""Everything I do is wrong""",12,42,False,False,False,True,False,False,False,False,2024-03-14,2025-06-02,False,False
8,Latest ‘Got Milk?’ Campaign Shows Worst of Marketing | PRBreakfastClub,http://prbreakfastclub.com/2011/07/26/got-milk-campaign/,http://everythingidoiswrong.org/puppyDog,special microsite,12,29,False,False,False,True,False,False,False,False,2025-02-07,2025-03-09,False,False
5,Got PMS? These Milk Ads Are Here To Help – Foodiggity,https://www.foodiggity.com/got-pms-these-milk-ads-are-here-to-help/,https://www.everythingidoiswrong.org/#/,Everything I Do Is Wrong,13,70,False,False,False,True,False,False,False,False,2023-12-31,2025-05-25,False,False
15,Milk Board Reverses Course on Controversial PMS Campaign | Blaze Media,https://www.theblaze.com/news/2011/07/22/milk-board-reverses-course-on-controversial-pms-campaign,https://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,14,47,False,False,False,True,False,False,False,False,2025-02-18,2025-05-04,False,False
13,Men: Calm Your Crazy PMSing Girlfriend With...Milk? - Gothamist,https://gothamist.com/food/men-calm-your-crazy-pmsing-girlfriend-withmilk,http://everythingidoiswrong.org/#/,Everything I Do Is Wrong,15,24,False,False,False,True,False,False,False,False,2024-05-06,2025-06-01,False,False
20,New 'Got Milk' campaign misfire? - Los Angeles Times,https://www.latimes.com/archives/blogs/money-company/story/2011-07-12/new-got-milk-campaign-misfire,https://www.everythingidoiswrong.org/#/,Everything I Do Is Wrong,16,169,False,False,False,True,False,False,False,False,2024-04-13,2025-05-28,False,False
9,Milk Board Alters PMS Ads After Criticism | Manufacturing.net,https://www.manufacturing.net/home/news/13170064/milk-board-alters-pms-ads-after-criticism,http://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,16,81,False,False,False,True,False,False,False,False,2024-06-27,2025-05-16,False,False
9,Got PMS? Get Milk. - Spin Sucks,https://spinsucks.com/marketing/got-pms-get-milk/,http://everythingidoiswrong.org/#/,Everything I Do Is Wrong,16,24,False,False,False,True,False,False,False,False,2024-03-30,2025-04-27,False,False
15,"News bites from David Cameron, phone hacking to Kevin Rudd",https://www.mamamia.com.au/news-bites-from-david-cameron-phone-hacking-to-kevin-rudd/,http://everythingidoiswrong.org/,Everything I Do is Wrong,17,65,False,False,False,True,False,False,False,False,2024-12-10,2025-05-12,False,False
19,Milk Is at the Center of Sexist Allegations - The Atlantic,https://www.theatlantic.com/national/archive/2011/07/milk-finds-itself-center-sexist-allegations/353235/,http://everythingidoiswrong.org/,everythingidoiswrong.org,17,42,False,False,False,True,False,False,False,False,2023-10-06,2025-05-20,False,False
5,Chatter: U.S. milk ads going bad? | Marketing Magazine,https://marketingmag.ca/news/marketer-news/chatter-u-s-milk-ads-going-bad-31922,http://everythingidoiswrong.org/#/,website,18,47,False,False,False,True,False,False,False,False,2024-06-30,2025-05-18,False,False
23,"Got PMS? Drink Some Milk, Says Sexist Ad Campaign | HuffPost Life",https://www.huffpost.com/entry/pms-milk-sexist_n_896333,http://www.everythingidoiswrong.org/,EverythingIDoIsWrong.org,18,80,False,False,False,True,False,False,False,False,2024-12-12,2025-03-12,False,False
11,EUA: Campanha de promoção do leite é retirada do ar | MilkPoint,https://www.milkpoint.com.br/noticias-e-mercado/giro-noticias/eua-campanha-de-promocao-do-leite-e-retirada-do-ar-73569n.aspx,http://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,19,52,False,False,False,True,False,False,False,False,2024-12-05,2024-12-05,False,False
15,Got PMS?: California Milk Board Shuts Down Sexist Ad Campaign | LAist,https://laist.com/news/got-pms-is-the-milk-boards-new-ad-c,https://everythingidoiswrong.org/,EverythingIDoIsWrong.org,21,76,False,False,False,True,False,False,False,False,2024-03-16,2025-06-01,False,False
14,Telling Men They're Victims Of PMS Sure Is An Interesting Way To Sell Milk,https://www.jezebel.com/telling-men-theyre-victims-of-pms-sure-is-an-interestin-5820320,http://everythingidoiswrong.org/#/,trolls,22,49,False,False,False,True,False,False,False,False,2024-03-17,2025-05-28,False,False
14,PMS-themed California milk campaign sparks discussion – East Bay Times,https://www.eastbaytimes.com/2011/07/23/pms-themed-california-milk-campaign-sparks-discussion/,http://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,26,146,False,False,False,True,False,False,False,False,2024-07-30,2025-03-29,False,False
11,Got PMS? New campaign says milk can help with that – The Oakland Press,https://www.theoaklandpress.com/2011/07/12/got-pms-new-campaign-says-milk-can-help-with-that/,http://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,27,100,False,False,False,True,False,False,False,False,2024-07-22,2025-05-25,False,False
8,"California Sexist Ad Campaign Says Milk Relieves Demon PMS Symptoms | Clean Plate Charlie | South Florida | Broward Palm Beach New Times | The Leading Independent News Source in Broward-Palm Beach, Florida",https://www.browardpalmbeach.com/restaurants/california-sexist-ad-campaign-says-milk-relieves-demon-pms-symptoms-6392214,http://www.everythingidoiswrong.org/#/,EverythingIDoIsWrong.org,28,60,False,False,False,True,False,False,False,False,2024-03-17,2025-06-01,False,False
17,Were milk ads poking fun at PMS offensive to women? - syracuse.com,https://www.syracuse.com/news/2011/07/did_milk_ads_poking_fun_at_pms.html,http://everythingidoiswrong.org/,everythingidoiswrong.org,28,47,False,False,False,True,False,False,False,False,2024-02-15,2025-05-19,False,False
20,"Got PMS? Milk Marketers Launch an Audacious, Funny New Ad Campaign | TIME.com",https://healthland.time.com/2011/07/15/got-pms-milk-marketers-launch-an-audacious-funny-new-ad-campaign/,http://everythingidoiswrong.org/#/,everythingidoiswrong.org,29,56,False,False,False,True,False,False,False,False,2021-04-22,2025-05-27,False,False
23,New Ad Campaign Promotes Milk as Cure for PMS | Fox News,https://www.foxnews.com/us/new-ad-campaign-promotes-milk-as-cure-for-pms,http://www.everythingidoiswrong.org/#/,"Click here to see the new ""Got Milk?"" ad campaign",29,165,False,False,False,True,False,False,False,False,2025-01-05,2025-04-16,False,False
8,PMS-themed Calif. milk campaign sparks discussion – Daily Tribune,https://www.dailytribune.com/2011/07/23/pms-themed-calif-milk-campaign-sparks-discussion/,http://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,30,100,False,False,False,True,False,False,False,False,2024-06-27,2025-05-19,False,False
14,Milk: It Does The Patriarchy Good? – PJ Media,https://pjmedia.com/jenn-taylor/2011/07/23/milk-it-does-the-patriarchy-good-n11107,http://everythingidoiswrong.org/,everythingidoiswrong.org,30,58,False,False,False,True,False,False,False,False,2024-02-12,2025-06-03,False,False
11,‘Got Milk’ campaign touts the beverage’s curative powers—for PMS - PR Daily,https://www.prdaily.com/got-milk-campaign-touts-the-beverages-curative-powers-for-pms/,http://everythingidoiswrong.org/#/,Everything I Do Is Wrong,30,33,False,False,False,True,False,False,False,False,2024-03-27,2025-05-08,False,False
12,No Comment: Nothing Like an Ice-Cold Glass of Sexism - Ms. Magazine,https://msmagazine.com/2011/07/13/no-comment-nothing-like-an-ice-cold-glass-of-sexism/,http://everythingidoiswrong.org/,Everything I Do is Wrong,30,60,False,False,False,True,False,False,False,False,2025-02-22,2025-06-03,False,False
15,Dairy campaign suggests milk could help couples – San Diego Union-Tribune,https://www.sandiegouniontribune.com/2011/07/13/dairy-campaign-suggests-milk-could-help-couples/,https://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,32,168,False,False,False,True,False,False,False,False,2025-03-20,2025-06-05,False,False
12,"Milk, P.M.S., and Men's Cluelessness - The Stranger",https://www.thestranger.com/food-and-drink/2011/07/13/9041226/milk-pms-and-mens-cluelessness,http://everythingidoiswrong.org/,a website,32,57,False,False,False,True,False,False,False,False,2024-06-21,2025-05-21,False,False
10,Sociological Images,https://thesocietypages.org/socimages/tag/foodagriculture/page/16/,http://everythingidoiswrong.org/#/,Everything I Do is Wrong,32,64,False,False,False,True,False,False,False,False,2024-03-26,2025-05-24,False,False
17,Can milk save men from PMS? – Orange County Register,https://www.ocregister.com/2011/07/13/can-milk-save-men-from-pms/,http://everythingidoiswrong.org/,everythingidoiswrong.org,38,159,False,False,False,True,False,False,False,False,2024-08-10,2025-04-07,False,False
9,California Milk Campaign Backfires,https://www.dairyherd.com/news/california-milk-campaign-backfires,http://www.everythingidoiswrong.org/,www.everythingidoiswrong.org,40,78,False,False,False,True,False,False,False,False,2024-05-30,2025-06-04,False,False
