Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
9,"ADHESIONS Messages for June, 2000: The four phases of forgiving....",http://s134881255.onlinehome.us/forums/ADHESIONS.0006/0115.html,http://www.forgiveness-institute.org/ifi/whatis/process_model_of_forgiving.html,http://www.forgiveness-institute.org/ifi/whatis/process_model_of_forgiving.html,1,8,False,False,False,True,False,False,False,False,2024-10-09,2025-02-24,False,False
10,Enright Forgiveness Inventory (EFI) - Mind Garden,https://www.mindgarden.com/95-enright-forgiveness-inventory,http://www.forgiveness-institute.org/,International Forgiveness Institute,2,74,False,False,False,True,False,False,False,False,2024-10-14,2025-05-28,False,False
5,Forgiveness Web Directory: ODP.org > Society > Relationships > Forgiveness Directory,http://odp.org/Society/Relationships/Forgiveness,http://www.forgiveness-institute.org/,"International Forgiveness Institute, Inc.",6,23,False,False,False,True,False,False,False,False,2024-07-20,2025-05-12,False,False
12,Psychology Rediscovers the Power of Forgiveness - ZENIT - English,https://zenit.org/2005/09/12/psychology-rediscovers-the-power-of-forgiveness/,http://www.forgiveness-institute.org/html/bookstore.htm,2000,7,97,False,False,False,True,False,False,False,False,2024-09-17,2024-12-06,False,False
14,"Opinion | My Bad Angel: Vengeance vs Forgiveness, This Eternal Struggle | Common Dreams",https://www.commondreams.org/views/2011/12/31/my-bad-angel-vengeance-vs-forgiveness-eternal-struggle,https://www.forgiveness-institute.org/html/about_us.htm,Institute for Forgiveness Studies,10,283,False,False,False,True,False,False,False,False,2024-03-08,2025-02-28,False,True
15,Gratitude Archives - Character Education Resource Center,https://sites.sandiego.edu/character/blog/tag/gratitude/,http://www.forgiveness-institute.org/,www.forgiveness-institute.org,11,128,False,False,False,True,False,False,False,False,2024-07-22,2025-05-20,False,False
21,Vergebung als Kategorie der politischen Aussöhnung - ORF ON Science,https://sciencev1.orf.at/sciencev1.orf.at/science/news/143505.html,http://www.forgiveness-institute.org/html/about_forgiveness.htm,About Forgiveness (International Forgiveness Institute),13,10,False,False,False,True,False,False,False,False,2024-07-18,2025-05-19,False,False
28,Forgiveness is the secret to happy relationships | Relationships | The Guardian,https://www.theguardian.com/lifeandstyle/2009/oct/10/forgiveness-retaliation-revenge-dillner,http://www.forgiveness-institute.org/,International Forgiveness Institute,13,104,False,False,False,True,False,False,False,False,2024-08-04,2025-04-18,False,False
5,Forgiveness-institute.org [Analysis],https://www.mustat.com/forgiveness-institute.org,https://forgiveness-institute.org/,Forgiveness-institute.org,13,36,False,False,False,True,False,False,False,False,2024-12-19,2024-12-19,False,False
15,The Ancient Indian Burial Ground of relationships - forgiveness | Ask MetaFilter,https://ask.metafilter.com/119224/The-Ancient-Indian-Burial-Ground-of-relationships,http://www.forgiveness-institute.org/html/bookstore.htm,International Forgiveness Institute,18,141,False,False,False,True,False,False,False,False,2024-08-22,2025-02-14,False,False
5,TFF FEATURES - Articles,http://www.oldsite.transnational.org/SAJT/features/Wired99/WIRE101299.html,http://www.forgiveness-institute.org/wof_sample_article.html,Forgiveness and self-respect,21,17,False,False,False,True,False,False,False,False,2024-09-12,2025-05-17,False,False
11,Letting it go: The journey toward forgiveness,https://www.dailyherald.com/20071013/news/letting-it-go-the-journey-toward-forgiveness/,http://www.forgiveness-institute.org/,www.forgiveness-institute.org,26,114,False,False,False,True,False,False,False,False,2024-11-11,2025-06-02,False,False
7,Emotional Competency - Forgiveness,https://www.emotionalcompetency.com/forgiveness.htm,http://www.forgiveness-institute.org/,International Forgiveness Institute,39,64,False,False,False,True,False,False,False,False,2024-08-19,2025-06-05,False,False
17,National Practicum Sites | Tom Porter Program on Religion & Conflict Transformation,https://www.bu.edu/rct/program-curriculum/the-practicum/national-practicum-sites/,http://www.forgiveness-institute.org/,http://www.forgiveness-institute.org,41,15,False,False,False,True,False,False,False,False,2024-10-06,2025-06-01,False,False
23,"Folha Online - Equilíbrio - Perdoar faz bem ao corpo, à alma e às relações - 28/11/2002",https://www1.folha.uol.com.br/folha/equilibrio/noticias/ult263u1916.shtml,http://www.forgiveness-institute.org/,www.forgiveness-institute.org,62,335,False,False,False,True,False,False,False,False,2024-11-10,2025-05-28,False,False
5,Behavior and Social Forces,https://www.harley.com/yp/categories/behaviorandsocialforces/items.html,http://forgiveness-institute.org/IFI/Whatis/process_model.htm,http://forgiveness-institute.org/IFI/Whatis/process_mod...,67,2,False,False,False,True,False,False,False,False,2024-07-23,2025-06-05,False,False
