Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
49,The 4 Fundamentals of Latte Art,https://www.seriouseats.com/latte-art-basics-four-fundamentals-how-to-do-latte-art,http://benjayphoto.grandportfolio.com/,Ben Jay,12,93,True,False,False,True,False,False,False,False,2024-12-08,2025-05-30,False,False
46,Blogger: User Profile: Brianna Traynor,https://draft.blogger.com/profile/16529900365598450291,http://lovestefani.grandportfolio.com/,STEFANISTERJOVSKI: BLOG,16,11,False,False,False,True,False,False,False,False,2025-03-28,2025-03-28,False,False
44,shizudai,https://shizudaiz.blogspot.com/,https://bryllupsfotograf.grandportfolio.com/,bryllupsfotograf,50171,7,True,False,False,True,False,False,False,False,2024-11-25,2025-06-04,False,False
21,"George Stroumboulopoulos Tonight | Visit Toronto For The Urban Experience, Stay For The ... Tranquil Wilderness?",https://www.cbc.ca/strombo/news/visit-toronto-for-the-urban-experience-stay-for-the-tranquil-wilderness.htm,http://nationalparksproject.grandportfolio.com/,National Parks Project,17,32,False,False,False,True,False,False,False,False,2025-02-07,2025-05-16,False,False
18,Blogger: Προφίλ Χρήστη: Brianna Traynor,https://www.blogger.com/profile/16529900365598450291,http://lovestefani.grandportfolio.com/,STEFANISTERJOVSKI: BLOG,16,11,False,False,False,True,False,False,False,False,2024-11-27,2025-05-21,False,False
17,shizudai,https://shizudaiz.blogspot.com/%C2%A0,https://bryllupsfotograf.grandportfolio.com/,bryllupsfotograf,50171,5,True,False,False,True,False,False,False,False,2025-01-08,2025-01-17,False,False
16,Feature Creature,http://featurecreatureart.blogspot.com/,http://trevorhenderson.grandportfolio.com/,Trevor Henderson Illustration,29,46,False,False,False,True,False,False,False,True,2024-12-17,2025-05-22,False,False
15,bruce2008.com is for sale,http://www.bruce2008.com/,http://grandportfolio.com/,grandportfolio.com,268,0,False,False,False,True,False,False,False,False,2024-12-02,2025-06-01,False,False
15,Max Dean Purchase: Performative Portrait & Still life - McMaster Museum of Art,https://museum.mcmaster.ca/max-dean-purchase-performative-portrait-still-life/,http://maxdean.grandportfolio.com/about/,Max Dean,5,43,False,False,False,True,False,False,False,False,2024-12-04,2025-06-05,False,False
14,"For One Night, a City Lights Up with Art",https://hyperallergic.com/90345/for-one-night-a-city-lights-up-with-art/,http://maxdean.grandportfolio.com/,Max Dean,19,71,False,False,False,True,False,False,False,False,2017-07-16,2025-05-22,False,False
14,Mutts and Co. know how to put on a pop-up,https://www.blogto.com/fashion_style/2012/07/mutts_and_co_know_how_to_put_on_a_pop-up/,http://nathanielbrown.grandportfolio.com/jewelry/,Nathaniel C. Brown,22,35,False,False,False,True,False,False,False,False,2024-11-28,2025-05-22,False,False
14,Decomposing Paintings : Martin Ouellette,https://www.trendhunter.com/trends/martin-ouellette,http://martinouellette.grandportfolio.com/,martinouellette.grandportfolio,35,75,True,False,False,True,False,False,False,False,2024-12-13,2025-04-29,False,False
13,Links - Guen Douglas,https://guendouglas.format.com/links,http://fivecents.grandportfolio.com/,http://fivecents.grandportfolio.com/,34,15,False,False,False,True,False,False,False,False,2024-12-09,2025-05-21,False,False
12,MEDUSAWOLF: The G.I. Joe Artwork of Hector Garrido,http://medusawolf.blogspot.com/2013/08/the-gi-joe-artwork-of-hector-garrido.html,http://jennwoodall.grandportfolio.com/,Jenn Woodall,91,61,False,False,False,True,False,False,False,True,2024-12-19,2025-05-06,False,False
12,shizudai,https://shizudaiz.blogspot.com/component/dashboard/?view=manager,https://bryllupsfotograf.grandportfolio.com/,bryllupsfotograf,50171,5,True,False,False,True,False,False,False,False,2025-04-15,2025-04-15,False,False
12,shizudai,https://shizudaiz.blogspot.com/component/dashboardmm/?view=manager,https://bryllupsfotograf.grandportfolio.com/,bryllupsfotograf,50171,5,True,False,False,True,False,False,False,False,2025-04-10,2025-04-10,False,False
12,shizudai,https://shizudaiz.blogspot.com/component/newsmgr/?view=intro,https://bryllupsfotograf.grandportfolio.com/,bryllupsfotograf,50171,5,True,False,False,True,False,False,False,False,2025-04-16,2025-04-16,False,False
10,Trevor Henderson Adds Color To Feature Creatures And Body Horror [Art],https://comicsalliance.com/trevor-henderson-art/,http://trevorhenderson.grandportfolio.com/,his portfolio site,9,42,False,False,False,True,False,False,False,False,2024-12-17,2025-05-28,False,False
