Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
18,,http://eisbox.net/iconvert/,https://iconverticons.com/,,0,0,False,False,False,True,False,False,False,False,2024-10-24,2025-02-25,False,False
14,.icns to .png converter,https://forum.pcastuces.com/icns_to_png_converter-f3s13787.htm,http://iconverticons.com/,ici,1,59,False,False,False,True,False,False,False,False,2024-09-23,2025-05-06,False,False
24,iConvert Icons (iconconverter) - Profile | Pinterest,https://mx.pinterest.com/iconconverter/,https://iconverticons.com/,iconverticons.com ; Opens a new tab,1,7,False,False,False,True,False,False,False,False,2024-12-23,2025-05-12,False,False
8,Delphi-PRAXiS - Einzelnen Beitrag anzeigen - Kann Projekt nicht öffnen: Variante des Typs (Null) konnte ...,https://www.delphipraxis.net/1412860-post6.html,https://iconverticons.com/online/,https://iconverticons.com/online/,1,10,False,False,False,True,False,False,False,False,2024-10-02,2025-05-29,False,False
7,Convert picture icon with this online tool or download the app,https://my.wealthyaffiliate.com/loes/blog/convert-picture-icon-with-this-online-tool-or-download-the-app,https://iconverticons.com/online/,https://iconverticons.com/online/,1,44,False,False,False,True,False,False,False,False,2024-08-17,2025-05-25,False,False
25,‎iConvert Icons en Mac App Store,https://apps.apple.com/es/app/iconvert-icons/id515197296?mt=12,https://iconverticons.com/,Sitio web del desarrollador,2,26,False,False,False,True,False,False,False,False,2024-12-14,2025-03-17,False,False
12,Convertir PNG vers ICONE - Icons-séries,http://icons-serie.eklablog.com/convertir-png-vers-icone-p960830,http://iconverticons.com/online/,Iconverticons.com,2,13,False,False,False,True,False,False,False,False,2024-09-28,2024-12-04,False,False
9,Adding favicon or browser tab icon – OptimizePress 2 Docs,https://help.optimizepress.com/article/1123-adding-favicon-or-browser-tab-icon/,https://iconverticons.com/online/,https://iconverticons.com/online/,2,17,False,False,False,True,False,False,False,False,2024-09-01,2025-06-04,False,False
8,图标转换工具iConvert Icons Mac版下载2.4 官方版-腾牛苹果网,https://www.qqtn.com/down/61006.html,http://iconverticons.com/,http://iconverticons.com/,2,69,False,False,False,True,False,False,False,False,2024-08-22,2025-04-13,False,False
8,Pwaify NPM | npm.io,https://npm.io/package/pwaify,https://iconverticons.com/online/,iconverticons.com/online/,2,15,False,False,False,True,False,False,False,False,2024-11-06,2025-03-25,False,False
6,iConvert Icons | macOS Icon Gallery,https://www.macosicongallery.com/icons/iconvert-icons-2013-05-15/,http://iconverticons.com/app,Developer website,2,7,False,False,False,True,False,False,False,False,2025-03-12,2025-06-01,False,False
6,Explanation on Graphics for Product Builder – NovaBACKUP Support,https://support.novabackup.com/hc/en-us/articles/360010028834-Explanation-on-Graphics-for-Product-Builder,http://iconverticons.com/online/,iConvert,2,27,False,False,False,True,False,False,False,False,2024-08-17,2025-05-18,False,False
7,iConvert Icons for 3.99USD - DonationCoder.com,https://www.donationcoder.com/forum/index.php?topic=35546.0,http://iconverticons.com/,iConvert Icons,3,65,False,False,False,True,False,False,False,False,2024-08-31,2025-06-03,False,False
23,OSX系统Dock图标个性化定制指南-百度开发者中心,https://developer.baidu.com/article/detail.html?id=3397704,https://iconverticons.com/online/,iconverticons,3,61,False,False,False,True,False,False,False,False,2024-12-02,2025-05-12,False,False
10,ubuntu安装深度音乐后图标过大，怎么处理- Community - Deepin Technology,https://bbs.deepin.org/en/post/15923,http://iconverticons.com/online/,http://iconverticons.com/online/,4,10,False,False,False,True,False,False,False,False,2024-08-21,2025-06-03,False,False
14,배포판 만들기,http://baekansi.dothome.co.kr/doc/html/build.html,http://iconverticons.com/,http://iconverticons.com/,4,37,False,False,False,True,False,False,False,False,2024-10-31,2025-04-13,False,False
6,Indie Game Icons (For Shortcuts and Such) - Wolfire Games Forums,https://forums.wolfire.com/viewtopic.php?t=13146,http://iconverticons.com/,http://iconverticons.com/,4,27,False,False,False,True,False,False,False,False,2024-10-13,2025-05-24,False,False
11,[HOWTO] Install Deluge 1.3.3 with Macports - Deluge Forum,https://forum.deluge-torrent.org/viewtopic.php?t=34649,http://iconverticons.com/,http://iconverticons.com/,4,30,False,False,False,True,False,False,False,False,2024-08-06,2025-05-25,False,False
10,Need original HD-PATU3 Icon,http://forums.buffalotech.com/index.php?topic=10605.0,http://iconverticons.com/,free icon converter resource,4,49,False,False,False,True,False,False,False,False,2023-07-10,2025-05-30,False,False
8,LiveCode Forums - Search,https://forums.livecode.com/search.php?author_id=5299&sd=d&sk=t&sr=posts&st=0&start=7830,https://iconverticons.com/online/,https://iconverticons.com/online/,4,142,False,False,False,True,False,False,False,False,2024-10-16,2024-12-06,False,True
5,wifislax-4.3-rc6,https://foro.seguridadwireless.net/colaboracion-y-desarrollo-de-nuestras-lives/wifislax-4-3-rc6/20/,http://iconverticons.com/,http://iconverticons.com/,4,61,False,False,False,True,False,False,False,False,2024-06-09,2025-02-23,False,False
6,iConvert – online image to all-platforms icons converter | Rarst.net,https://www.rarst.net/web/iconvert/,http://iconverticons.com/,http://iconverticons.com/,4,23,False,False,False,True,False,False,False,False,2024-01-03,2025-06-04,False,False
11,TV Dizileri - Page 2,https://www.hisse.net/eforum/showthread.php?page=2&t=117465,http://iconverticons.com/online/,http://iconverticons.com/online/,5,163,False,False,False,True,False,False,False,False,2024-04-07,2025-05-04,False,True
11,Icons - electron-builder,https://www.electron.build/icons.html,https://iconverticons.com/online/,iConvert Icons,5,52,False,False,False,True,False,False,False,False,2024-08-26,2025-05-22,False,False
14,Mac pt to(n)ti. Intrebati orice aici - Page 35 - Forumul Softpedia - Page 35,https://forum.softpedia.com/topic/22602-mac-pt-tonti-intrebati-orice-aici/page__st__612,http://iconverticons.com/online/,iConverticons,5,176,False,False,False,True,False,False,False,False,2024-12-08,2025-04-01,False,False
