Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
23,Bruise - Search Images,https://akam.bing.com/images/search?FORM=IRFLTR&q=Bruise&qft=%2Bfilterui%3Aface-face,https://jgec.org/,rochellebarlow.com,40,425,False,False,False,True,False,False,False,False,2024-12-21,2024-12-21,False,False
23,Bruised+Makeup - Search Images,https://akam.bing.com/images/search?FORM=IRIBIP&q=Bruised%2BMakeup,https://www.jgec.org/,rochellebarlow.com,40,348,False,False,False,True,False,False,False,False,2024-11-07,2025-01-27,False,True
23,Bruise - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRE&q=Bruise,https://jgec.org/,rochellebarlow.com,40,170,False,False,False,True,False,False,False,False,2024-12-19,2024-12-19,False,False
23,Bruise - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=Bruise,https://jgec.org/,rochellebarlow.com,39,424,False,False,False,True,False,False,False,False,2024-12-20,2024-12-20,False,False
22,Bruise - Search Images,https://4.bing.com/images/search?FORM=IRMHRE&q=Bruise,https://www.jgec.org/,rochellebarlow.com,38,421,False,False,False,True,False,False,False,False,2024-10-20,2025-04-21,False,True
22,Bruise - Search Images,https://akam.bing.com/images/search?q=Bruise&qft,https://jgec.org/,rochellebarlow.com,40,426,False,False,False,True,False,False,False,False,2025-01-29,2025-01-29,False,False
21,Directories - Egiye Bangla,https://wb.gov.in/government-directories.aspx,http://www.jgec.org/,Jalpaiguri Govt. Engineering College,234,71,False,False,False,True,False,False,False,False,2024-08-19,2025-04-19,False,False
21,11 Things Only People From Incredibly Loud Families Understand,https://www.buzzfeed.com/danoshinsky/incredibly-loud-problems,https://www.jgec.org/,rochellebarlow.com,14,73,False,False,False,True,False,False,False,False,2024-09-02,2024-12-09,False,True
21,11 Things Only People From Incredibly Loud Families Understand,https://www.buzzfeed.com/danoshinsky/incredibly-loud-problems,https://jgec.org/,rochellebarlow.com,15,79,False,False,False,True,False,False,False,False,2025-02-11,2025-04-13,False,True
21,19 Things People Who Aren't Naturally Loud Will Never Understand,https://www.buzzfeed.com/genamourbarrett/19-struggles-people-who-arent-naturally-loud-will-never-unde,https://jgec.org/,rochellebarlow.com,26,73,False,False,False,True,False,False,False,False,2024-12-21,2025-04-24,False,False
20,,http://rochellebarlow.com/asl/31-days-to-learn-asl/,https://jgec.org/,,0,0,False,False,False,True,False,False,False,False,2024-12-09,2024-12-30,False,False
