Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
33,BMW M88 - Wikipedia,https://en.wikipedia.org/wiki/BMW_M88,https://mydriftfun.com/top-5-great-bmw-engines/,the original,33,182,True,False,False,True,False,False,False,False,2024-08-09,2025-01-06,False,False
32,Санг Йонг Корандо – Уикипедия,https://bg.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%B3_%D0%99%D0%BE%D0%BD%D0%B3_%D0%9A%D0%BE%D1%80%D0%B0%D0%BD%D0%B4%D0%BE,http://mydriftfun.com/20-interesting-facts-ssangyong-motor-company,оригинала,24,87,True,False,False,True,False,False,False,False,2024-03-15,2025-05-04,False,False
18,National Human Trafficking Awareness Day | Advanced Remarketing Services,https://ec2-34-215-253-56.us-west-2.compute.amazonaws.com/national-human-trafficking-awareness-day/,http://mydriftfun.com/20-interesting-facts-jeep/,¹,15,70,False,False,False,True,False,False,False,False,2024-05-03,2025-05-08,False,True
18,"Autó: 19 érdekes tény, amit nem tudott a Volvóról | hvg.hu",https://hvg.hu/cegauto/20170415_volvo_erdekessegek_90_szuletesnap,http://mydriftfun.com/20-interesting-facts-volvo/,Mydriftfun,15,90,False,False,False,True,False,False,False,False,2025-01-23,2025-05-03,False,False
18,Top 32 Similar websites like roushyates.com and alternatives,https://www.sitelike.org/similar/roushyates.com/,https://www.mydriftfun.com/,mydriftfun.com,33,54,True,False,False,False,False,False,True,False,2024-10-08,2025-03-06,False,True
16,16 Amazing Facts About Formula 1 - Car Talk - Nigeria,https://www.nairaland.com/4001660/16-amazing-facts-formula-1,https://mydriftfun.com/16-amazing-facts-about-formula-1/,https://mydriftfun.com/16-amazing-facts-about-formula-1/,3,70,False,False,True,True,False,False,False,False,2024-10-24,2025-04-18,False,False
15,What The Hell Is This Insane Mystery Car In The Background Of This BRABUS Smart Video?,https://jalopnik.com/what-the-hell-is-this-insane-mystery-car-in-the-backgro-1783746612,http://mydriftfun.com/,mydriftfun.com,12,32,False,False,False,True,False,False,False,False,2024-10-08,2025-02-13,False,False
15,15 Facts Most People Don't Know About Honda's Motorcycles,https://www.hotcars.com/15-facts-most-people-dont-know-about-hondas-motorcycles/,http://mydriftfun.com/,mydriftfun,24,82,False,False,False,True,False,False,False,False,2024-03-25,2025-04-11,False,True
15,What The Hell Is This Insane Mystery Car In The Background Of This BRABUS Smart Video?,https://www.jalopnik.com/what-the-hell-is-this-insane-mystery-car-in-the-backgro-1783746612/,http://mydriftfun.com/,mydriftfun.com,11,69,False,False,False,True,False,False,False,False,2025-03-05,2025-05-22,False,False
15,Top 26 Similar websites like mdd-europe.com and alternatives,https://www.sitelike.org/similar/mdd-europe.com/,https://www.mydriftfun.com/,mydriftfun.com,27,48,True,False,False,False,False,False,True,False,2024-10-08,2025-02-05,False,True
14,Will There Ever Be a True Electric Bentley? | Torque News,https://www.torquenews.com/5477/will-there-ever-be-true-electric-bentley,https://mydriftfun.com/20-interesting-facts-bentley/,Continental GT Speed is by far the fastest car in the history of the luxury brand,13,112,False,False,False,True,False,False,False,False,2024-08-05,2025-05-13,False,False
12,"Hari Ini dalam Sejarah 24 September 1948: Honda Motor Company Didirikan, Bagaimana Kisahnya? - TribunnewsWiki.com",https://www.tribunnewswiki.com/2020/09/24/hari-ini-dalam-sejarah-24-september-1948-honda-motor-company-didirikan-bagaimana-kisahnya,https://mydriftfun.com/20-interesting-facts-honda/,mydriftfun.com,96,52,False,False,False,True,False,False,False,False,2024-11-29,2025-05-07,False,False
12,"Hari Ini dalam Sejarah 24 September 1948: Honda Motor Company Didirikan, Bagaimana Kisahnya? - TribunnewsWiki.com",https://www.tribunnewswiki.com/2020/09/24/hari-ini-dalam-sejarah-24-september-1948-honda-motor-company-didirikan-bagaimana-kisahnya,https://mydriftfun.com/20-interesting-facts-honda/,2,96,52,False,False,False,True,False,False,False,False,2024-11-29,2025-05-07,False,False
11,24 Innovative Facts About Tesla Motors,https://www.factinate.com/things/24-innovative-facts-tesla-motors,https://mydriftfun.com/20-interesting-facts-tesla-cars/,8,38,100,False,False,False,True,False,False,False,False,2024-07-20,2025-05-29,False,False
10,دیزل ژنراتور ولوو|دیزل ژنراتور چیست|چگونه یک دیزل ژنراتور ایجاد برق می کند؟|چگونه یک موتور ژنراتور دیزلی کار می کند؟| - نمایندگی ژنراتور لینز در ایران | ژنراتور لینز ایتالیا |فروشگاه سعدی,https://sadi-co.blogsky.com/1398/03/13/post-2/%D8%AF%DB%8C%D8%B2%D9%84-%DA%98%D9%86%D8%B1%D8%A7%D8%AA%D9%88%D8%B1-%D9%88%D9%84%D9%88%D9%88,https://mydriftfun.com/20-interesting-facts-volvo/,لینک منبع1,21,42,True,False,False,True,False,False,False,False,2024-07-13,2025-04-06,False,False
10,History of the Mini Cooper | CarCovers.com | CarCovers.com,https://www.carcovers.com/articles/history-of-the-mini-cooper,https://mydriftfun.com/20-interesting-facts-mini/,https://mydriftfun.com/20-interesting-facts-mini/,22,82,False,False,False,True,False,False,False,False,2023-12-05,2025-06-03,False,False
10,"CLOVER ENTERPRISES ''THE ENTERTAINMENT OF CHOICE'', Page 98 | Scoop.it",https://www.scoop.it/topic/clover-enterprises-the-entertainment-of-choice?page=98,http://mydriftfun.com/,http://mydriftfun.com,69,58,True,False,False,True,False,False,False,False,2024-11-27,2025-06-03,False,False
10,Hari Ini dalam Sejarah: 24 September 1948 Honda Motor Company Lahir - TribunnewsWiki.com,https://www.tribunnewswiki.com/2019/09/24/hari-ini-dalam-sejarah-24-september-1948-honda-motor-company-lahir,https://mydriftfun.com/20-interesting-facts-honda/,3,97,49,False,False,False,True,False,False,False,False,2024-03-21,2025-05-26,False,False
10,Hari Ini dalam Sejarah: 24 September 1948 Honda Motor Company Lahir - TribunnewsWiki.com,https://www.tribunnewswiki.com/2019/09/24/hari-ini-dalam-sejarah-24-september-1948-honda-motor-company-lahir,https://mydriftfun.com/20-interesting-facts-honda/,mydriftfun.com,97,49,False,False,False,True,False,False,False,False,2024-03-21,2025-05-26,False,False
9,BMW M88 - Wikipedia,https://en-m-wikipedia-org.zproxy.org/wiki/BMW_M88,https://mydriftfun.com/top-5-great-bmw-engines/,the original,38,127,True,False,False,True,False,False,False,False,2024-11-06,2025-04-12,False,False
9,BMW 635 CSI e24 | Página 2 | BMW FAQ Club,https://www.bmwfaq.org/threads/bmw-635-csi-e24.969390/page-2,https://mydriftfun.com/top-5-great-bmw-engines/,https://mydriftfun.com/top-5-great-bmw-engines/,48,141,True,False,False,True,False,False,False,False,2024-12-01,2025-03-17,False,False
9,National Human Trafficking Awareness Day - Car Donation Wizard,https://www.cardonationwizard.com/blog/national-human-trafficking-awareness-day/,http://mydriftfun.com/20-interesting-facts-jeep/,¹,15,95,False,False,False,True,False,False,False,False,2024-07-01,2025-05-28,False,False
8,Huzzaz - Mercedes Benz AMG 63 Engine Production,https://biz.huzzaz.com/video/352224,http://mydriftfun.com/,mydriftfun.com,8,17,False,False,False,True,False,False,False,False,2022-12-22,2025-05-02,False,False
8,Huzzaz - Mercedes Benz AMG 63 Engine Production,https://huzzaz.com/video/352224,http://mydriftfun.com/,mydriftfun.com,8,17,False,False,False,True,False,False,False,False,2024-06-27,2025-04-20,False,False
8,Lexus:»The Relentless Pursuit of Perfection» — Facts from Dinara,https://interfacts.video.blog/2019/05/03/lexusthe-relentless-pursuit-of-perfection/,https://mydriftfun.com/20-interesting-facts-lexus/,https://mydriftfun.com/20-interesting-facts-lexus/,17,14,False,False,False,True,False,False,False,False,2024-07-17,2025-06-05,False,False
8,Huzzaz - Mercedes Benz AMG 63 Engine Production,https://namac.huzzaz.com/video/352224,http://mydriftfun.com/,mydriftfun.com,8,17,False,False,False,True,False,False,False,False,2023-01-12,2025-04-21,False,False
8,Huzzaz - Mercedes Benz AMG 63 Engine Production,https://www.biz.huzzaz.com/video/352224,http://mydriftfun.com/,mydriftfun.com,8,17,False,False,False,True,False,False,False,False,2024-06-22,2025-05-14,False,False
7,Санг Йонг Корандо – Уикипедия,https://bg.chped.com/wiki/%D0%A1%D0%B0%D0%BD%D0%B3_%D0%99%D0%BE%D0%BD%D0%B3_%D0%9A%D0%BE%D1%80%D0%B0%D0%BD%D0%B4%D0%BE,http://mydriftfun.com/20-interesting-facts-ssangyong-motor-company,оригинала,41,68,True,False,False,True,False,False,False,False,2024-02-14,2024-12-30,False,True
7,BMW M88 - Wikipedia,https://wikipedia-org.zproxy.org/wiki/BMW_M88,https://mydriftfun.com/top-5-great-bmw-engines/,the original,44,173,True,False,False,True,False,False,False,False,2024-11-25,2025-02-17,False,False
6,Interesting BMW Facts You May Not Know.. - BMW Car Club GB,https://bmwcarclubgb.uk/2018/10/19/interesting-bmw-facts-you-may-not-know/,https://mydriftfun.com/interesting-facts-about-bmw-you-didnt-know/,MyDriftFun,6,95,False,False,False,True,False,False,False,False,2024-03-03,2025-06-03,False,False
6,Domains on ip 51.81.106.95,https://domains.tntcode.com/ip/51.81.106.95,https://mydriftfun.com/,,466,465,True,False,False,True,False,False,False,False,2024-11-10,2025-04-02,False,False
6,Huzzaz - Mercedes Benz AMG 63 Engine Production,https://mail.huzzaz.com/video/352224,http://mydriftfun.com/,mydriftfun.com,8,17,False,False,False,True,False,False,False,False,2024-09-05,2025-05-21,False,False
5,57+ Exhilarating NASCAR Facts - Athletic Panda Sports Editors,https://apsportseditors.org/others/nascar-facts/,https://mydriftfun.com/18-facts-about-nascar-you-didnt-know/,Mydriftfun,13,59,False,False,False,True,False,False,False,False,2024-04-19,2025-03-01,False,True
5,16 AMAZING FACTS ABOUT FORMULA 1 - AUTOJOSH,https://autojosh.com/16-amazing-facts-formula-1/,https://mydriftfun.com/16-amazing-facts-about-formula-1/,16 Amazing Facts about Formula 1,7,114,False,False,False,True,False,False,False,False,2024-05-30,2025-05-05,False,True
4,How to Help the Environment and Really Create Change,https://putthekettleon.ca/how-to-help-the-environment-and-create-change/,https://mydriftfun.com/10-car-pollution-facts-dont-know/,facts about car pollution,35,69,False,False,False,True,False,False,False,False,2024-06-25,2025-06-05,False,False
4,BMW_M88 - Wikipedia @ WordDisk,https://www.worddisk.com/wiki/BMW_M88/,https://mydriftfun.com/top-5-great-bmw-engines/,the original,120,0,True,False,False,True,False,False,False,False,2024-09-27,2025-01-18,False,False
3,BMW M88 - Wikipedia,https://wiki.riteme.site/wiki/BMW_M88,https://mydriftfun.com/top-5-great-bmw-engines/,the original,40,175,True,False,False,True,False,False,False,False,2024-07-21,2024-12-29,False,False
3,BMW_M88 - Wikipedia @ WordDisk,https://worddisk.com/wiki/BMW_M88/,https://mydriftfun.com/top-5-great-bmw-engines/,the original,120,0,True,False,False,True,False,False,False,False,2024-12-15,2025-04-30,False,True
3,1957 Chevy Bel Air Drag Strip Test! Is There a DRAGON Under?!,https://www.musclecarszone.com/1957-chevy-bel-air-drag-strip-test-is-there-a-dragon-under-that-hood/,https://mydriftfun.com/20-interesting-facts-chevrolet/,20 interesting facts about Chevy?,3,31,False,False,False,True,False,False,False,False,2024-08-05,2025-05-09,False,False
2,10 حقائق عن شركة جيب لا تعرفها - مجلة وسع صدرك,http://wasse3sadrak.com/10-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%B9%D9%86-%D8%B4%D8%B1%D9%83%D8%A9-%D8%AC%D9%8A%D8%A8-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7/,https://mydriftfun.com/20-interesting-facts-jeep/,المصدر,3,57,False,False,False,True,False,False,False,False,2024-07-12,2025-06-04,False,False
2,7 حقائق عن شركة بيجو لا تعرفها - مجلة وسع صدرك,http://wasse3sadrak.com/7-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%B9%D9%86-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A8%D9%8A%D8%AC%D9%88-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7/,https://mydriftfun.com/20-interesting-facts-peugeot/,المصدر,3,46,False,False,False,True,False,False,False,False,2024-02-14,2025-05-02,False,False
2,7 حقائق عن شركة دودج لا تعرفها - مجلة وسع صدرك,http://wasse3sadrak.com/7-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%B9%D9%86-%D8%B4%D8%B1%D9%83%D8%A9-%D8%AF%D9%88%D8%AF%D8%AC-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7/,https://mydriftfun.com/20-interesting-facts-dodge-motor-company/,المصدر,3,50,False,False,False,True,False,False,False,False,2024-07-17,2025-05-20,False,False
2,7 حقائق عن شركة كرايسلر لا تعرفها - مجلة وسع صدرك,http://wasse3sadrak.com/7-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%B9%D9%86-%D8%B4%D8%B1%D9%83%D8%A9-%D9%83%D8%B1%D8%A7%D9%8A%D8%B3%D9%84%D8%B1-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7/,https://mydriftfun.com/20-interesting-facts-chrysler/,المصدر,3,45,False,False,False,True,False,False,False,False,2022-12-20,2025-05-09,False,False
2,7 حقائق عن شركة لامبورغيني لا تعرفها - مجلة وسع صدرك,http://wasse3sadrak.com/7-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%B9%D9%86-%D8%B4%D8%B1%D9%83%D8%A9-%D9%84%D8%A7%D9%85%D8%A8%D9%88%D8%B1%D8%BA%D9%8A%D9%86%D9%8A-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7/,https://mydriftfun.com/20-interesting-facts-lamborghini/,المصدر,3,43,False,False,False,True,False,False,False,False,2024-07-14,2025-05-17,False,False
2,7 حقائق عن شركة لاند روفر لا تعرفها - مجلة وسع صدرك,http://wasse3sadrak.com/7-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%B9%D9%86-%D8%B4%D8%B1%D9%83%D8%A9-%D9%84%D8%A7%D9%86%D8%AF-%D8%B1%D9%88%D9%81%D8%B1-%D9%84%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7/,https://mydriftfun.com/20-interesting-facts-land-rover/,المصدر,3,43,False,False,False,True,False,False,False,False,2024-10-08,2025-06-04,False,False
