Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
16,16 Amazing Facts About Formula 1 - Car Talk - Nigeria,https://www.nairaland.com/4001660/16-amazing-facts-formula-1,https://mydriftfun.com/16-amazing-facts-about-formula-1/,https://mydriftfun.com/16-amazing-facts-about-formula-1/,3,70,False,False,True,True,False,False,False,False,2024-10-24,2025-04-18,False,False
6,Interesting BMW Facts You May Not Know.. - BMW Car Club GB,https://bmwcarclubgb.uk/2018/10/19/interesting-bmw-facts-you-may-not-know/,https://mydriftfun.com/interesting-facts-about-bmw-you-didnt-know/,MyDriftFun,6,95,False,False,False,True,False,False,False,False,2024-03-03,2025-06-03,False,False
5,16 AMAZING FACTS ABOUT FORMULA 1 - AUTOJOSH,https://autojosh.com/16-amazing-facts-formula-1/,https://mydriftfun.com/16-amazing-facts-about-formula-1/,16 Amazing Facts about Formula 1,7,114,False,False,False,True,False,False,False,False,2024-05-30,2025-05-05,False,True
8,Huzzaz - Mercedes Benz AMG 63 Engine Production,https://biz.huzzaz.com/video/352224,http://mydriftfun.com/,mydriftfun.com,8,17,False,False,False,True,False,False,False,False,2022-12-22,2025-05-02,False,False
15,What The Hell Is This Insane Mystery Car In The Background Of This BRABUS Smart Video?,https://www.jalopnik.com/what-the-hell-is-this-insane-mystery-car-in-the-backgro-1783746612/,http://mydriftfun.com/,mydriftfun.com,11,69,False,False,False,True,False,False,False,False,2025-03-05,2025-05-22,False,False
5,57+ Exhilarating NASCAR Facts - Athletic Panda Sports Editors,https://apsportseditors.org/others/nascar-facts/,https://mydriftfun.com/18-facts-about-nascar-you-didnt-know/,Mydriftfun,13,59,False,False,False,True,False,False,False,False,2024-04-19,2025-03-01,False,True
14,Will There Ever Be a True Electric Bentley? | Torque News,https://www.torquenews.com/5477/will-there-ever-be-true-electric-bentley,https://mydriftfun.com/20-interesting-facts-bentley/,Continental GT Speed is by far the fastest car in the history of the luxury brand,13,112,False,False,False,True,False,False,False,False,2024-08-05,2025-05-13,False,False
9,National Human Trafficking Awareness Day - Car Donation Wizard,https://www.cardonationwizard.com/blog/national-human-trafficking-awareness-day/,http://mydriftfun.com/20-interesting-facts-jeep/,¹,15,95,False,False,False,True,False,False,False,False,2024-07-01,2025-05-28,False,False
18,"Autó: 19 érdekes tény, amit nem tudott a Volvóról | hvg.hu",https://hvg.hu/cegauto/20170415_volvo_erdekessegek_90_szuletesnap,http://mydriftfun.com/20-interesting-facts-volvo/,Mydriftfun,15,90,False,False,False,True,False,False,False,False,2025-01-23,2025-05-03,False,False
18,National Human Trafficking Awareness Day | Advanced Remarketing Services,https://ec2-34-215-253-56.us-west-2.compute.amazonaws.com/national-human-trafficking-awareness-day/,http://mydriftfun.com/20-interesting-facts-jeep/,¹,15,70,False,False,False,True,False,False,False,False,2024-05-03,2025-05-08,False,True
8,Lexus:»The Relentless Pursuit of Perfection» — Facts from Dinara,https://interfacts.video.blog/2019/05/03/lexusthe-relentless-pursuit-of-perfection/,https://mydriftfun.com/20-interesting-facts-lexus/,https://mydriftfun.com/20-interesting-facts-lexus/,17,14,False,False,False,True,False,False,False,False,2024-07-17,2025-06-05,False,False
10,History of the Mini Cooper | CarCovers.com | CarCovers.com,https://www.carcovers.com/articles/history-of-the-mini-cooper,https://mydriftfun.com/20-interesting-facts-mini/,https://mydriftfun.com/20-interesting-facts-mini/,22,82,False,False,False,True,False,False,False,False,2023-12-05,2025-06-03,False,False
15,15 Facts Most People Don't Know About Honda's Motorcycles,https://www.hotcars.com/15-facts-most-people-dont-know-about-hondas-motorcycles/,http://mydriftfun.com/,mydriftfun,24,82,False,False,False,True,False,False,False,False,2024-03-25,2025-04-11,False,True
11,24 Innovative Facts About Tesla Motors,https://www.factinate.com/things/24-innovative-facts-tesla-motors,https://mydriftfun.com/20-interesting-facts-tesla-cars/,8,38,100,False,False,False,True,False,False,False,False,2024-07-20,2025-05-29,False,False
12,"Hari Ini dalam Sejarah 24 September 1948: Honda Motor Company Didirikan, Bagaimana Kisahnya? - TribunnewsWiki.com",https://www.tribunnewswiki.com/2020/09/24/hari-ini-dalam-sejarah-24-september-1948-honda-motor-company-didirikan-bagaimana-kisahnya,https://mydriftfun.com/20-interesting-facts-honda/,mydriftfun.com,96,52,False,False,False,True,False,False,False,False,2024-11-29,2025-05-07,False,False
