Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,How to eavesdrop on urban bats with smart sensors - BBC News,https://www.bbc.co.uk/news/science-environment-40417936,https://naturesmartcities.com/,"Nature-Smart Cities – Sensing Nature in the Queen Elizabeth Olympic Park , external",4,78,False,False,False,True,False,False,False,False,2025-01-11,2025-05-15,False,False
9,"Machines can see, hear and analyze thanks to embedded neural networks",https://www.embedded.com/machines-can-see-hear-and-analyze-thanks-to-embedded-neural-networks/,https://naturesmartcities.com/about/,deep-learning bat monitoring system,6,2,False,False,False,True,False,False,False,False,2024-09-18,2025-05-19,False,False
25,How to eavesdrop on urban bats with smart sensors,https://www.bbc.com/news/science-environment-40417936,https://naturesmartcities.com/,project,9,86,False,False,False,True,False,False,False,False,2023-05-20,2025-04-22,False,False
6,"NRM top tips - September: Monitor, evaluate and manage | CottonInfo",https://www.stage.cottoninfo.com.au/blog/nrm-top-tips-september-monitor-evaluate-and-manage,https://naturesmartcities.com/,Nature Smart Cities,9,70,False,False,False,True,False,False,False,False,2024-10-07,2025-05-19,False,False
18,Smart detectors to monitor urban bat life,http://www.cs.ucl.ac.uk/news/article/smart_detectors_to_monitor_urban_bat_life/,https://naturesmartcities.com/,https://naturesmartcities.com/,10,31,False,False,False,True,False,False,False,False,2024-09-06,2025-05-30,False,False
11,Detecting bats by recognising their sound with Tensorflow - Pinch of Intelligence,http://www.pinchofintelligence.com/detecting-bats-recognising-sound-tensorflow/,https://naturesmartcities.com/,Nature Smart Cities project,12,14,False,False,False,True,False,False,False,False,2024-10-22,2025-05-25,False,False
10,Watching the bat detectives,https://cosmosmagazine.com/nature/animals/watching-the-bat-detectives/,https://naturesmartcities.com/about/,study bat populations,13,45,False,False,False,True,False,False,False,False,2024-09-07,2025-05-24,False,False
9,"Num jardim de Londres, máquinas aprendem a identificar morcegos - Wilder",https://wilder.pt/historias/num-jardim-de-londres-ha-maquinas-que-aprendem-a-identificar-morcegos,https://naturesmartcities.com/,Nature-Smart Cities,16,47,False,False,False,True,False,False,False,False,2024-09-26,2025-05-28,False,False
15,‘Shazam’ for bats as smart technology is used in London park - Discover Wildlife,https://www.discoverwildlife.com/news/shazam-for-bats-as-smart-technology-is-used-in-london-park,https://naturesmartcities.com/,Nature Smart Cities,17,57,False,False,False,True,False,False,False,False,2024-09-26,2025-05-29,False,False
5,Sensores inteligentes aprendem a identificar morcegos em áreas urbanas,https://noctula.pt/monitorizacao-de-morcegos/,https://naturesmartcities.com/,Nature – Smart Cities,22,30,False,False,False,True,False,False,False,False,2024-09-06,2025-06-01,False,False
24,Nature-Smart Cities – Sensing Nature in the Queen Elizabeth Olympic Park,https://naturesmartcities.com/,https://naturesmartcities.com/about/,Find out more,22,14,False,False,False,True,False,False,False,False,2024-08-02,2024-12-20,False,True
5,Digital Placemaking for Smart Places - Calvium,https://calvium.com/digital-placemaking-for-smart-places/,https://naturesmartcities.com/,Nature Smart Cities,27,44,False,False,False,True,False,False,False,False,2024-09-13,2025-05-30,False,False
5,Monitoring Ecosystems through Sound: The Present and Future of Passive Acoustics | WILDLABS,https://wildlabs.net/article/monitoring-ecosystems-through-sound-present-and-future-passive-acoustics,https://naturesmartcities.com/,http://naturesmartcities.com,36,52,False,False,False,True,False,False,False,False,2024-10-11,2025-05-23,False,False
5,Monitoring Ecosystems through Sound: The Present and Future of Passive Acoustics – Methods Blog,https://methodsblog.com/2018/11/15/passive-acoustic-monitoring/,http://www.naturesmartcities.com/,a real-time urban bat monitoring system,53,84,False,False,False,True,False,False,False,False,2025-03-19,2025-05-28,False,False
16,'Bat detectives' train new algorithms to discern bat calls in noisy recordings,https://phys.org/news/2018-03-algorithms-discern-noisy.html,https://naturesmartcities.com/,https://naturesmartcities.com,53,68,False,False,False,True,False,False,False,False,2024-09-17,2025-05-22,False,False
8,Մոդուլ 4. Հանրային մասնակցությունը քաղաքային կենսաբազմանության մեջ և կանաչ գոտիներում – Acopian Center for the Environment,https://aceold.aua.am/hy/e-learning-modules-hy/module-4/,https://naturesmartcities.com/about/,https://naturesmartcities.com/about/,71,41,False,False,False,True,False,False,False,False,2025-04-19,2025-06-03,False,False
17,Towards Establishing Cross-Platform Interoperability for Sensors in Smart Cities,https://www.mdpi.com/1424-8220/19/3/562,http://www.naturesmartcities.com/,www.naturesmartcities.com,174,224,False,False,False,True,False,False,False,False,2025-05-24,2025-05-24,True,False
