Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
16,The Delaware State Police Joins the White House-Led Police Data Initiative - Delaware State Police - State of Delaware,https://dsp.delaware.gov/2016/11/04/the-delaware-state-police-joins-the-white-house-led-police-data-initiative/?print=print,http://publicsafetydataportal.org/participating-agencies/,List and map of PDI Participating agencies,2,0,False,False,False,True,False,False,False,False,2022-06-01,2025-05-21,False,False
19,Justice Evidence Data Innovation | The White House,https://obamawhitehouse.archives.gov/administration/eop/sicp/initiatives/justice-evidence-data-innovation,https://publicsafetydataportal.org/,175 data sets on police citizen interactions,3,109,False,False,False,True,False,False,False,False,2024-10-14,2025-05-20,False,False
14,Police Manuals -- Links,https://policemanuals.neocities.org/links,http://publicsafetydataportal.org/,Public Safety Open Data Porta by The Police Foundation,5,3,False,False,False,True,False,False,False,False,2024-05-09,2025-05-26,False,False
7,The Police Data and the Data Driven Justice Initiatives,https://share.snipd.com/episode/3633ad63-1ab8-4f5d-9598-74ca0a700064,https://publicsafetydataportal.org/,Police Data Initiative,6,6,False,False,False,True,False,False,False,False,2025-02-02,2025-05-21,False,False
12,"Rockford, IL Crime Map",https://blog.spotcrime.com/2016/12/rockford-il-crime-map.html,https://publicsafetydataportal.org/,White House Police Data Initiative,7,29,False,False,False,True,False,False,False,False,2025-01-26,2025-03-28,False,False
11,Vallejo Police Share 2015 Data Report,https://insider.govtech.com/california/www-techwire-net/vallejo-police-share-2015-data-report.html,http://publicsafetydataportal.org/,http://publicsafetydataportal.org,8,29,False,False,False,True,False,False,False,False,2024-08-27,2025-06-03,False,False
6,Using Data in Engaging Communities about Policing Practices | NNIP,https://www.neighborhoodindicators.org/activities/meetings/using-data-engaging-communities-about-policing-practices,http://publicsafetydataportal.org/,Police Foundation: Public Safety Open Data Portal,8,52,False,False,False,True,False,False,False,False,2024-09-14,2025-05-25,False,False
13,13 Important Questions About Criminal Justice We Can’t Answer | The Marshall Project,https://www.themarshallproject.org/2016/05/15/13-important-questions-about-criminal-justice-we-can-t-answer,http://publicsafetydataportal.org/participating-agencies/,eight released data,9,61,False,False,False,True,False,False,False,False,2024-06-27,2025-06-05,False,False
6,"Atlanta, Georgia Police - Police Data Initiative",https://www.policedatainitiative.org/participating-agencies/atlanta-georgia-police/,https://publicsafetydataportal.org/participating-agencies/#foot1,*,9,21,False,False,False,True,False,False,False,False,2024-10-31,2025-05-30,False,False
16,Terry Stops Data - Police | seattle.gov,https://www.glb.seattle.gov/police/information-and-data/data/terry-stops,https://publicsafetydataportal.org/,Police Foundation's Public Safety Open Data Portal,10,205,False,False,False,True,False,False,False,False,2024-09-07,2025-05-29,False,False
9,Center for Policing Equity - Thirteen Important Questions About Criminal Justice We Can’t Answer,https://policingequity.org/connect/13-important-questions-about-criminal-justice-we-can-t-answer,http://publicsafetydataportal.org/participating-agencies/,eight released data,11,47,False,False,False,True,False,False,False,False,2023-12-11,2025-05-09,False,True
7,Sunlight adds more than 100 new datasets to our Hall of Justice database : Sunlight Foundation,https://sunlightfoundation.com/2016/05/26/sunlight-adds-more-than-100-new-datasets-to-our-hall-of-justice-database/,http://publicsafetydataportal.org/,Open Data Safety Portal,12,38,False,False,False,True,False,False,False,False,2024-10-31,2025-05-30,False,False
14,The Elements of Bureaucratic Style | MetaFilter,https://www.metafilter.com/166369/The-Elements-of-Bureaucratic-Style,https://publicsafetydataportal.org/officer-involved-shooting-data/,disambiguates,13,216,False,False,False,True,False,False,False,False,2024-09-06,2025-03-25,False,False
10,Henderson Police 1st In Nevada Using US Data Portal Program,https://knpr.org/knpr/2016-11-16/henderson-police-1st-in-nevada-using-us-data-portal-program,http://publicsafetydataportal.org/,database,14,71,False,False,False,True,False,False,False,False,2024-09-20,2025-05-29,False,False
11,Datos Abiertos Programas — Safety Net Project,https://www.techsafety.org/datos-abiertos-programas,http://publicsafetydataportal.org/,publicsafetydataportal.org,15,24,False,False,False,True,False,False,False,False,2024-10-21,2025-04-19,False,False
14,Henderson police 1st in Nevada using US data,https://www.ktnv.com/news/henderson-police-1st-in-nevada-using-us-data-portal-program,http://publicsafetydataportal.org/,publicsafetydataportal.org,15,73,False,False,False,True,False,False,False,False,2024-11-07,2025-05-17,False,False
16,Police | Crime Stats | University of Delaware,http://www1.udel.edu/police/crime-stats/open_data/,https://publicsafetydataportal.org/,The Police Foundation’s Public Safety Open Data Portal,16,52,False,False,False,True,False,False,False,False,2024-09-19,2025-05-28,False,False
13,Bedford and Danville police join White House data initiative,https://www.wdbj7.com/content/news/Bedford-and-Danville-police-join-White-House-data-initiative-379241861.html,http://publicsafetydataportal.org/law-enforcement/,"To access the database, click here",18,117,False,False,False,True,False,False,False,False,2024-09-03,2025-05-29,False,False
14,Mayor Pushes SFPD to Fast-Track Use-of-Force Reforms; Chief Calls in Feds | KQED,https://www.kqed.org/news/10825067/s-f-mayor-pushes-police-to-fast-track-use-of-force-reform-chief-calls-in-feds,http://publicsafetydataportal.org/participating-agencies/,29 police departments,18,81,False,False,False,True,False,False,False,False,2024-07-06,2025-05-25,False,False
6,Terry Stops Data - Police | seattle.gov,https://www3.ci.seattle.wa.us/police/information-and-data/data/terry-stops,https://publicsafetydataportal.org/,Police Foundation's Public Safety Open Data Portal,19,199,False,False,False,True,False,False,False,False,2024-06-17,2025-04-27,False,True
15,'Officer-involved shooting' term is taking a beating,https://www.democratandchronicle.com/story/news/local/blogs/watchdog/2016/05/24/officer-involved-shooting-term-taking-beating/84674784/,http://publicsafetydataportal.org/officer-involved-shooting-data/,The Public Safety Data Portal website,19,43,False,False,False,True,False,False,False,False,2024-08-28,2025-03-12,False,False
11,Tom Meagher - Alternet.org,https://www.alternet.org/author/tom-meagher-,http://publicsafetydataportal.org/participating-agencies/,eight released data,19,55,False,False,False,True,False,False,False,False,2024-07-09,2025-05-26,False,False
6,Ideas Worth Sharing: Using Open Data to Engage the Community - ELGL,https://elgl.org/ideas-worth-sharing-using-open-data-to-engage-the-community-in-indianapolis/,https://publicsafetydataportal.org/,add members.,20,34,False,False,False,True,False,False,False,False,2024-10-26,2025-06-02,False,False
7,Computer Scientists Think They Have The Answer To Police Misconduct – ThinkProgress,https://archive.thinkprogress.org/computer-scientists-think-they-have-the-answer-to-police-misconduct-dcb4a661a593/,http://publicsafetydataportal.org/,Public Safety Open Data Portal,21,22,False,False,False,True,False,False,False,False,2024-08-29,2025-05-31,False,False
20,Why is it so hard to find official data on fatal US police shootings? | CBC Radio,https://www.cbc.ca/radio/day6/episode-293-police-violence-milos-super-serve-cleaning-up-the-oceans-busting-the-ghostbusters-and-more-1.3668491/why-is-it-so-hard-to-find-official-data-on-fatal-us-police-shootings-1.3668529,http://publicsafetydataportal.org/participating-agencies/,Police Data Initiative,21,55,False,False,False,True,False,False,False,False,2024-07-19,2025-05-31,False,False
17,Bloomington police shooting and other data now available online,https://www.indystar.com/story/news/crime/2016/06/08/bloomington-police-shooting-and-other-data-now-available-online-white-house-data/85556498/,http://publicsafetydataportal.org/,Police Data Initiative website.,21,43,False,False,False,True,False,False,False,False,2025-01-03,2025-05-27,False,False
7,Will Police Embrace Open Data to Restore Public Trust? – Center for Data Innovation,https://datainnovation.org/2015/10/will-police-embrace-open-data-to-restore-public-trust/,http://publicsafetydataportal.org/,"have begun to publish some of their data ,",22,72,False,False,False,True,False,False,False,False,2024-10-15,2025-05-26,False,False
11,"Six Months In, White House Data Scientist Reflects on Progress - Nextgov/FCW",https://www.nextgov.com/digital-government/2015/08/six-months-us-chief-data-scientist-reflects-progress/119244/,http://publicsafetydataportal.org/participating-agencies/,26 jurisdictions,22,72,False,False,False,True,False,False,False,False,2024-07-23,2025-05-05,False,False
12,Building Trust and Legitimacy,https://www.theiacp.org/resources/building-trust-and-legitimacy,https://publicsafetydataportal.org/,Public Safety Open Data Portal,23,97,False,False,False,True,False,False,False,False,2024-03-29,2025-02-21,False,True
19,We Still Have No Idea How Many Shootings Actually Happen in America,https://www.vice.com/en/article/we-still-have-no-idea-how-many-shootings-actually-happen-in-america/,http://publicsafetydataportal.org/participating-agencies/,eight released data,23,82,False,False,False,True,False,False,False,False,2025-02-02,2025-04-27,False,False
15,Henderson police 1st in Nevada using US data portal program,https://www.8newsnow.com/news/henderson-police-1st-in-nevada-using-us-data-portal-program/,https://publicsafetydataportal.org/,publicsafetydataportal.org,24,163,False,False,False,True,False,False,False,False,2024-10-08,2025-06-02,False,False
10,How crime stats can lie - Route Fifty,https://www.route-fifty.com/digital-government/2016/02/how-crime-stats-can-lie/299535/,http://publicsafetydataportal.org/participating-agencies/,29 agencies,24,69,False,False,False,True,False,False,False,False,2024-09-07,2025-02-07,False,False
5,Innovation Initiatives - Goldhirsh Foundation,https://goldhirshfoundation.org/blog/innovation-initiatives,https://publicsafetydataportal.org/participating-agencies,Police Data Initiative (PDI),26,10,False,False,False,True,False,False,False,False,2024-04-22,2025-05-16,False,False
13,More Real-Time Policing Data Made Available to the Public - Office of the Manager,https://www.cincinnati-oh.gov/manager/opda/news/more-real-time-policing-data-made-available-to-the-public/,https://publicsafetydataportal.org/,https://publicsafetydataportal.org/,29,116,False,False,False,True,False,False,False,False,2025-02-17,2025-05-20,False,False
11,Southern University to sign up for the Police Data Initiative,https://www.louisianafirstnews.com/news/local-news/southern-university-to-sign-up-for-the-police-data-initiative/,https://publicsafetydataportal.org/participating-agencies/,HERE,31,197,False,False,False,True,False,False,False,False,2025-03-23,2025-05-17,False,False
26,AWSでの疎結合データセットの適合、検索、分析 | Amazon Web Services ブログ,https://aws.amazon.com/jp/blogs/news/harmonize-search-and-analyze-loosely-coupled-datasets-on-aws/,https://publicsafetydataportal.org/all-data/,Public Safety Open Data Portal,33,159,False,False,False,True,False,False,False,False,2024-07-11,2025-05-22,False,False
19,Which Cities Share The Most Crime Data? | FiveThirtyEight,https://fivethirtyeight.com/features/which-cities-share-the-most-crime-data/,http://publicsafetydataportal.org/participating-agencies/,27 agencies,34,31,False,False,False,True,False,False,False,False,2024-01-28,2025-06-03,False,False
22,data request - Hate crime dataset in the United States - Open Data Stack Exchange,https://opendata.stackexchange.com/questions/10088/hate-crime-dataset-in-the-united-states,https://publicsafetydataportal.org/all-data/,Public Safety Open Data Portal Lists Police Forces Involved That Publish Hate Crime Data,38,102,False,False,False,True,False,False,False,False,2024-12-15,2025-03-07,False,True
8,Open Data Can Make a Difference! | IBM Center for The Business of Government,https://www.businessofgovernment.org/blog/open-data-can-make-difference,https://publicsafetydataportal.org/,Public Safety Data Portal,40,13,False,False,False,True,False,False,False,False,2024-09-12,2025-05-24,False,False
20,White House Police Data Initiative Could Lead To Reform -- If The Public Demands It | HuffPost Impact,https://www.huffpost.com/entry/white-house-police-data-initiative_n_55d4ddd0e4b0ab468d9f9144,http://publicsafetydataportal.org/computer-aided-dispatch-data/,calls for service,43,86,False,False,False,True,False,False,False,False,2024-11-22,2025-03-28,False,False
13,Why You Should Care About Open Data - Government Executive,https://www.govexec.com/management/2017/04/why-you-should-care-about-open-data/136721/,https://publicsafetydataportal.org/,Public Safety Data Portal,43,73,False,False,False,True,False,False,False,False,2024-09-30,2025-05-28,False,False
6,13 Questions While The Poor Have No Lawyers | Simple Justice,http://blog.simplejustice.us/2016/05/17/13-questions-while-the-poor-have-no-lawyers/,http://publicsafetydataportal.org/participating-agencies/,eight released data,46,46,False,False,False,True,False,False,False,False,2024-06-26,2025-06-05,False,False
6,Local Measures - JohnJayREC.nyc — John Jay College's Research and Evaluation Center,https://johnjayrec.nyc/2017/01/17/localmeasures2017/,https://publicsafetydataportal.org/,Police Data Initiative,47,64,False,False,False,True,False,False,False,False,2023-10-12,2025-04-23,False,False
62,The Director's Desk,http://lpd304.blogspot.com/,https://publicsafetydataportal.org/,Police Foundation portal,54,187,False,False,False,True,False,False,False,False,2024-10-18,2025-05-21,False,False
9,AI is here – What is the role of government – OpenGov Asia,https://opengovasia.com/2017/10/28/ai-is-here-what-is-the-role-of-government/,https://publicsafetydataportal.org/participating-agencies/,Police Data Initiative,59,67,False,False,False,True,False,False,False,False,2024-07-14,2025-05-22,False,False
14,Policing in the Era of Big Data | Annual Reviews,https://www.annualreviews.org/content/journals/10.1146/annurev-criminol-062217-114209?identity=5131&originator=useradmin&timestamp=20991231000000,https://publicsafetydataportal.org/,https://publicsafetydataportal.org/,122,170,False,False,False,True,False,False,False,False,2024-10-23,2025-05-07,False,False
