Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
22,Seo takeaways,https://www.slideshare.net/himanshu160,https://www.seotakeaways.com/,www.seotakeaways.com,9,8,False,False,False,True,False,False,False,False,2024-09-01,2025-02-21,False,False
21,"Marketing Day: February 6, 2012",https://alrawahfff.wixsite.com/bitcoin/post/marketing-day-february-6-2012,http://www.seotakeaways.com/web-analytics-2-0-improve-conversions/,How to use Web Analytics 2.0 to improve your conversions,63,70,False,False,False,True,False,False,False,False,2024-11-16,2025-01-27,False,False
21,"Marketing Day: June 24, 2013",https://alrawahfff.wixsite.com/bitcoin/post/marketing-day-june-24-2013,http://www.seotakeaways.com/the-geek-guide-to-understanding-funnels-in-google-analytics/,The Geek Guide to Understanding Funnels in Google Analytics,48,71,False,False,False,True,False,False,False,False,2024-10-17,2025-01-05,False,False
21,"Marketing Day: June 29, 2012",https://alrawahfff.wixsite.com/bitcoin/post/marketing-day-june-29-2012,http://www.seotakeaways.com/geek-guide-bounce-rate-optimization-google-analytics/,The Geek guide to Bounce Rate Optimization in Google Analytics,60,67,False,False,False,True,False,False,False,False,2024-11-15,2025-02-18,False,False
21,Seo takeaways,https://de.slideshare.net/himanshu160,https://www.seotakeaways.com/,www.seotakeaways.com,10,7,False,False,False,True,False,False,False,False,2024-12-17,2025-05-08,False,False
21,Seo takeaways,https://es.slideshare.net/himanshu160,https://www.seotakeaways.com/,www.seotakeaways.com,9,8,False,False,False,True,False,False,False,False,2024-09-20,2025-04-23,False,False
21,Seo takeaways,https://fr.slideshare.net/himanshu160,https://www.seotakeaways.com/,www.seotakeaways.com,9,8,False,False,False,True,False,False,False,False,2024-11-25,2025-04-08,False,False
21,International SEO ROI Calculator by @Aleyda,https://www.aleydasolis.com/english/international-seo-tools/roi-calculator/,http://www.seotakeaways.com/roi-calculations-seo/,SEO ROI analysis,6,13,False,False,False,True,False,False,False,False,2024-10-08,2025-03-23,False,False
19,"25 Killer Combos for Google's Site: Operator (6 with ""inurl"") - Moz",https://moz.com/blog/25-killer-combos-for-googles-site-operator,http://www.seotakeaways.com/10000-search-engine-queries-for-your-link-building-campaign/,advanced query operators for link-building,33,83,False,False,False,True,False,False,False,False,2024-04-18,2025-06-02,False,False
18,Top 33 Similar websites like hasoptimization.com and alternatives,https://www.sitelike.org/similar/hasoptimization.com/,http://www.seotakeaways.com/,seotakeaways.com,34,55,True,False,False,False,False,False,True,False,2024-08-17,2024-12-12,False,True
17,A Content Marketer's Guide to Data Scraping - Moz,https://moz.com/blog/a-content-marketers-guide-to-data-scraping,http://www.seotakeaways.com/data-scraping-guide-for-seo/,http://www.seotakeaways.com/data-scraping-guide-for-seo/,25,83,False,False,False,True,False,False,False,False,2024-05-09,2025-05-25,False,False
17,Broken Link Building Guide: From Noob to Novice - Moz,https://moz.com/blog/broken-link-building-guide-from-noob-to-novice,http://www.seotakeaways.com/10000-search-engine-queries-for-your-link-building-campaign/,Himanshu's site,52,83,False,False,False,True,False,False,False,False,2024-04-21,2025-06-05,False,False
17,The Case for Cohort Analysis and Multi-Touch Attribution Analysis,https://neilpatel.com/blog/cohort-and-multi-touch-attribution/,http://www.seotakeaways.com/attribution-modeling-google-analytics-ultimate-guide,good and detailed post,85,68,False,False,False,True,False,False,False,False,2024-09-15,2025-06-01,False,False
16,Fear and Challenges in Link Building: Hard-boiling Experiment with 4 Interactive Infographics. - Moz,https://moz.com/blog/fear-and-challenges-in-link-building-hardboiling-experiment-with-4-interactive-infographics-17059,http://www.seotakeaways.com/geek-guide-measuring-content-marketing-efforts/,http://www.seotakeaways.com/geek-guide-measuring-content-marketing-efforts/,37,85,False,False,False,True,False,False,False,False,2024-11-08,2025-03-09,False,False
16,How to Measure ROI for Lead-Gen Websites - Moz,https://moz.com/blog/how-to-measure-roi-for-leadgen-websites,http://www.seotakeaways.com/google-analytics-cookies-ultimate-guide/,learn how to read the GA cookie,16,82,False,False,False,True,False,False,False,False,2024-05-20,2025-03-28,False,False
