Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,Prioriteetit,https://riemurasia.fi/kuva/Prioriteetit/170474,http://www.theculturehigh.com/,http://www.theculturehigh.com,2,151,False,False,True,True,False,False,False,False,2024-06-01,2025-04-14,False,False
5,Dad Gives His Sick Son Marijuana Extract. The Results Will Surprise You... - Atchuup! - Cool Stories Daily,https://www.atchuup.com/dad-gives-his-sick-son-marijuana-extract/,http://www.theculturehigh.com/,The Culture High,3,27,False,False,False,True,False,False,False,False,2023-10-24,2025-06-03,False,False
14,‘The Culture High’ explores marijuana decriminalization - Medical Marijuana,https://marijuana.heraldtribune.com/2014/10/06/culture-high-explores-marijuana-decriminalization/,http://www.theculturehigh.com/index.html,The movie’s producers,6,63,False,False,False,True,False,False,False,False,2024-03-22,2025-03-01,False,True
13,"The Culture High (2014) - Brett Harvey | Synopsis, Movie Info, Moods, Themes and Related | AllMovie",https://www.allmovie.com/movie/the-culture-high-am33480,http://www.theculturehigh.com/,http://www.theculturehigh.com/,7,90,False,False,False,True,False,False,False,False,2024-09-09,2025-04-28,False,False
15,Be among the first to see 'The Culture High' -- a new documentary about the 'war on drugs' - Raw Story,https://www.rawstory.com/2014/10/virgins-richard-branson-young-turks-slam-war-on-drugs-in-new-documentary/,https://www.theculturehigh.com/,The Culture High,7,39,False,False,False,True,False,False,False,False,2024-08-03,2025-04-26,False,False
8,"The Culture High, el documental sobre los motivos de la prohibición que tienes que ver - Kannabia",https://www.kannabia.com/es/blog/culture-high-el-documental-sobre-los-motivos-de-la-prohibicion-que-tienes-que-ver,http://www.theculturehigh.com/,web,7,61,False,False,False,True,False,False,False,False,2024-05-18,2025-05-31,False,False
15,"""The Culture High"": Tour de force documentary about marijuana prohibition.",https://www.dailykos.com/stories/2015/3/14/1370845/--The-Culture-High-Tour-de-force-documentary-about-marijuana-prohibition,http://www.theculturehigh.com/,The Culture High.com,9,88,False,False,False,True,False,False,False,False,2024-06-07,2025-05-15,False,False
8,Our Favorite Cannabis Documentaries to Stream - Oasis Cannabis,https://oasiscannabis.com/our-favorite-cannabis-documentaries-to-stream/,http://www.theculturehigh.com/synopsis.html,The Culture High,10,23,False,False,False,True,False,False,False,False,2024-06-14,2025-06-01,False,False
27,‘The Culture High’ Explores Marijuana Decriminalization - The New York Times,https://www.nytimes.com/2014/10/03/movies/the-culture-high-explores-marijuana-decriminalization.html,http://www.theculturehigh.com/,“The Culture High.”,11,108,False,False,False,True,False,False,False,False,2024-06-19,2025-04-15,False,False
5,Stop and Search: Drugs – That’s Entertainment Podcast Filming Write-Up - ISMOKE,https://ismokemag.co.uk/stop-search-drugs-thats-entertainment-event-write/,https://www.theculturehigh.com/,The Culture High,11,80,False,False,False,True,False,False,False,False,2024-05-27,2025-05-10,False,False
6,5 Cannabis Documentaries to Watch with Your Buds,https://naturalcannabis.com/5-cannabis-documentaries-to-watch-with-your-buds/,https://www.theculturehigh.com/,https://www.theculturehigh.com/,12,31,False,False,False,True,False,False,False,False,2024-06-02,2025-05-18,False,False
9,Film Review: The Culture High | Cannabis Now,https://cannabisnow.com/film-review-the-culture-high/,http://www.theculturehigh.com/,The Culture High,12,102,False,False,False,True,False,False,False,False,2024-05-21,2025-02-20,False,False
5,The Culture High - HD-Trailers.net (HDTN),https://www.hd-trailers.net/movie/the-culture-high/,http://www.theculturehigh.com/,HD-Trailers.net,12,25,False,False,False,False,False,False,True,False,2024-07-23,2025-05-26,False,False
6,Portland NORML Social Will Include Free Screening Of 'The Culture High' Movie - The Weed Blog,https://theweedblog.com/major-events/portland-norml-social-will-include-free-screening-of-the-culture-high-movie,https://www.theculturehigh.com/synopsis.html,synopsis,13,42,False,False,False,True,False,False,False,False,2024-07-07,2025-04-06,False,False
7,La Guerra De Las Drogas: ¿Exactamente Que Esta Pasando?,https://www.lamarihuana.com/guerra-drogas-exactamente-pasando/,http://www.theculturehigh.com/,The Cultura High,13,230,False,False,False,True,False,False,False,False,2024-06-16,2025-05-14,False,False
