Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
21,A hunted Syrian activist begins his work anew in Washington - The Washington Post,https://www.washingtonpost.com/local/a-hunted-syrian-activist-begins-his-work-anew-in-washington/2012/08/28/69e23bba-ed56-11e1-b09d-07d971dee30a_story.html,https://thedayafter-sy.org/contact-us/,"""The Day After,""",2,19,False,False,False,True,False,False,False,False,2025-03-14,2025-05-19,False,False
8,Huzzaz - NWO Timeline: Syria,https://mail.huzzaz.com/video/65688,http://www.thedayafter-sy.org/media/thedayafteren.pdf,www.thedayafter-sy.org/media/thedayafteren.pdf,2,17,False,False,False,True,False,False,False,False,2024-12-13,2025-04-29,False,False
5,"The Day after: Konzept für Syrien, 29.09.2012 (Friedensratschlag)",http://ag-friedensforschung.de/regionen/Syrien/thedayafter.html,http://www.thedayafter-sy.org/media/thedayafteren.pdf,The Day After,2,15,False,False,False,True,False,False,False,False,2024-01-19,2025-05-27,False,False
8,Neuen Kommentar hinzufügen | Internationale der KriegsdienstgegnerInnen,http://updates.wri-irg.org/de/comment/reply/node/23902/comment,http://thedayafter-sy.org/wp-content/uploads/2013/12/thedayafteren.pdf,After,10,67,False,False,False,True,False,False,False,False,2023-09-19,2024-12-30,False,True
7,A Government-in-Exile for Ethiopia? | Ethiopian Review - Ethiopian News,https://www.ethiopianreview.com/index/53248,http://thedayafter-sy.org/wp-content/uploads/2014/12/thedayafteren.pdf,Day After Project,10,7,False,False,False,True,False,False,False,False,2024-04-12,2024-12-26,False,False
5,"Social Media, Journalism & the Syrian Revolution",https://foreignpolicyblogs.com/2012/10/08/social-media-journalism-the-syrian-revolution/,http://thedayafter-sy.org/,The Day After Project,10,85,False,False,False,True,False,False,False,False,2023-10-07,2025-05-29,False,False
15,"Turning to ""SmartWater"" to save Syria's endangered relics",https://newatlas.com/smartwater-save-syrian-antiquities/48626/,http://thedayafter-sy.org/,The Day After,17,88,False,False,False,True,False,False,False,False,2024-04-07,2025-05-19,False,False
21,Turkey Should Let Syrian Activists Cross Border | Al Jazeera America,http://america.aljazeera.com/opinions/2016/1/turkey-should-let-syrian-activists-cross-the-border.html,http://thedayafter-sy.org/,the Day After,17,88,False,False,False,True,False,False,False,False,2024-06-03,2025-05-19,False,False
10,» 10 Ways Syrian Women Are Building Peace and Democracy,https://www.inclusivesecurity.org/2014/02/21/10-ways-syrian-women-building-peace-democracy/,http://thedayafter-sy.org/wp-content/uploads/2013/12/thedayafteren.pdf,report,17,50,False,False,False,True,False,False,False,False,2024-09-22,2025-05-31,False,False
17,Ending Sectarianism in Syria | Foreign Affairs,https://www.foreignaffairs.com/articles/syria/2016-04-13/ending-sectarianism-syria,http://thedayafter-sy.org/download-full-report/,study,18,140,False,False,False,True,False,False,False,False,2024-09-21,2025-06-02,False,False
5,The War on ISIS: Views From Syrian Activists and Intellectuals - PopularResistance.Org,https://popularresistance.org/the-war-on-isis-views-from-syrian-activists-and-intellectuals/,http://thedayafter-sy.org/,The Day After,18,32,False,False,False,True,False,False,False,False,2023-05-22,2025-05-17,False,False
19,Bürgerkrieg: Zwei Wege führen zu einem freien Syrien | ZEIT ONLINE,https://www.zeit.de/politik/ausland/2012-08/syrien-ende-regime,http://thedayafter-sy.org/,The Day After-Projekt,19,93,False,False,False,True,False,False,False,False,2023-12-18,2025-04-16,False,False
