Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
10,Firehouse Festival,https://www.brownpapertickets.com/event/357779,http://www.thefirehousespace.org/,www.thefirehousespace.org,3,46,False,False,False,True,False,False,False,False,2021-06-27,2025-01-02,False,True
7,"Composer’s Voice: Women, Words, and Music | Musicalics",https://musicalics.com/fr/event/Composer%E2%80%99s-Voice-Women-Words-and-Music,http://thefirehousespace.org/,http://thefirehousespace.org/,4,80,False,False,False,True,False,False,False,False,2024-03-31,2025-03-05,False,False
21,NYC Performances by MIT Alumnus Christopher Adler | Massachusetts Institute of Technology,https://mta.mit.edu/news/nyc-performances-mit-alumnus-christopher-adler,http://thefirehousespace.org/,http://thefirehousespace.org/,6,100,False,False,False,True,False,False,False,False,2024-08-03,2025-05-27,False,False
7,"Firehouse Space, The - StageBuddy.com",https://stagebuddy.com/venue/firehouse-space-the,http://thefirehousespace.org/,http://thefirehousespace.org/,8,22,False,False,False,True,False,False,False,False,2024-08-24,2025-05-21,False,False
5,Icarus Quartet - Composers Now,http://web11.fcny.org/cn/archive/1/schedule/icarus-quartet/,http://thefirehousespace.org/events/,The Firehouse Space,8,104,False,False,False,True,False,False,False,False,2024-12-01,2025-06-03,False,False
6,"5 questions to Chris Graham (percussionist, curator) - I CARE IF YOU LISTEN",https://icareifyoulisten.com/2013/01/5-questions-to-chris-graham-percussionist-curator/,http://thefirehousespace.org/,http://thefirehousespace.org,9,102,False,False,False,True,False,False,False,False,2024-07-24,2025-05-29,False,False
21,"""An Angel at Dachau"" | Music in New York",https://www.timeout.com/newyork/classical/an-angel-at-dachau,http://thefirehousespace.org/,thefirehousespace.org,10,84,False,False,False,True,False,False,False,False,2025-02-01,2025-04-15,False,False
17,"Konekt Asia NYC Workshop 01 em The Fire House Space, New York City",https://pt-br.ra.co/events/689189,http://www.thefirehousespace.org/,The Fire House Space,10,32,False,False,False,True,False,False,False,False,2024-09-13,2025-04-26,False,False
7,Sarah Bernstein - Lebenslauf / Biografie - Wiki,https://de.wiki.li/Sarah_Bernstein,http://thefirehousespace.org/event/dan-blake-curates-2/,Veranstaltungshinweis bei Firehouse 12,11,30,False,False,False,True,False,False,False,False,2024-11-05,2025-04-06,False,False
14,New York City Firehouse Plays Host to Free 9/11 Inspired Film Screening for FDNY First Responders,https://www.broadwayworld.com/article/New-York-City-Firehouse-Plays-Host-to-Free-911-Inspired-Film-Screening-for-FDNY-First-Responders-20161209,http://www.thefirehousespace.org/,www.thefirehousespace.org,12,251,False,False,False,True,False,False,False,False,2024-10-02,2025-05-13,False,False
6,Fortuna & Goldsbury & Minchello & Grassi USA Tour 2014,https://jazzsoul.pl/2014/11/05/fortuna-goldsbury-minchello-grassi-usa-tour-2014/,http://thefirehousespace.org/,tutaj,12,42,False,False,False,True,False,False,False,False,2022-04-02,2025-05-08,False,True
7,Critic’s Choice,https://newyorkclassicalreview.com/2016/01/critics-choice-20/,http://thefirehousespace.org/,Firehouse Space,12,18,False,False,False,True,False,False,False,False,2024-01-16,2025-05-20,False,False
18,Feb. 28th Concert Honors GC Faculty Member Robert Dick - GC Music Program Community Portal,https://gcmusic.commons.gc.cuny.edu/2014/02/23/feb-28th-concert-honors-gc-faculty-member-robert-dick/,http://thefirehousespace.org/event/the-music-of-brooklyn-composer-robert-dick/,http://thefirehousespace.org/event/the-music-of-brooklyn-composer-robert-dick/,12,85,False,False,False,True,False,False,False,False,2024-01-15,2025-06-04,False,False
8,Fortuna/ Goldsbury/ Minchello/ Grassi USA Tour 2014 | Jazz Forum,https://jazzforum.com.pl/main/news/fortuna-goldsbury-minchello-grassi-usa-tour-2014,http://thefirehousespace.org/,http://thefirehousespace.org,12,40,False,False,False,True,False,False,False,False,2024-09-16,2025-05-08,False,False
