Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
13,Informatique Sans Ordinateur | 3. Contexte pédagogique,https://sancy.iut.uca.fr/~iso/ressources/formationgobot/pedago/3-contextepedago/,http://thinkersmith.org/,site en Anglais,2,8,False,False,False,True,False,False,False,False,2024-09-06,2025-05-25,False,False
16,WICS Students Launch Ambitious Outreach Project,http://www.cs.uoregon.edu/News/20120215-WICS.php,http://www.thinkersmith.org/,Thinkersmith,5,12,False,False,False,True,False,False,False,False,2024-10-24,2025-06-02,False,False
9,Mise en place dans la classe - IREM Clermont-Ferrand,"http://irem.univ-bpclermont.fr/Mise-en-place-dans-la-classe,1283.html",http://thinkersmith.org/,site en Anglais,6,111,False,False,False,True,False,False,False,False,2024-06-03,2025-05-23,False,False
9,Chapter 6. Activities that Foster Computational Thinking | Online Resources,https://resources.corwin.com/computationalthinking/student-resources/chapter-6-activities-that-foster-computational-thinking,http://thinkersmith.org/TSTC/BtGo/TSTCelectric.pdf,It’s Electric,8,31,False,False,False,True,False,False,False,False,2024-06-08,2025-05-30,False,False
9,ThinkerSmith – DiscoverE,https://discovere.org/partner/thinkersmith/,https://www.thinkersmith.org/,View Partner Website,10,38,False,False,False,True,False,False,False,False,2024-09-12,2025-05-10,False,False
5,"Create environments for beginning students where the prospect of making a mistake is not intimidating. That way, they’re less likely to get discouraged. | Computer Science Teaching Tips",https://www.csteachingtips.org/tip/create-environments-beginning-students-where-prospect-making-mistake-not-intimidating-way,http://thinkersmith.org/TSTC/Series1/CSEDrobotics.pdf,stacking cups,12,14,False,False,False,True,False,False,False,False,2024-05-05,2025-04-02,False,True
17,Ανοιχτό εργαστήριο για την ώρα του κώδικα – με αφετηρία το εργαστήριο,https://blogs.sch.gr/anaspenoglou/archives/147,http://thinkersmith.org/,Thinkersmith,14,56,False,False,False,True,False,False,False,False,2024-10-20,2024-12-25,False,False
8,Mine Robotvenner | Kodeklubben,https://oppgaver.kidsakoder.no/uten_datamaskin/robotvenner/robotvenner,http://thinkersmith.org/,Thinkersmith,14,28,False,False,False,True,False,False,False,False,2024-05-29,2025-05-19,False,False
11,ISTE | The do's and don'ts of pair programming,https://iste.org/blog/the-dos-and-donts-of-pair-programming,http://thinkersmith.org/,Thinkersmith,16,62,False,False,False,True,False,False,False,False,2024-11-18,2025-05-31,False,False
10,Programavimas be kompiuterių – Science in School,https://www.scienceinschool.org/lt/article/2016/coding-without-computers-lt/,http://www.thinkersmith.org/,Thinkersmith,17,48,False,False,False,True,False,False,False,False,2024-08-24,2025-06-04,False,False
17,Why Schools Should Lower The Bar For Teaching Programming To Kids - Fast Company,https://www.fastcompany.com/3040006/why-schools-should-lower-the-bar-for-teaching-programming-to-kids,https://www.thinkersmith.org/,Thinkersmith,19,71,False,False,False,True,False,False,False,False,2024-08-14,2025-06-02,False,False
14,CIS407/507,http://cisx07.blogspot.com/,http://www.thinkersmith.org/KikiCompThinkThesis.pdf,thesis,20,30,False,False,False,True,False,False,False,False,2025-04-12,2025-04-12,False,False
11,"Week of November 12th, 2013 « Joel's Journal- A Weekly Bulletin",http://blogs.4j.lane.edu/lavin/2013/11/week-of-november-12th-2013/,http://thinkersmith.org/csed-week/csed/,website,20,63,False,False,False,True,False,False,False,False,2025-01-10,2025-04-17,False,False
11,Can Robots Teach Kids to Code? | EdTech Magazine,https://edtechmagazine.com/k12/article/2013/11/can-robots-teach-kids-code,http://thinkersmith.org/,Thinkersmith,21,90,False,False,False,True,False,False,False,False,2024-08-25,2025-05-31,False,False
16,Sesiones de clase de progamación listas para usar sin ordenadores,https://codigo21.educacion.navarra.es/eu/2014/11/19/sesiones-de-clase-de-progamacion-listas-para-usar-sin-ordenadores/,http://thinkersmith.org/,Thinkersmith,27,104,False,False,False,True,False,False,False,False,2024-06-22,2025-05-23,False,False
5,Oregon's Kiki Prottsman (@thinkersmith) on Hour of Code and the Future - NCCE,https://ncce.org/oregons-kiki-prottsman-thinkersmith-hour-code-future/,http://thinkersmith.org/,Thinkersmith,30,36,False,False,False,True,False,False,False,False,2024-12-20,2025-05-24,False,False
13,Hawaii DOE | Sneak Peek: Hour of Code at Hawaii's public schools,https://www.hawaiipublicschools.org/VisionForSuccess/SuccessStories/Schools/Pages/2014-HOC.aspx,http://thinkersmith.org/,Thinkersmith's,31,66,False,False,False,True,False,False,False,False,2024-06-23,2025-02-28,False,False
23,Gacha+RPG - Search Images,https://akam.bing.com/images/search?q=Gacha%2BRPG&qft,https://www.thinkersmith.org/gacha-games/,thinkersmith.org,33,326,False,False,False,True,False,False,False,False,2024-05-18,2025-02-01,False,True
9,Ώρα Κώδικα - ΚΕΠΛΗΝΕΤ Σάμου,http://keplinet.didesam.mysch.gr/index.php/articles-menu-item/educational-menu-item/136-hour-of-code,http://thinkersmith.org/,thinkersmith.org,34,70,False,False,False,True,False,False,False,False,2024-01-31,2025-05-18,False,False
6,Category: Games,http://live.classroom20.com/archive-and-resources/category/games,http://thinkersmith.org/about-us/curriculum/,http://thinkersmith.org/about-us/curriculum/,80,889,False,False,False,True,False,False,False,False,2024-06-27,2025-05-16,False,False
19,FLOSS Community Programs – Make WordPress Community,https://make.wordpress.org/community/floss-community-programs/,http://www.thinkersmith.org/travelingCircuits.php,Traveling Circuits,82,71,False,False,False,True,False,False,False,False,2024-08-24,2025-05-04,False,False
