Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,,https://www.creatingfutures.us/,http://creatingitfutures.org/,,0,0,False,False,False,True,False,False,False,False,2024-07-05,2024-12-28,False,True
15,,http://www.itreadynetwork.org/,https://www.creatingitfutures.org/,,0,0,False,False,False,True,False,False,False,False,2023-11-13,2025-04-17,False,True
9,Donate to Creating It Futures (36-4295421) using Daffy,https://www.daffy.org/charities/364295421-creating-it-futures-downers-grove-il,http://www.creatingitfutures.org/,creatingitfutures.org,1,53,False,False,False,True,False,False,False,False,2024-06-15,2025-02-24,False,True
8,CompTIA Spark - M&A Summary and Business Overview | Mergr,https://mergr.com/company/comptia-spark,http://www.creatingitfutures.org/,www.creatingITfutures.org,2,61,False,False,False,True,False,False,False,False,2024-11-17,2025-04-18,False,False
8,Creating IT Futures | Retraining Directory | Careershifters,https://www.careershifters.org/retraining-directory/tech/creating-it-futures,https://www.creatingitfutures.org/,Find out more at www.creatingitfutures.org,2,43,False,False,False,True,False,False,False,False,2024-05-10,2025-05-29,False,False
9,Employment Verification for Creating IT Futures | Truv,https://truv.com/verifications/creating-it-futures-employment-verification,https://creatingitfutures.org/,Creating IT Futures website,2,42,False,False,False,True,False,False,False,False,2025-01-11,2025-05-27,False,False
9,New president and CEO for CompTIA - Channel - News - HEXUS.net,https://m.hexus.net/business/news/channel/14023-new-president-ceo-comptia/,http://creatingitfutures.org/,Educational Foundation,2,34,False,False,False,True,False,False,False,False,2023-08-19,2025-01-20,False,True
10,Ctt synonym by Babylon's thesaurus,https://thesaurus.babylon-software.com/ctt,https://www.creatingitfutures.org/,Creating IT Futures],3,111,False,False,False,True,False,False,False,False,2024-10-03,2024-12-21,False,False
5,La vérité sur Creating it futures. Creating it futures est-il le bon choix ?,https://fr.trustburn.com/reviews/creating-it-futures,http://creatingitfutures.org/,Internet creatingitfutures.org,4,48,False,False,False,False,False,False,True,False,2024-08-16,2025-01-17,False,False
7,"CREATING IT FUTURES – Satisfying, Well-Paying Tech Jobs Abound – Innovations of the World",https://innovationsoftheworld.com/creating-it-futures-satisfying-well-paying-tech-jobs-abound/,http://creatingitfutures.org/,Visit CREATING IT FUTURES Website,4,41,False,False,False,True,False,False,False,False,2024-06-13,2025-05-30,False,False
9,4Ps of Internships | Visual.ly,https://visual.ly/community/Infographics/education/4ps-internships,https://www.creatingitfutures.org/,Creating IT Futures Foundation,4,31,False,False,False,True,False,False,False,False,2024-03-15,2025-02-21,False,True
17,HealthPartners Receives Polaris Award from Creating IT Futures Foundation for Leadership in Building IT Careers,https://www.healthpartners.com/hp/about/press-releases/10-20-15.html,http://www.creatingitfutures.org/home.aspx,Creating IT Futures,5,6,False,False,False,True,False,False,False,False,2024-06-22,2025-05-13,False,False
15,SXSW PanelPicker®,https://panelpicker.sxsw.com/vote/114086,https://www.creatingitfutures.org/,Creating IT Futures,5,13,False,False,False,True,False,False,False,False,2024-06-15,2025-05-16,False,False
6,Tips for Finding and Hiring a Diverse Team - The ChannelPro Network,https://www.channelpronetwork.com/2020/10/05/tips-for-finding-and-hiring-a-diverse-team/,https://www.creatingitfutures.org/,creatingitfutures.org,6,150,False,False,False,True,False,False,False,False,2024-06-17,2025-05-23,False,False
15,Libsyn Directory,https://directory.libsyn.com/episode/index/show/techtalkradio/id/21317639,https://www.creatingitfutures.org/,Creating IT Futures,6,39,False,False,False,True,False,False,False,False,2024-11-01,2025-04-08,False,False
5,Digital Skills Innovation Fund - Lancashire Skills and Employment Hub,https://www.lancashireskillshub.co.uk/digital-skills-partnership/digital-skills-innovation-fund/,http://www.creatingitfutures.org/lancashire,For further information click here.,6,39,False,False,False,True,False,False,False,False,2024-05-03,2025-05-16,False,False
18,List of Licensed and Registered Institutions,https://www.ohe.state.mn.us/sPages/licRegInfo.cfm?instID=911,http://www.creatingitfutures.org/,www.creatingitfutures.org,6,179,False,False,False,True,False,False,False,False,2022-07-14,2025-05-30,False,False
5,Stratosphere Networks Executive to Speak to College IT Club,https://www.stratospherenetworks.com/stratosphere-networks-executive-to-speak-to-college-it-club.html,http://www.creatingitfutures.org/,http://www.creatingitfutures.org/,6,48,False,False,False,True,False,False,False,False,2021-12-04,2025-05-25,False,False
7,Creating IT Futures Foundation - Opportunity Index -,https://opportunityindex.org/org/creating-it-futures-foundation/,http://www.creatingitfutures.org/,Website,6,15,False,False,False,True,False,False,False,False,2024-06-20,2025-05-19,False,False
17,Boston Celtics Get an Assist from CompTIA’s IT Security Community,https://production-northcentral-www.comptia.org/blog/boston-celtics-get-an-assist-from-comptia-s-it-security-community,http://www.creatingitfutures.org/home.aspx,Creating IT Futures Foundation,7,139,False,False,False,True,False,False,False,False,2024-06-28,2025-05-13,False,False
12,"Shift to cloud is shifting IT skill and training needs, too – BlueCat Networks",https://bluecatnetworks.com/blog/shift-to-cloud-is-shifting-it-skill-and-training-needs-too/,https://www.creatingitfutures.org/,Creating IT Futures,7,96,False,False,False,True,False,False,False,False,2024-03-21,2025-04-03,False,True
