Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,"Digital Humanities Data Curation Institute Summer 2013 Workshop, Jun 24-26 | The History Education Network",http://www.thenhier.ca/fr/node/3202.html,http://dhcuration.org/institute,http://dhcuration.org/institute,1,8,False,False,False,True,False,False,False,False,2025-01-25,2025-05-26,False,False
18,Contents - Digital Humanities Data Curation,https://archive.mith.umd.edu/dhcuration-guide/guide.dhcuration.org/index.html%3Fp=126.html,http://dev.dhcuration.org/contents/intro/,Introduction to Humanities Data Curation What is data curation? How does it relate to humanities research? What are the unique features of humanities data? —Julia Flanders and Trevor Muñoz,2,17,False,False,False,False,False,False,True,False,2024-11-13,2025-05-19,False,False
18,"Formats, schemas, vocabularies, data models and section 7.4 of the Best Practices document from Joao Paulo Almeida on 2015-01-22 (public-dwbp-wg@w3.org from January 2015)",https://lists.w3.org/Archives/Public/public-dwbp-wg/2015Jan/0195.html,http://guide.dhcuration.org/representation/,http://guide.dhcuration.org/representation/,2,28,False,False,False,True,False,False,False,False,2025-01-19,2025-04-07,False,False
15,Klassieke talen - Datamanagement in Talen en Culturen - Research Data Management - Universiteit van Amsterdam,https://rdm.uva.nl/content/onderzoeksgroepen/talen-en-culturen/repositories-klassieke-talen.html,http://guide.dhcuration.org/research-practices/classics/,"Classics, “Digital Classics” and Issues for Data Curation",2,28,False,False,False,True,False,False,False,False,2024-04-18,2025-05-30,False,False
9,LISTSERV 16.5 - CODE4LIB Archives,https://lists.clir.org/cgi-bin/wa?A2=ind1307&L=CODE4LIB&O=A&P=165107,http://dhcuration.org/institute,http://dhcuration.org/institute,4,290,False,False,False,True,False,False,False,False,2024-05-29,2025-04-12,False,False
18,An Introduction to Humanities Data Curation | Platform for Experimental Collaborative Ethnography,http://worldpece.ss.uci.edu/content/introduction-humanities-data-curation,http://guide.dhcuration.org/intro/,http://guide.dhcuration.org/intro/,4,14,False,False,False,True,False,False,False,False,2024-03-28,2025-04-21,False,False
15,Digital Humanities Workbench,https://www2.fgw.vu.nl/dighum/source_data/data_management.php,http://guide.dhcuration.org/contents/intro/,An Introduction to Humanities Data Curation,5,102,False,False,False,True,False,False,False,False,2024-11-08,2025-05-16,False,False
8,SPEC Kit 354: Data Curation (May 2017) page 133,https://publications.arl.org/Data-Curation-SPEC-Kit-354/141,http://guide.dhcuration.org/,,5,160,False,False,False,True,False,False,False,False,2024-04-28,2025-05-20,False,False
5,Munoz – Question 2 - Archive Journal,https://dev.archivejournal.net/roundtable/munoz-question-2/,http://guide.dhcuration.org/intro/,http://guide.dhcuration.org/intro/,6,43,False,False,False,True,False,False,False,False,2024-04-09,2025-05-27,False,False
13,Lecture: The Data Curation Landscape | HKDCWS,https://akthom.gitbooks.io/hkdcws/content/Day_1/Day_1_Lectures/Book/Day_1_Lecture_Introduction.html,http://guide.dhcuration.org/intro/pdf.php,PDF,6,27,False,False,False,True,False,False,False,False,2022-02-02,2025-05-16,False,False
18,CUNY Internet Research Team » Digital Humanities Data Curation Institute: Now Accepting Applications | HASTAC,https://internetresearchteam.commons.gc.cuny.edu/2013/11/21/digital-humanities-data-curation-institute-now-accepting-applications-hastac/,http://dhcuration.org/institute,http://dhcuration.org/institute,7,61,False,False,False,True,False,False,False,False,2024-03-18,2025-05-24,False,False
5,data management – Miriam Posner's Blog,http://miriamposner.com/blog/tag/data-management/,http://www.dhcuration.org/,their important work,8,19,False,False,False,True,False,False,False,False,2024-11-26,2025-05-31,False,False
17,The IIIF-based Digital Library of the Veneranda Biblioteca Ambrosiana,https://umanisticadigitale.unibo.it/article/download/12449/13130?inline=1,https://guide.dhcuration.org/contents/digital-collections-and-aggregations/,https://guide.dhcuration.org/contents/digital-collections-and-aggregations/,9,20,False,False,False,True,False,False,False,False,2024-10-24,2025-05-13,False,False
19,Humanities + Data: A Link Roundup - Research Data Services,https://researchdata.wisc.edu/news/humanities-data-a-link-roundup/,http://www.dhcuration.org/,The Digital Humanities Data Curation site,9,37,False,False,False,True,False,False,False,False,2024-11-26,2025-05-17,False,False
15,Digital Humanities Data Curation,https://www.neh.gov/divisions/odh/institutes/digital-humanities-data-curation,http://guide.dhcuration.org/,DH Curation Guide,10,50,False,False,False,True,False,False,False,False,2024-04-17,2025-05-13,False,False
18,DHDC Institute workshops underway at GSLIS,https://ischool.illinois.edu/news-events/news/2013/06/dhdc-institute-workshops-underway-gslis,http://guide.dhcuration.org/,DH Curation Guide,13,81,False,False,False,True,False,False,False,False,2024-08-03,2025-05-27,False,False
15,Recap: Intro to Data Curation in the Humanities – Fordham Library News,https://librarynews.blog.fordham.edu/2019/10/09/recap-intro-to-data-curation-in-the-humanities/,https://guide.dhcuration.org/contents/intro/,data curation,14,81,False,False,False,True,False,False,False,False,2024-11-10,2025-01-16,False,False
5,The Final Death(s) of Digital Scholarship—An Ongoing Case Study of DH2005 Projects • Robin Camille Davis •,https://robincamille.com/presentations/death_of_digital_scholarship/,https://guide.dhcuration.org/,DH Curation Guide,14,10,False,False,False,True,False,False,False,False,2024-05-05,2025-05-25,False,False
15,Additional Resources | Program for Open Scholarship and Education,https://pose.open.ubc.ca/open-research/additional-resources/,https://guide.dhcuration.org/about/,Humanities Data Curation Guide,19,44,False,False,False,True,False,False,False,False,2024-03-24,2025-04-07,False,True
8,Digital Humanities Data Curation Institutes Workshop: Summer 2013 | Svensk Nationell Datatjänst,https://snd.se/sv/kalender/digital-humanities-data-curation-institutes-workshop-summer-2013,http://dhcuration.org/institute/,Digital Humanities Data Curation,19,115,False,False,False,True,False,False,False,False,2024-07-25,2025-05-25,False,False
9,"Notes from the Digital Humanities Summer School, University of Oxford (DHOxSS), 14-18 July 2014 | DCC",https://www.dcc.ac.uk/blog/notes-digital-humanities-summer-school-university-oxford-dhoxss-14-18-july-2014,http://www.dhcuration.org/institute/,Digital Humanities Data Curation Institutes,19,57,False,False,False,True,False,False,False,False,2023-08-11,2025-05-28,False,False
14,Additional Resources – POSETest,https://pressbooks.bccampus.ca/posetest/chapter/additional-resources/,https://guide.dhcuration.org/about/,Humanities Data Curation Guide,21,205,False,False,False,True,False,False,False,False,2024-12-02,2025-05-20,False,False
18,Data curation as publishing for digital humanists,https://trevormunoz.com/archive/posts/2013-05-30-data-curation-as-publishing-for-dh/,http://guide.dhcuration.org/intro/,many near synonyms,21,4,False,False,False,True,False,False,False,False,2023-10-02,2025-05-23,False,False
8,Organizing and Sharing Your Work | DLF Organizers’ Toolkit,https://organizers-toolkit.diglib.org/organizing-and-sharing-your-work/,https://guide.dhcuration.org/contents/,crash course in humanities data curation?,22,26,False,False,False,True,False,False,False,False,2024-06-16,2025-05-24,False,False
12,Dwbp Glossary,https://w3c.github.io/dwbp/glossary.html,http://guide.dhcuration.org/representation/,DH Curation Guide,23,0,False,False,False,True,False,False,False,False,2024-11-29,2025-05-23,False,False
7,Schedule – Digital Methods for Military History,https://dmmh.rrchnm.org/schedule/,https://guide.dhcuration.org/contents/intro/,https://guide.dhcuration.org/contents/intro/,24,14,False,False,False,True,False,False,False,False,2024-11-06,2025-05-14,False,False
15,WORKSHOP: Now Accepting Application: Digital Humanities Data Curation Institute (Oct. 16-18 @ MITH) ← dh+lib,https://acrl.ala.org/dh/2013/07/29/workshop-now-accepting-application-digital-humanities-data-curation-institute-oct-16-18-mith/,http://dhcuration.org/institute,apply,27,49,False,False,False,True,False,False,False,False,2023-06-02,2025-02-27,False,True
7,DHQ: Digital Humanities Quarterly: Data Assemblages: A Call to Conceptualize Materiality in the Academic Ecosystem,https://www.digitalhumanities.org/dhqdev/vol/9/2/000215/000215.html,http://guide.dhcuration.org/intro/,http://guide.dhcuration.org/intro/,28,139,False,False,False,True,False,False,False,False,2024-03-16,2025-05-22,False,False
14,Kuratorstwo cyfrowe oraz kuratorstwo danych i treści : CMS w bibliotekach,https://www.cmswbibliotekach.umk.pl/kuratorstwo-cyfrowe/kuratorstwo-cyfrowe-oraz-kuratorstwo-danych-i-tresci/,http://guide.dhcuration.org/faq/,"Przewodnika po kuratorstwie danych w Humanistyce cyfrowej,",36,215,False,False,False,True,False,False,False,False,2024-10-25,2025-05-29,False,False
9,DPOE - Digital Preservation (Library of Congress),https://www.digitalpreservation.gov/education/courses/dhcuration.html,http://guide.dhcuration.org/,DH Curation Guide (external link),37,23,False,False,False,True,False,False,False,False,2024-11-21,2025-05-16,False,False
17,iSchool Directory | Information School | University of Washington,https://ischool.uw.edu/people/faculty/profile/clpalmer,https://guide.dhcuration.org/contents/digital-collections-and-aggregations/,Digital collections and aggregations,38,96,False,False,False,True,False,False,False,False,2024-10-29,2025-05-24,False,False
23,Exploring the “Flute Girls” of Ancient Greece through Multimodality – Classics@ Journal,https://classics-at.chs.harvard.edu/classics17-tulley/,https://guide.dhcuration.org/contents/classics-digital-classics-and-issues-for-data-curation/,https://guide.dhcuration.org/contents/classics-digital-classics-and-issues-for-data-curation/,47,147,False,False,False,True,False,False,False,False,2024-05-12,2025-05-29,False,False
14,“Décrire les données” : présentation et bibliographie de la première journée de la #dhmasterclass – Digital Humanities à l'Institut historique allemand,https://dhiha.hypotheses.org/1937,http://guide.dhcuration.org/,http://guide.dhcuration.org/,47,122,False,False,False,True,False,False,False,False,2024-11-09,2025-05-31,False,False
5,Legal issues Bibleography,https://www.clarin-d.net/de/legal-issues-bibleography.html,http://guide.dhcuration.org/legal/policy/,"Melissa Levine, Digital Humanities DH Curation, Policy, Practice and Law.",51,53,False,False,False,True,False,False,False,False,2025-03-23,2025-05-17,False,False
5,DigitalKoans – Page 469 – What Is the Sound of One E-Print Downloading?,https://digital-scholarship.org/digitalkoans/page/469/,http://www.dhcuration.org/institute/,Digital Humanities Data Curation Institutes Workshop: Summer 2013,52,408,False,False,False,True,False,False,False,False,2025-05-04,2025-05-10,True,True
6,Uses This / Robin Camille Davis,https://usesthis.com/interviews/robin.davis/,http://guide.dhcuration.org/,DH Curation Guide,55,8,False,False,False,True,False,False,False,False,2022-10-09,2025-05-22,False,False
9,"Professional opportunities Dec. 23, 2013 | National Council on Public History",https://ncph.org/history-at-work/news-dec-23-2013/,http://dhcuration.org/institute,Digital Humanities Data Curation Institute,56,81,False,False,False,True,False,False,False,False,2024-03-23,2025-05-31,False,False
9,Marcus | Out of the Shadows: Bringing African American Digital Collections Together in Umbra Search African American History | Open Library of Humanities,https://olh.openlibhums.org/article/id/4511/,http://guide.dhcuration.org/contents/digital-collections-and-aggregations/,http://guide.dhcuration.org/contents/digital-collections-and-aggregations/,56,86,False,False,False,True,False,False,False,False,2024-11-02,2025-05-31,False,False
8,D-Lib Magazine Clips and Pointers,http://www.dlib.org/dlib/january14/01clips.html,http://dhcuration.org/institute,Digital Humanities Data Curation,77,66,False,False,False,True,False,False,False,False,2024-03-17,2025-05-04,False,False
11,D-Lib Magazine Clips and Pointers,https://webdoc.sub.gwdg.de/edoc/aw/d-lib/dlib/january14/01clips.html,http://dhcuration.org/institute,Digital Humanities Data Curation,79,64,False,False,False,True,False,False,False,False,2024-04-25,2025-05-18,False,False
21,Meetings | DHRN,https://dhresearchnetwork.wordpress.com/meetings/,http://guide.dhcuration.org/,http://guide.dhcuration.org/,90,23,False,False,False,True,False,False,False,False,2025-05-23,2025-05-23,True,False
12,Training Information Professionals in the Digital Humanities: An Analysis of DH Courses in LIS Education | Sula | College & Research Libraries,https://crl.acrl.org/index.php/crl/article/view/26030/33944,https://guide.dhcuration.org/contents/intro,https://guide.dhcuration.org/contents/intro,95,21,False,False,False,True,False,False,False,False,2024-09-20,2025-01-22,False,True
17,Linguistic Anthropology Module,https://kuscholarworks.ku.edu/server/api/core/bitstreams/fb0c3bb7-0e98-4d0a-b9ce-87bd3cada050/content,https://guide.dhcuration.org/contents/intro/,https://guide.dhcuration.org/contents/intro/,107,6,False,False,False,True,False,False,False,False,2024-08-13,2025-04-13,False,True
15,1. Imaginer et préparer,https://mi-gt-donnees.pages.math.unistra.fr/guide/01-imaginer.html,https://guide.dhcuration.org/about/,DH Curation Guide,113,53,False,False,False,True,False,False,False,False,2024-10-18,2025-05-21,False,False
