Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
46,PromAct,https://promactx.blogspot.com/,https://essentialstuff.org/,essentialstuff,50173,7,True,False,False,True,False,False,False,False,2024-09-08,2025-05-31,False,False
33,PromAct,https://promactx.blogspot.com/files/textes/droits_usage.html,https://essentialstuff.org/,essentialstuff,50173,5,True,False,False,True,False,False,False,False,2024-11-26,2025-04-15,False,False
32,PromAct,https://promactx.blogspot.com/%C2%A0,https://essentialstuff.org/,essentialstuff,50173,5,True,False,False,True,False,False,False,False,2025-02-18,2025-02-18,False,False
28,Indian ice cream (Canada) - Wikipedia,https://en.wikipedia.org/wiki/Indian_ice_cream_(Canada),http://essentialstuff.org/index.php/2010/08/14/Cat/sxusem-indian-ice-cream/,"""Sxusem: Indian Ice Cream « The EssentiaList""",36,340,True,False,False,True,False,False,False,False,2024-11-28,2025-02-14,False,False
28,Indian ice cream (Canada) - Wikipedia,https://en.wikipedia.org/wiki/Indian_ice_cream_(Canada),http://essentialstuff.org/index.php/2010/08/14/Cat/sxusem-indian-ice-cream/,"""Sxusem: Indian Ice Cream""",36,340,True,False,False,True,False,False,False,False,2024-11-28,2025-02-14,False,False
26,Індіанське морозиво (Канада) — Вікіпедія,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D0%B4%D1%96%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%BC%D0%BE%D1%80%D0%BE%D0%B7%D0%B8%D0%B2%D0%BE_(%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0),http://essentialstuff.org/index.php/2010/08/14/Cat/sxusem-indian-ice-cream/,Sxusem: Indian Ice Cream,38,244,True,False,False,True,False,False,False,False,2024-08-30,2025-05-18,False,False
26,Індіанське морозиво (Канада) — Вікіпедія,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D0%B4%D1%96%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%BC%D0%BE%D1%80%D0%BE%D0%B7%D0%B8%D0%B2%D0%BE_(%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0),http://essentialstuff.org/index.php/2010/08/14/Cat/sxusem-indian-ice-cream/,Sxusem: Indian Ice Cream « The EssentiaList,38,244,True,False,False,True,False,False,False,False,2024-08-30,2025-05-18,False,False
23,Melted+Wax - Search Images,https://4.bing.com/images/search?FORM=IRFLTR&q=Melted%2BWax&qft,http://essentialstuff.org/index.php/2011/06/06/Cat/cheese-making-waxing-the-round/,essentialstuff.org,42,344,False,False,False,True,False,False,False,False,2024-01-30,2024-12-04,False,True
23,Deer+Fence - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRS&q=Deer%2BFence,http://essentialstuff.org/index.php/2009/10/,essentialstuff.org,40,164,False,False,False,True,False,False,False,False,2024-12-07,2024-12-07,False,False
23,GMO+Meat - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=GMO%2BMeat,http://essentialstuff.org/index.php/2013/06/28/Cat/usda-approves-new-non-gmo-label-for-meat-liquid-egg-products/,essentialstuff.org,42,342,False,False,False,True,False,False,False,False,2024-09-23,2024-12-14,False,True
23,GMO+Label - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?q=GMO%2BLabel&qft,http://essentialstuff.org/index.php/2013/06/28/Cat/usda-approves-new-non-gmo-label-for-meat-liquid-egg-products/,essentialstuff.org,40,170,False,False,False,True,False,False,False,False,2024-10-03,2024-12-15,False,True
23,GMO+Meat - Search Images,https://akam.bing.com/images/search?q=GMO%2BMeat&qft,https://www.essentialstuff.org/index.php/2013/06/28/Cat/usda-approves-new-non-gmo-label-for-meat-liquid-egg-products/,essentialstuff.org,42,345,False,False,False,True,False,False,False,False,2024-12-28,2024-12-28,False,False
23,SoapBerry - Search Images,https://akam.bing.com/images/search?q=SoapBerry&qft,https://www.essentialstuff.org/categories/post-topics/community/,essentialstuff.org,39,405,False,False,False,True,False,False,False,False,2024-09-19,2024-12-05,False,True
23,PromAct,https://promactx.blogspot.com/hot/,https://essentialstuff.org/,essentialstuff,50173,5,True,False,False,True,False,False,False,False,2024-12-17,2024-12-17,False,False
23,How to Cure Bacon: 12 Steps (with Pictures) - wikiHow,https://www.wikihow.com/Cure-Bacon,https://essentialstuff.org/index.php/2012/06/09/Cat/curing-meats-at-home/comment-page-1/,https://essentialstuff.org/index.php/2012/06/09/Cat/curing-meats-at-home/comment-page-1/,13,233,True,False,False,True,False,False,False,False,2024-07-31,2025-05-04,False,False
22,Grassland+Facts - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=IRMHRS&q=Grassland%2BFacts,http://essentialstuff.org/index.php/2015/11/27/Cat/the-importance-of-grassland-infographic/,essentialstuff.org,40,168,False,False,False,True,False,False,False,False,2024-04-11,2025-01-05,False,True
22,GMO+Label - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRFLTR&q=GMO%2BLabel&qft,http://essentialstuff.org/index.php/2013/06/28/Cat/usda-approves-new-non-gmo-label-for-meat-liquid-egg-products/,essentialstuff.org,40,172,False,False,False,True,False,False,False,False,2024-03-17,2025-01-25,False,False
22,GMO+Food+Labeling - Search Images,https://akam.bing.com/images/search?FORM=IRMHEP&q=GMO%2BFood%2BLabeling,http://essentialstuff.org/index.php/2013/06/28/Cat/usda-approves-new-non-gmo-label-for-meat-liquid-egg-products/,essentialstuff.org,39,331,False,False,False,True,False,False,False,False,2024-07-05,2025-01-25,False,True
22,Accent+MSG - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=Accent%2BMSG,http://essentialstuff.org/index.php/2013/01/25/Cat/msg-the-harm-and-its-other-names/,essentialstuff.org,40,413,False,False,False,True,False,False,False,False,2024-10-24,2025-01-12,False,True
22,Email+Fraud - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=Email%2BFraud,https://www.essentialstuff.org/2015/12/26/Cat/online-smartphone-security-fraudulent-email/,essentialstuff.org,42,342,False,False,False,True,False,False,False,False,2025-01-28,2025-01-28,False,False
22,Cómo curar tocino: 12 Pasos (con imágenes) - wikiHow,https://es.wikihow.com/curar-tocino,http://essentialstuff.org/index.php/2012/06/09/Cat/curing-meats-at-home/comment-page-1/,http://essentialstuff.org/index.php/2012/06/09/Cat/curing-meats-at-home/comment-page-1/,18,105,True,False,False,True,False,False,False,False,2024-07-14,2025-05-24,False,False
22,PromAct,https://promactx.blogspot.com/OPS_Page/index.html,https://essentialstuff.org/,essentialstuff,50173,5,True,False,False,True,False,False,False,False,2025-02-06,2025-02-06,False,False
21,alfomgrilla - Search Images,https://www.bing.com/images/results.aspx?q=alfomgrilla,http://essentialstuff.org/index.php/2013/04/03/Cat/gmo-alfalfa-in-the-flathead/,essentialstuff.org,37,170,False,False,False,True,False,False,False,False,2025-03-20,2025-04-30,False,False
21,23 Insane Things You Should Know About Snack Foods,https://www.buzzfeed.com/rachelysanders/23-insane-things-you-should-know-about-snack-foods,http://essentialstuff.org/index.php/2010/10/24/Cat/rendering-lard-crockpot-process/,essentialstuff.org,40,78,False,False,False,True,False,False,False,False,2024-10-11,2025-03-28,False,False
19,Dog food warning~ - Blogs & Forums,https://community.qvc.com/t5/Pet-Lovers/Dog-food-warning/td-p/5308249,https://www.essentialstuff.org/2018/02/04/Cat/beware-sodium-selenite-in-pet-food-is-toxic-2/,https://www.essentialstuff.org/2018/02/04/Cat/beware-sodium-selenite-in-pet-food-is-toxic-2/,30,696,True,False,False,True,False,False,False,False,2024-10-22,2025-05-20,False,False
19,The Benefits of Fermented Beets - by Dr. Joseph Mercola,https://takecontrol.substack.com/p/fermented-beets-benefits,https://www.essentialstuff.org/2014/04/28/Cat/health-benefits-of-beet-juice-beet-kvass/,"Essentialstuff.org, April 28, 2014",33,47,False,False,False,True,False,False,False,False,2024-10-02,2025-05-30,False,False
19,The Real Deal Buttermilk We're in Pancake Love With | Bon Appétit,https://www.bonappetit.com/test-kitchen/ingredients/article/kates-buttermilk,http://essentialstuff.org/index.php/2011/06/20/Cat/sourdough-oatmeal-porridge/comment-page-1/,sourdough oatmeal porridge,21,41,True,False,False,True,False,False,False,False,2024-07-21,2025-05-12,False,False
18,Top 53 Similar Sites Like sugarfreestevia.net | Best sugarfreestevia Alternatives & Reviews,https://www.sitelike.org/similar/sugarfreestevia.net/,https://www.essentialstuff.org/,essentialstuff.org,30,204,True,False,False,False,False,False,True,False,2025-03-13,2025-03-13,False,False
17,GMO Defined | GMO Awareness,https://gmo-awareness.com/all-about-gmos/gmo-defined/,http://essentialstuff.org/index.php/2013/06/28/Cat/usda-approves-new-non-gmo-label-for-meat-liquid-egg-products/,"USDA approves new ‘Non-GMO’ label for meat, liquid egg products « The EssentiaList",200,181,True,False,True,True,False,False,False,False,2024-10-10,2025-05-28,False,False
16,"Adele Zimmerman Phone, Address, Criminal & Traffic Records | TruthFinder",https://www.truthfinder.com/people-search/adele-zimmerman/,https://www.essentialstuff.org/gatherings-events/bigfork-community-center-activities/,essentialstuff.org,22,174,False,False,False,True,False,False,False,False,2024-11-21,2025-03-06,False,True
15,No-pattern homemade garments - Sewing clothes nopattern | Ask MetaFilter,https://ask.metafilter.com/320171/No-pattern-homemade-garments,https://www.essentialstuff.org/2012/02/13/Cat/making-simple-garments/comment-page-1/,rectangles,21,112,False,False,False,True,False,False,False,False,2025-01-19,2025-03-10,False,False
15,11 Best Wet & Dry Cat Food for Diarrhea - Cats.com,https://cats.com/best-cat-food-for-diarrhea,https://www.essentialstuff.org/essentialstuff.org,https://www.essentialstuff.org/essentialstuff.org,57,237,True,False,True,True,False,False,False,False,2024-10-08,2025-05-18,False,False
14,Hyperthyroid cat that cannot be on thyroid meds and not ideal candidate for radioactive iodine treatment. What should I do? – Health & Care – Explore Groups by Top Category,https://cats.com/community/health-care/hyperthyroid-cat-that-cannot-be-on-thyroid-meds-and-not-ideal-candidate-for-radioactive-iodine-treatment-what-should-i-do,https://www.essentialstuff.org/2018/02/04/cat/beware-sodium-selenite-in-pet-food-is-toxic-2/,https://www.essentialstuff.org/2018/02/04/cat/beware-sodium-selenite-in-pet-food-is-toxic-2/,18,72,True,False,False,True,False,False,False,False,2024-07-27,2025-05-24,False,False
14,Autoimmune Disease Caused By Leaky Gut,https://danmarinkocure.angelfire.com/autoimmune-disease-caused-by-leaky-gut.html,http://essentialstuff.org/index.php/2011/12/13/Cat/how-gmos-destroy-life-soil-and-your-gut-probiotics/,GMO foods destroy probiotics,3,3,True,False,False,True,False,False,False,False,2024-10-08,2025-05-16,False,False
