Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
6,Fermentert rødbete – Det dyprøde gullet — Fedon Helse,https://fedon.no/temaartikler/fermentert-rodbete-det-dyprode-gullet/,https://www.essentialstuff.org/2014/04/28/Cat/health-benefits-of-beet-juice-beet-kvass/,https://www.essentialstuff.org/2014/04/28/Cat/health-benefits-of-beet-juice-beet-kvass/,5,35,False,False,False,True,False,False,False,False,2024-10-07,2025-05-25,False,False
9,"Ever wish we could go back to the old days? | Discussions | eBrandon - Brandon, Manitoba's Online Community",https://www.ebrandon.ca/messagethread.aspx?cat_id=4&message_id=596090,http://essentialstuff.org/index.php/2011/12/13/Cat/how-gmos-destroy-life-soil-and-your-gut-probiotics/,http://essentialstuff.org/index.php/2011/12/13/Cat/how-gmos-destroy-life-soil-and-your-gut-probiotics/,7,140,False,False,False,True,False,False,False,False,2024-10-05,2025-05-05,False,False
5,"Heiß abfüllen, Einkochen, PressureCanning – Forum – Hortus-Netzwerk.de",https://hortus-netzwerk.de/forum/topic/heiss-abfuellen-einkochen-pressurecanning/?ajaxCalendar=1&id=709947750&mo=8&yr=2022,https://www.essentialstuff.org/wp-content/uploads/2009/02/canngtables_esl2.pdf,Hier,7,40,False,False,False,True,False,False,False,False,2024-10-01,2025-04-30,False,False
7,Huş Kabuğu - Türkçe Bilgi,https://www.turkcebilgi.com/hu%C5%9F_kabu%C4%9Fu,http://essentialstuff.org/wp-content/uploads/2010/06/BirchBark_SWingard_052610a_cprs.pdf,"Gathering Summary, May 26, 2010: Using Birch Bark and Other Native Materials, A Presentation by Steve Wingard",7,93,False,False,False,True,False,False,False,False,2024-11-03,2025-04-24,False,False
13,Does Home Depot Recycle Cfl Bulbs,https://sandbox.independent.com/view/does-home-depot-recycle-cfl-bulbs.html,https://www.essentialstuff.org/wp-content/uploads/2015/10/RecycleNation-lightBulbs.jpg,CFL and LED bulbs how to dispose/recycle them « The EssentiaList,10,26,False,False,False,False,False,False,True,False,2024-12-01,2025-01-03,False,False
6,Huş kabuğu,https://bafybeihjftiuhzvqqmrguvjf2v7goypn3qzpb62d6leueueci6jn43xemq.ipfs.dweb.link/wiki/Hu%C5%9F_kabu%C4%9Fu.html,http://essentialstuff.org/wp-content/uploads/2010/06/BirchBark_SWingard_052610a_cprs.pdf,"Gathering Summary, May 26, 2010: Using Birch Bark and Other Native Materials, A Presentation by Steve Wingard",14,83,False,False,False,True,False,False,False,False,2024-12-14,2025-02-05,False,False
12,,https://wiki-gateway.eudic.net/wikipedia_en/Sxusem.html,http://essentialstuff.org/index.php/2010/08/14/Cat/sxusem-indian-ice-cream/,"""Sxusem: Indian Ice Cream « The EssentiaList""",15,109,False,False,False,True,False,False,False,False,2025-01-24,2025-01-24,False,False
8,Letters to the Editor | Hungry Horse News,https://hungryhorsenews.com/news/2009/jun/18/letters-to-the-editor-10/,http://essentialstuff.org/,essentialstuff.org,16,39,False,False,False,True,False,False,False,False,2024-12-22,2025-05-18,False,False
6,cooking over fire with primitive containers,https://www.wilderness-survival.net/forums/showthread.php?12505-cooking-over-fire-with-primitive-containers,http://essentialstuff.org/wp-content/uploads/2010/06/BirchBark_SWingard_052610a_cprs.pdf,http://essentialstuff.org/wp-content...2610a_cprs.pdf,17,193,False,False,False,True,False,False,False,False,2024-12-04,2025-03-20,False,False
7,Letters to the Editor | Whitefish Pilot,https://whitefishpilot.com/news/2009/jun/18/letters-to-the-editor-9/,http://essentialstuff.org/,essentialstuff.org,18,36,False,False,False,True,False,False,False,False,2024-08-26,2025-05-24,False,False
