Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
20,HERE to HERE Announces Dr. Edward Summers as Executive Director of the Bronx Private Industry Council – The Office of The Bronx Borough President | Vanessa L. Gibson,https://bronxboropres.nyc.gov/2019/04/01/here-to-here-announces-dr-edward-summers-as-executive-director-of-the-bronx-private-industry-council/,https://www.heretohere.org/,HERE To HERE,2,34,False,False,False,True,False,False,False,False,2024-10-12,2025-05-19,False,False
5,Here to here ảnh,https://vi.trustburn.com/photos/here-to-here,http://heretohere.org/,Internet heretohere.org,3,16,False,False,False,False,False,False,True,False,2024-11-02,2025-04-05,False,False
5,Democratic National Committee Vice-Chair Michael Blake on the tech ecosystem in NYC - StartUp Beat,https://www.startupbeat.com/democratic-national-committee-vice-chair-michael-blake-on-the-tech-ecosystem-in-nyc/31852/,https://www.heretohere.org/,Here to here,5,42,False,False,False,True,False,False,False,False,2024-09-28,2025-04-24,False,False
15,Fordham Student Leads the Way on Community Engagement – Changemaker,https://changemaker.blog.fordham.edu/fordham-student-leads-the-way-on-community-engagement/,https://www.heretohere.org/,Here to Here’s Thinkubator,5,19,False,False,False,True,False,False,False,False,2024-11-07,2025-01-03,False,False
9,Panel: Why building students' social networks is critical - Christensen Institute,https://www.christenseninstitute.org/video/panel-why-building-students-social-networks-is-critical/,https://www.heretohere.org/,HERE to HERE,6,33,False,False,False,True,False,False,False,False,2024-11-03,2025-04-25,False,False
9,Summer Interns Learn the Ropes | Breaking Ground,https://breakingground.org/news-events/summer-interns-learn-the-ropes,https://www.heretohere.org/,HERE-to-HERE,6,91,False,False,False,True,False,False,False,False,2024-06-21,2025-05-14,False,False
11,"Project Manager, Work Based Learning Labs (WBLL)",https://jobs.chalkbeat.org/jobs/project-manager-work-based-learning-labs-wbll/,https://www.heretohere.org/about-key-distinguishers/,Key Distinguishers,7,58,False,False,False,True,False,False,False,False,2024-08-14,2025-05-16,False,False
6,A Guide for Talking About Social Capital - Equitable Futures,https://www.equitablefutures.org/toolkit/a-guide-for-talking-about-social-capital/,https://www.heretohere.org/,HERE to HERE,8,17,False,False,False,True,False,False,False,False,2024-06-09,2025-05-19,False,False
6,Challenging the Status Quo with 2021 OfficeNinjas All-Star Sherrisse-Lee Lewis! — OfficeNinjas,https://officeninjas.com/all-stars-2021-sherrisse-lee-lewis,https://www.heretohere.org/about/our-commitment-to-equity/,"Justice, Equity, Diversity, and Inclusion (JEDI)",8,36,False,False,False,True,False,False,False,False,2024-08-06,2025-02-07,False,False
8,Here to Here - Bronx River Alliance,https://bronxriver.org/partner/here-to-here,https://www.heretohere.org/,Visit Our Partner's Site,9,73,False,False,False,True,False,False,False,False,2024-07-18,2025-05-26,False,False
12,Lazar Treschan – The 74,https://www.the74million.org/contributor/586933/,https://www.heretohere.org/,Here to Here,9,52,False,False,False,True,False,False,False,False,2024-08-05,2025-04-25,False,False
9,Watch: Building Equitable Pathways Webinar Series - Jobs for the Future (JFF),https://www.jff.org/event/building-equitable-pathways-webinar-series/,https://www.heretohere.org/,HERE to HERE,9,70,False,False,False,True,False,False,False,False,2024-09-16,2025-04-11,False,False
7,"When our youth lead, communities thrive - WorkingNation",https://www.workingnation.com/when-our-youth-lead-communities-thrive/,https://www.heretohere.org/,HERE to HERE,9,225,False,False,False,True,False,False,False,False,2024-06-15,2025-05-29,False,False
6,Reflecting on Five years of Fellowship - BetaNYC,https://www.beta.nyc/2020/05/22/reflecting-on-five-years-of-fellowship/,https://www.heretohere.org/resource/employer-partnerships-that-drive-systems-change/,here,10,49,False,False,False,True,False,False,False,False,2025-05-11,2025-05-29,True,False
6,Proposal Information - Rally 2024: The National Land Conservation Conference,https://alliancerally.org/proposal-information/,https://www.heretohere.org/wp-content/uploads/2020/07/H2H-Language-Guide_A-Resource-for-Using-Asset-Based-Language-with-Young-People.pdf,https://www.heretohere.org/wp-content/uploads/2020/07/H2H-Language-Guide_A-Resource-for-Using-Asset-Based-Language-with-Young-People.pdf,10,34,False,False,False,True,False,False,False,False,2024-04-18,2024-12-29,False,True
8,Credit Suisse Americas Foundation Commits USD 1 Million to HERE to HERE to Launch Youth Apprenticeships Through Careerwise New York | Philanthropy New York,https://philanthropynewyork.org/news/credit-suisse-americas-foundation-commits-usd-1-million-here-here-launch-youth-apprenticeships,https://www.heretohere.org/,HERE to HERE,10,81,False,False,False,True,False,False,False,False,2024-07-02,2025-05-18,False,False
19,Meetings and Symposia - Guttman Community College,https://archive.guttman.cuny.edu/ethnographies-of-work/meetings-and-symposia/,https://www.heretohere.org/,Here to Here,10,92,False,False,False,True,False,False,False,False,2024-06-29,2025-01-02,False,False
13,Empowering the Future: Top Opportunities for High School Women of Color | Fastweb,https://www.fastweb.com/student-life/articles/empowering-the-future-top-opportunities-for-high-school-women-of-color,https://www.heretohere.org/,HERE to HERE,10,93,False,False,False,True,False,False,False,False,2024-09-04,2025-05-30,False,False
7,Mae Mae Cafe Blooms Again - Great Performances,https://greatperformances.com/blog/mae-mae-cafe-blooms-again/,https://www.heretohere.org/about/initiatives/bronxpic/,The Bronx Private Industry Council (The Bronx PIC),10,37,False,False,False,True,False,False,False,False,2024-08-16,2025-05-24,False,False
7,CareerWise Awarded $5M USDOL Grant to Assist Increase in Registered Youth Apprenticeship - CareerWise Colorado,https://www.careerwisecolorado.org/es/news-media/usdol-grant/,https://www.heretohere.org/,HERE to HERE,10,18,False,False,False,True,False,False,False,False,2023-01-31,2025-04-25,False,True
15,SXSW PanelPicker®,https://panelpicker.sxsw.com/vote/105803,https://www.heretohere.org/,Here to Here,10,13,False,False,False,True,False,False,False,False,2024-07-21,2025-05-17,False,False
18,HERE to HERE Foundation – Jobs – Career Services | University of Pennsylvania,https://careerservices.upenn.edu/companies/here-to-here-foundation/jobs/,https://www.heretohere.org/about/,www.heretohere.org,11,138,False,False,False,True,False,False,False,False,2024-06-22,2025-05-21,False,False
5,Vista: September 2023 - Greater Texas Foundation,http://greatertexasfoundation.org/vista-september-2023/,https://www.heretohere.org/wp-content/uploads/2020/07/H2H-Language-Guide_A-Resource-for-Using-Asset-Based-Language-with-Young-People.pdf,this resource for using asset-based language when working with young people,11,56,False,False,False,True,False,False,False,False,2024-12-29,2025-04-24,False,False
7,HERE to HERE - DreamYard,https://www.dreamyard.com/here-to-here,https://www.heretohere.org/,visit the website,11,40,False,False,False,False,False,False,True,False,2024-01-08,2025-04-19,False,False
10,A Message from Lehman College President José Luis Cruz,https://lehman.edu/lehman-today/president-cruz/4-29-19.html,https://www.heretohere.org/,HERE to HERE,11,8,False,False,False,True,False,False,False,False,2024-08-12,2025-05-20,False,False
8,Summer Youth Jobs More Critical Than Ever | Community Service Society of New York,https://www.cssny.org/news/entry/summer-youth-jobs-more-critical-than-ever,https://www.heretohere.org/about/initiatives/pathways-to-prosperity-nyc/,"Pathways to Prosperity NYC: Building a Thriving, Inclusive Economy",12,58,False,False,False,True,False,False,False,False,2022-11-24,2025-05-22,False,False
5,Advancing Equity Through Work-Based Learning – Education Systems Center at NIU,https://edsystemsniu.org/advancing-equity-through-work-based-learning-i-win-january-2021-community-of-practice/,https://www.heretohere.org/wp-content/uploads/2020/01/One-Step-Closer_H2H-Winter-2020_Online.pdf,Download the Here to Here presentation,12,32,False,False,False,True,False,False,False,False,2024-07-28,2025-05-13,False,False
12,93. Create paid internship opportunities and summer jobs programs for high school students with lower incomes. - The Leadership Conference on Civil and Human Rights,https://civilrights.org/education_policy/93-create-paid-internship-opportunities-and-summer-jobs-programs-for-high-school-students-with-lower-incomes/,https://www.heretohere.org/resource/one-step-closer-to-achieving-what-i-learned-in-school/,https://www.heretohere.org/resource/one-step-closer-to-achieving-what-i-learned-in-school/,12,68,False,False,False,True,False,False,False,False,2024-12-12,2025-05-24,False,False
11,"Lehman College Continues Initiatives To Help Students, Local Businesses - Black Star News",https://blackstarnews.com/lehman-college-continues-initiatives-to-help-students-local/,https://www.heretohere.org/,HERE to HERE,13,54,False,False,False,True,False,False,False,False,2024-08-10,2025-04-09,False,False
5,here to bridgewater nj,http://lesoutrali.com/us/ads/here-to-bridgewater-nj/,https://www.heretohere.org/,https://www.heretohere.org,13,68,False,False,False,True,False,False,False,False,2024-10-17,2025-01-12,False,False
10,Summer Youth Jobs More Critical Than Ever - New York Amsterdam News,https://amsterdamnews.com/news/2021/05/13/summer-youth-jobs-more-critical-ever/,https://www.heretohere.org/wp-content/uploads/2021/01/The-Story-of-SaveSYEP.pdf,youth in the lead,13,109,False,False,False,True,False,False,False,False,2024-08-05,2025-05-14,False,False
7,"Estudiante de Fordham lidera el camino en el compromiso de la comunidad - Spring Bank in Bronx, New York",https://www.spring.bank/estudiante-de-fordham-lidera-el-camino-en-el-compromiso-de-la-comunidad/?lang=es,https://www.heretohere.org/,Thinkubator,13,48,False,False,False,True,False,False,False,False,2024-08-11,2025-05-12,False,False
13,2025 Southeast Land Conservation Conference - Land Trust Alliance,https://landtrustalliance.org/resources/learn/explore/2025-southeast-land-conservation-conference,https://www.heretohere.org/wp-content/uploads/2020/07/H2H-Language-Guide_A-Resource-for-Using-Asset-Based-Language-with-Young-People.pdf,"Read a primer on this practice, including a useful checklist.",14,118,False,False,False,True,False,False,False,False,2024-09-23,2024-12-04,False,True
6,Kaleidoscope by Artefact - Storytelling Phase,https://kaleidoscope.artefactgroup.com/storytelling.html,https://www.heretohere.org/wp-content/uploads/2020/07/H2H-Language-Guide_A-Resource-for-Using-Asset-Based-Language-with-Young-People.pdf,learn asset-based terms,14,16,False,False,False,True,False,False,False,False,2024-07-19,2025-05-23,False,False
6,Learning From the Music for Social Change Field - Arts Education Partnership,https://www.aep-arts.org/learning-from-the-music-for-social-change-field/,https://www.heretohere.org/resource/the-here-to-here-language-guide/,The HERE to HERE Language Guide,14,35,False,False,False,True,False,False,False,False,2024-10-09,2025-05-15,False,False
