Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,Winterfest 2019 | friendsofvolobog,https://www.friendsofvolobog.org/copy-of-winterfest,http://www.milesovermountains.com/,www.MilesOverMountains.com,2,35,False,False,False,True,False,False,False,False,2024-12-05,2025-05-19,False,False
6,Sing Me a Story - Songwriters - Miles Over Mountains,https://singmeastory.org/songwriters/miles-over-mountains,http://www.milesovermountains.com/,View Website,5,18,False,False,False,True,False,False,False,False,2024-09-13,2025-05-24,False,False
5,Tickets for Way Down Wanderers w/ Miles Over Mountains in Davenport from MIDWESTIX,https://tickets.midwestix.com/event/way-down-wanderers-w-miles,http://www.milesovermountains.com/,Miles Over Mountains,9,10,False,False,False,True,False,False,False,False,2024-11-06,2025-05-28,False,False
8,Miles Over Mountains Release New Album Burn the Ships | Grateful Web,https://www.gratefulweb.com/articles/miles-over-mountains-release-new-album-burn-ships,http://milesovermountains.com/,milesovermountains.com,11,45,False,False,False,True,False,False,False,False,2024-11-22,2025-05-14,False,False
8,Miles Over Mountains - Hey Nonny,https://www.heynonny.com/shows/miles-over-mountains-2/,https://www.milesovermountains.com/,Miles Over Mountains's Website: www.milesovermountains.com,11,14,False,False,False,True,False,False,False,False,2024-11-10,2025-05-13,False,False
5,Concert By The Creek Volume Two,https://www.maximumink.com/index.php/DeWookTour/permalink/concert_by_the_creek_volume_two,http://www.milesovermountains.com/,Miles Over Mountains,13,24,False,False,False,True,False,False,False,False,2024-12-25,2024-12-25,False,False
5,Alfalfa Bluegrass Festival,https://roscoenews.com/events/alfalfa-bluegrass-festival-67292ba384d53fb64e67d9c6/,https://www.milesovermountains.com/?ref=roscoenews.com,Miles Over Mountains,14,18,False,False,False,True,False,False,False,False,2025-01-09,2025-04-27,False,False
6,Miles Over Mountains & Fox Crossing Stringband at Kenny's Westside Pub,http://visitdowntownpeoria.com/event/show/id/5327/date_id/11106,http://www.milesovermountains.com/,www.milesovermountains.com,18,19,False,False,False,True,False,False,False,False,2024-12-28,2024-12-28,False,False
5,9/18 Live from Studio A: Miles Over Mountains | The North 103.3 FM,https://www.thenorth1033.org/music/2015-09-18/9-18-live-from-studio-a-miles-over-mountains,http://www.milesovermountains.com/,Miles Over Mountains,21,61,False,False,False,True,False,False,False,False,2024-11-12,2025-05-28,False,False
13,"WinterFest, a sure cure for cabin fever, returns to Volo Bog Jan. 13",https://www.dailyherald.com/20190108/news/winterfest-a-sure-cure-for-cabin-fever-returns-to-volo-bog-jan-13/,http://www.milesovermountains.com/,www.MilesOverMountains.com,23,118,False,False,False,True,False,False,False,False,2025-01-08,2025-05-08,False,False
11,03-29-2020 Family Groove Company - Schubas Tavern || Lincoln Hall,https://lh-st.com/shows/03-29-2020-family-groove-company/,http://www.milesovermountains.com/,Miles Over Mountains [CD Release],23,8,False,False,False,True,False,False,False,False,2024-10-03,2025-05-12,False,False
23,Summer’s End,https://allerton.illinois.edu/events/summers-end-concert-2-665/,https://www.milesovermountains.com/,Miles Over Mountains,26,109,False,False,False,True,False,False,False,False,2025-02-26,2025-04-17,False,True
5,Sunday Sessions — BREWER'S CORNER — Riverlands Brewing Company,https://www.riverlandsbrewing.com/newsblog/tag/Sunday+Sessions,https://www.milesovermountains.com/,Miles Over Mountains Duo,27,30,False,False,False,True,False,False,False,False,2024-07-20,2025-05-09,False,True
11,"Interactive, family-friendly event, Bridge Folk Music & Art Festival, to take place on the banks of the Ohio - NKyTribune",https://nkytribune.com/2018/05/interactive-family-friendly-event-bridge-folk-music-art-festival-to-take-place-on-the-banks-of-the-ohio/,http://www.milesovermountains.com/,Miles Over Mountain,37,60,False,False,False,True,False,False,False,False,2024-10-12,2025-04-15,False,False
10,Alfalfa Fest 2024 - FARMERS RISING,https://www.farmersrising.org/alfalfafest2024.html,https://www.milesovermountains.com/,MILES OVER MOUNTAINS,40,19,False,False,False,True,False,False,False,False,2024-10-29,2025-05-30,False,False
5,Events — Old Towne Pub & Eatery | Wasco,http://www.otpwasco.com/new-events,http://www.milesovermountains.com/,www.milesovermountains.com/,47,149,False,False,False,True,False,False,False,False,2024-09-26,2025-04-15,False,False
11,Check Out Our July/August 2020 Digital Sampler,https://relix.com/articles/detail/check-out-our-july-august-2020-digital-sampler/,http://www.milesovermountains.com/,milesovermountains.com,51,41,False,False,False,True,False,False,False,False,2024-09-13,2025-03-04,False,False
7,The Downtown Knoxville Ten Day Planner (11/08 - 11/17/2015) | Inside of Knoxville,https://insideofknoxville.com/2015/11/the-downtown-knoxville-ten-day-planner-1108-11172015/,http://www.milesovermountains.com/,Miles Over Mountains,74,54,False,False,False,True,False,False,False,False,2024-11-29,2025-05-26,False,False
7,Mile of Music | Miles Over Mountains,https://mileofmusic.com/artists/miles-over-mountains/,https://www.milesovermountains.com/instagram.com/milesovermountains,,111,33,False,False,False,True,False,False,False,False,2024-11-27,2025-05-19,False,False
9,LIVE MUSIC,https://destihl.com/live-music,https://www.milesovermountains.com/,Miles Over Mountains,138,35,False,False,False,True,False,False,False,False,2024-11-02,2025-05-04,False,False
