Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
14,Summary | Astral,https://astral-protocol.gitbook.io/astral/spatial-data-registry/celo-evm-anchored-spatial-data-registry/summary,https://mrvcollective.org/,MRV Collective,2,61,False,False,False,True,False,False,False,False,2024-10-23,2025-05-27,False,False
5,Grants — Climate Collective,https://climatecollective.org/grants,https://mrvcollective.org/,,5,22,False,False,False,False,False,False,True,False,2024-09-27,2025-05-17,False,False
26,Nature Tech Collective,https://www.naturetechcollective.org/,http://www.mrvcollective.org/,MRV Collective,7,21,False,False,False,True,False,False,False,False,2023-12-15,2025-02-04,False,True
12,MRV Collective | Trellis,https://trellis.net/sponsor/mrv-collective/,https://mrvcollective.org/,,8,31,False,False,False,True,False,False,False,False,2024-10-14,2025-05-24,False,False
59,CyberTracker - CyberTracker,https://cybertracker.org/,https://www.mrvcollective.org/index.html,,9,64,False,False,False,False,False,False,True,False,2025-01-22,2025-01-28,False,False
6,Nature Tech in Action: Cutting-Edge Nature-Based Solutions - Nature4Climate,https://nature4climate.org/nature-tech-in-action-at-the-cutting-edge-of-nature-based-solutions/,https://www.mrvcollective.org/,MRV Collective,12,56,False,False,False,True,False,False,False,False,2024-10-13,2025-05-07,False,False
11,The state of naturetech - Naturetech report 2023 - Tech.eu,https://tech.eu/2023/10/26/the-state-of-nature-tech-nature-tech-report-2023/,https://www.mrvcollective.org/,MRV Collective,14,64,False,False,False,True,False,False,False,False,2024-10-05,2025-05-13,False,False
14,Affiliate Member of the Nature Tech Collective | One Earth,https://www.oneearth.org/partner/affiliate-member-of-the-nature-tech-collective/,https://www.mrvcollective.org/members.html,,16,45,False,False,False,False,False,False,True,False,2024-05-22,2025-05-09,False,True
15,Scoping study explores a global nature-related public data facility,https://www.gbif.org/ru/news/5YXFGAx3syqIZ2ljoJDikb/scoping-study-explores-a-global-nature-related-public-data-facility,https://www.mrvcollective.org/,MRV Collective,29,87,False,False,False,True,False,False,False,False,2024-10-24,2025-02-27,False,False
5,Une étude exploratoire porte sur un système mondial de données publiques relatives à la nature | GBIF France,http://www.gbif.fr/articles/14/09/23/une-etude-exploratoire-porte-sur-un-systeme-mondial-de-donnees-publiques-relatives,https://www.mrvcollective.org/,MRV Collective,32,58,False,False,False,True,False,False,False,False,2024-09-28,2025-02-16,False,False
23,MRV+Services - Search Images,https://akam.bing.com/images/search?FORM=IRFLTR&q=MRV%2BServices&qft,https://www.mrvcollective.org/index.html,mrvcollective.org,39,261,False,False,False,True,False,False,False,False,2024-12-26,2024-12-26,False,False
8,CarbonTech – Part Two - English Innovation Site,https://innovationisrael.org.il/en/carbontech-part-two/,https://www.mrvcollective.org/,Various organizations,51,61,False,False,False,True,False,False,False,False,2025-02-13,2025-05-31,False,False
10,"NATS.io – Cloud Native, Open Source, High-performance Messaging",https://nats.io/?ref=200lab.io,https://mrvcollective.org/,MRV Collective logo,97,12,False,False,False,False,False,False,True,False,2024-10-01,2025-05-26,False,False
9,Celo DApp Showcase | Celo Documentation,https://docs.celo.org/showcase,https://mrvcollective.org/,MRV Studio,179,20,False,False,False,True,False,False,False,False,2024-11-29,2025-05-27,False,False
