Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,Vinning plants,https://www.frogforum.net/showthread.php/36684-Vinning-plants,https://www.mygardeninsider.com/uploads/2011/10/6363_40.jpg,Zebrina Pendula,2,86,False,False,False,True,False,False,False,False,2024-04-18,2025-05-31,False,False
7,Was ist das? - Seite 134,https://forum.garten-pur.de/viewtopic.php?start=1995&t=46775,https://www.mygardeninsider.com/the-gardeners-library/1945/euphorbia/dulcis/chameleon,Euphorbia dulcis 'Chamaeleon',3,56,False,False,False,True,False,False,False,False,2024-09-05,2025-04-19,False,False
5,Redoing Containers for Autumn - Wentworth Greenhouses,https://wentworthgreenhouses.com/redoing-containers-autumn/,http://www.mygardeninsider.com/show-me-how/redoing-containers-for-autumn-interest#sthash.YiFsZwev.dpuf,– See more >,6,49,False,False,False,True,False,False,False,False,2024-04-12,2025-04-28,False,False
7,Say What? - Greenhouse Management,https://www.greenhousemag.com/article/gm0911-new-generation-gardening/,http://www.mygardeninsider.com/,MyGardenInsider.com,7,69,False,False,False,True,False,False,False,False,2024-04-26,2025-05-25,False,False
5,Cipolle rosse «arma» contro il cancro | Salute | DiariodelWeb.it,https://www.diariodelweb.it/salute/articolo/?nid=20170609_422326,https://www.mygardeninsider.com/the-gardeners-library/4589/allium/cepa/ruby-ring,Ruby Ring,9,25,False,False,False,True,False,False,False,False,2024-05-16,2025-05-28,False,False
6,Top 10 Best Movie Night Snacks [Recipes],https://www.topinspired.com/movie-night-snacks/,https://www.mygardeninsider.com/into-the-kitchen/yogurt-cream-cheese-fruit-dip,mygardeninsider.com,11,35,False,False,False,True,False,False,False,False,2023-10-25,2025-05-11,False,False
10,My Garden Insider From MasterTag - Greenhouse Grower,https://www.greenhousegrower.com/management/marketing/my-garden-insider-from-mastertag/,http://www.mygardeninsider.com/,MyGardenInsider.com,13,53,False,False,False,True,False,False,False,False,2023-04-13,2025-05-01,False,False
5,Society Garlic Facts and Health Benefits,https://www.healthbenefitstimes.com/society-garlic/,https://www.mygardeninsider.com/the-gardeners-library/2519/tulbaghia/violacea,https://www.mygardeninsider.com/the-gardeners-library/2519/tulbaghia/violacea,14,81,False,False,False,True,False,False,False,False,2024-06-16,2025-05-14,False,False
8,MasterTag Introduces Consumer Website - Greenhouse Product News,https://gpnmag.com/news/mastertag-introduces-consumer-website/,http://mygardeninsider.com/,MyGardenInsider.com,15,109,False,False,False,True,False,False,False,False,2024-09-02,2025-02-06,False,False
5,10 Good Christmas Presents for Pets – Tip Junkie,https://tipjunkie.com/good-christmas-presents/,http://www.mygardeninsider.com/show-me-how/catnip-cat-toy,Catnip Cat Toy,17,110,False,False,False,True,False,False,False,False,2024-05-25,2025-05-12,False,False
9,A Master of Invention,https://www.growertalks.com/Article/?articleid=18977,http://www.mygardeninsider.com/,mygardeninsider.com,23,27,False,False,False,True,False,False,False,False,2024-07-25,2025-05-04,False,False
9,Types Of Snake Plants - sansevieria varieties with pictures - Google Search in ... - Compare prices & read reviews. - Xkewtksbfi,https://xkewtksbfi.blogspot.com/2021/07/types-of-snake-plants-sansevieria.html,http://www.mygardeninsider.com/uploads/2011/10/6310_4.jpg,"Another name for sansevieria is mother in law tounge flower or snake plant. Mother-in-law's Tongue, Snake Plant Indoors (Sansevieria ...",29,15,False,False,False,False,False,False,True,False,2024-12-07,2024-12-07,False,False
5,Velvet Elephant Ear > Indoor Succulents > Houseplant Guide | @holly17 | MrOwl,https://www.mrowl.com/user/holly17/houseplantguide/indoorsucculen/velvetelephant,https://www.mygardeninsider.com/the-gardeners-library/3195/kalanchoe/beharensis,"Velvet Elephant Ear, Bihar Kalanchoe (Kalanchoe beharensis) | My Garden Insider",31,35,False,False,False,True,False,False,False,False,2024-11-22,2025-05-24,False,False
7,West Michigan horticultural firm a global success story,https://www.rapidgrowthmedia.com/innovationnews/0607mastertag.aspx,http://www.mygardeninsider.com/,here.,36,130,False,False,False,True,False,False,False,False,2024-11-15,2025-05-24,False,False
10,"As 19 Plantas que purificam ambientes internos, segundo a NASA | Almanaque SOS",https://www.almanaquesos.com/as-19-plantas-que-purificam-ambientes-internos-segundo-a-nasa/,https://www.mygardeninsider.com/the-gardeners-library/5081/hedera/helix,mygardeninsider,38,75,False,False,False,True,False,False,False,False,2023-08-08,2025-02-17,False,True
11,20+ Favorite Flowering Vines and Climbing Plants - A Piece Of Rainbow,https://www.apieceofrainbow.com/20-flowering-vines-fence-arbor/,https://www.mygardeninsider.com/the-gardeners-library/4232/hardenbergia/violacea,12,46,94,False,False,False,True,False,False,False,False,2024-05-07,2025-05-13,False,False
25,The Six Hottest Houseplants to Bring Home Now | Etsy,https://www.etsy.com/blog/popular-houseplants,https://www.mygardeninsider.com/the-gardeners-library/5287/aglaonema/species,red-aglaonema,92,106,False,False,False,False,False,False,True,False,2024-05-06,2025-03-19,False,False
