Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
20,Asian and Arab film festival in Delhi,https://livechat.rediff.com/getahead/2008/jan/16iycu.htm,http://www.osians.com/,www.osians.com,1,15,False,False,False,True,False,False,False,False,2024-12-30,2025-04-20,False,False
18,India's lasting disposable art | Times Higher Education (THE),https://www.timeshighereducation.com/books/indias-lasting-disposable-art/167968.article,https://www.osians.com/,www.osians.com,1,92,False,False,False,True,False,False,False,False,2024-10-10,2025-05-11,False,False
6,"Osian’s Cinefan, 10th Festival of Asian and Arab Cinema - Upcoming.org Archive",https://archive.upcoming.org/event/osians-cinefan-10th-festival-of-asian-and-arab-cinema-761035,http://www.osians.com/cinefan10/cinefan10.php,http://www.osians.com/cinefan10/cinefan10.php,1,6,False,False,False,True,False,False,False,False,2024-08-10,2025-05-31,False,False
5,Osians Connoisseurs of Art Pvt Ltd in Mumbai - DriveAt.com,http://www.driveat.com/Osians-Connoisseurs-of-Art-Pvt-Ltd-264687.html,http://www.osians.com/,www.osians.com,2,145,False,False,False,True,False,False,False,False,2024-12-18,2025-03-12,False,False
8,Osian s Connoisseurs of Art Pvt. - Ownership and Business Overview | Mergr,https://mergr.com/company/osian-s-connoisseurs-of-art-pvt.,http://www.osians.com/,www.osians.com,2,50,False,False,False,True,False,False,False,False,2024-09-09,2025-04-21,False,False
26,BBC NEWS | South Asia | Boom time for Indian modern art,http://news.bbc.co.uk/2/hi/south_asia/4255295.stm,http://www.osians.com/ahica.asp?Lot=3&cc,Osian's auction house,3,75,False,False,False,True,False,False,False,False,2024-12-14,2024-12-14,False,False
15,"Cherry Pie Picache wins Best Actress in India for ""Foster Child"" | PEP.ph",https://www.pep.ph/news/local/6696/cherry-pie-picache-wins-best-actress-in-india-for-foster-child,http://www.osians.com/,Osian's Cinefan,3,49,False,False,False,True,False,False,False,False,2024-12-27,2025-05-09,False,False
5,"Osian''s Connoisseurs of Art Pvt-Overview, Competitors & Contact Info | Selling.com",https://selling.com/company/osian's-connoisseurs-of-art-pvt/108384841,http://osians.com/,,4,58,False,False,False,True,False,False,False,False,2024-11-02,2025-05-09,False,False
7,Miljon rupier för Amazon - Classic Motor,https://www.classicmotor.se/artiklar/artiklar/20190219/miljon-rupier-for-amazon/,https://www.osians.com/new-auctions/2019-02-27-new-delhi-osians-vintage-classic-automobiles,"Oisans auktion New Dehli, Indien",4,33,False,False,False,True,False,False,False,False,2024-08-12,2025-05-15,False,False
7,Osians - Connoisseurs Of Art Pvt Ltd,https://www.scikey.ai/company/OsiansConc82634,http://www.osians.com/,Visit now,5,37,False,False,False,True,False,False,False,False,2024-08-24,2025-02-15,False,False
12,OSIANs Connoisseurs of Art Pvt Ltd - Company Overview | Jobbuzz,https://jobbuzz.timesjobs.com/company/osians-connoisseurs-of-art-pvt-ltd?compids=8659,http://www.osians.com/,http://www.osians.com,6,71,False,False,False,True,False,False,False,False,2024-06-20,2025-04-29,False,False
6,11th Osian's-Cinefan Film Festival,https://www.shanghartgallery.com/galleryarchive/exhibition.htm?exbId=2762,http://cinefan.osians.com/,External Link,6,14,False,False,False,True,False,False,False,False,2024-06-15,2025-01-14,False,False
