Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
18,[2109.11775] Quantifying point cloud realism through adversarially learned latent representations,https://ar5iv.labs.arxiv.org/html/2109.11775,https://pandaset.org/,https://pandaset.org,4,124,False,False,False,True,False,False,False,False,2025-02-07,2025-02-07,False,False
17,VR Software wiki - Native Point Cloud Visualization for Unreal Engine 5,https://www.vrwiki.cs.brown.edu/vr-development-software/unreal-engine-5/native-point-cloud-visualization-for-unreal-engine-5,https://pandaset.org/,PandaSet,4,730,False,False,False,True,False,False,False,False,2024-11-22,2025-05-31,False,False
16,PandaSet Terms of Use,https://scale.com/legal/pandaset-terms-of-use,https://pandaset.org/,pandaset.org,5,84,False,False,False,True,False,False,False,False,2024-12-28,2025-02-11,False,False
7,The Korean Society Of Automotive Engineers,http://journal.ksae.org/_common/do.php?a=full&aidx=34227&b=12&bidx=3068,https://pandaset.org/,https://pandaset.org,6,58,False,False,False,True,False,False,False,False,2024-09-01,2025-05-28,False,False
6,PandaSet Format Conversion,https://docs.basic.ai/docs/pandaset-dataset-tutorial,https://pandaset.org/,the official PandaSet webpage,6,85,False,False,False,True,False,False,False,False,2024-09-30,2025-05-13,False,False
5,Judy Jiao,https://www.catalyzex.com/author/Judy%20Jiao,https://pandaset.org/,https://pandaset.org/,7,16,False,False,False,True,False,False,False,False,2024-12-09,2025-04-14,False,False
6,PandaSet: Open source dataset for autonomous vehicle testing – Telematics Wire,https://www.telematicswire.net/pandaset-open-source-dataset-for-autonomous-vehicle-testing/,https://pandaset.org/,PandaSet,8,78,False,False,False,True,False,False,False,False,2024-09-09,2025-05-23,False,False
6,"b-plus entwickelt ""Pandaset2bag"" zur freien Verwendung im ROS2-Umfeld des 5GNPR Forschungsprojektes",https://www.b-plus.com/de/newsroom/news/detail/b-plus-entwickelt-pandaset2bag-zur-freien-verwendung-im-ros2-umfeld-des-5gnpr-forschungsprojektes,https://pandaset.org/,https://pandaset.org/,10,105,False,False,False,True,False,False,False,False,2024-07-09,2025-05-29,False,False
9,5 Best LiDAR Datasets to Learn & Process Point Clouds Data,https://www.thinkautonomous.ai/blog/lidar-datasets/,https://pandaset.org/?ref=thinkautonomous.ai,https://pandaset.org/,15,50,False,False,False,True,False,False,False,False,2024-07-07,2025-05-25,False,False
8,AI in ParaView and LidarView: Point cloud Deep Learning frameworks integration with Python plugins,https://www.kitware.com/ai-point-cloud-deep-learning-in-paraview-and-lidarview/,https://pandaset.org/,PandaSet dataset,18,77,False,False,False,True,False,False,False,False,2024-05-25,2025-05-29,False,False
9,Hesai and Scale AI open-source LiDAR data set for autonomous car training | AI Business,https://aibusiness.com/verticals/hesai-and-scale-ai-open-source-lidar-data-set-for-autonomous-car-training,https://pandaset.org/,PandaSet,21,115,False,False,False,True,False,False,False,False,2024-09-10,2025-05-31,False,False
10,Top 27 Leading 3D Point Cloud Datasets for Autonomous Driving and Perception - iMerit,https://imerit.net/blog/top-27-leading-3d-point-cloud-datasets-for-autonomous-driving-and-perception/,https://pandaset.org/,Pandaset,35,95,False,False,False,True,False,False,False,False,2025-03-21,2025-05-19,False,False
16,LiDAR-Captured Road Data Now Publicly Available in Open-Source Machine Learning Dataset - News,https://www.allaboutcircuits.com/news/lidar-captured-road-data-open-source-machine-learning-dataset/,https://pandaset.org/,PandaSet,40,131,False,False,False,True,False,False,False,False,2024-09-09,2025-05-12,False,False
20,A Realism Metric for Generated LiDAR Point Clouds | International Journal of Computer Vision,https://link.springer.com/article/10.1007/s11263-022-01676-8,https://pandaset.org/,https://pandaset.org,46,155,False,False,False,True,False,False,False,False,2024-12-27,2025-04-28,False,False
7,Awesome-3D-LiDAR-Datasets | Ecosyste.ms: Awesome,https://awesome.ecosyste.ms/lists/minwoo0611%2Fawesome-3d-lidar-datasets,https://pandaset.org/,Pandaset,90,95,False,False,False,True,False,False,False,False,2024-07-31,2025-05-08,False,False
5,Fast and accurate localization and mapping method for self-driving vehicles based on a modified clustering particle filter | Multimedia Tools and Applications,https://springerlink.fh-diploma.de/article/10.1007/s11042-022-14111-4,https://pandaset.org/,https://pandaset.org/,105,38,False,False,False,True,False,False,False,False,2024-10-02,2025-03-03,False,False
18,Learning the Incremental Warp for 3D Vehicle Tracking in LiDAR Point Clouds,https://www.mdpi.com/2072-4292/13/14/2770,https://pandaset.org/,https://pandaset.org/,150,210,False,False,False,True,False,False,False,False,2025-01-25,2025-01-25,False,False
