Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
9,Greenline KC Update: An Urban Trail Looping Around Downtown Kansas City - Downtown Council of Kansas City,https://www.downtownkc.org/greenline-kc-update-an-urban-trail-looping-around-downtown-kansas-city/,https://paseogateway.com/,Paseo Gateway project,3,15,False,False,False,True,False,False,False,False,2024-12-18,2025-05-30,False,False
5,Town Hall Meeting on Cardiovascular Health | Show Me PAD,https://showme-pad.org/join-us-for-a-town-hall-meeting/,https://paseogateway.com/,Paseo Gateway,3,33,False,False,False,True,False,False,False,False,2024-10-04,2025-05-22,False,False
8,"Resident Services | Housing Authority of Kansas City, Missouri",https://www.hakc.org/resident-services,https://paseogateway.com/,Choice Initiative,8,126,False,False,False,True,False,False,False,False,2023-08-15,2025-05-20,False,False
10,Mattie Rhodes CALL FOR ARTISTS & APPRENTICE ARTISTS! - Mattie Rhodes,https://www.mattierhodes.org/call-for-artists-2/,http://www.paseogateway.com/neighborhood/,http://www.paseogateway.com/neighborhood/,10,27,False,False,False,True,False,False,False,False,2024-12-07,2024-12-07,False,False
7,Real-Time Solutions - United Way of Greater Kansas City,https://unitedwaygkc.org/real-time-solutions/,https://paseogateway.com/,Learn more,10,55,False,False,False,True,False,False,False,False,2024-03-29,2025-05-09,False,True
9,Here's where the first phase of that Kansas City bond money will likely be spent,https://www.thepitchkc.com/heres-where-the-first-phase-of-all-that-kansas-city-bond-money-is-going-to-be-spent/,http://www.paseogateway.com/transformation-plan/,Paseo Gateway,13,44,False,False,False,True,False,False,False,False,2024-12-18,2025-05-30,False,False
15,Kansas City Researcher Earns National PCORI Engagement Award | Saint Luke's Health System,https://www.saintlukeskc.org/about/news/kansas-city-researcher-earns-national-pcori-engagement-award,https://paseogateway.com/,Paseo Gateway,15,87,False,False,False,True,False,False,False,False,2024-10-19,2025-05-27,False,False
15,Several projects aim to revitalize northeast KCMO,https://www.kshb.com/news/local-news/business-incubator-on-independence-ave-campaigning-for-votes-to-receive-grant,https://paseogateway.com/,Paseo Gateway,21,123,False,False,False,True,False,False,False,False,2024-12-08,2025-05-20,False,False
7,Renovations coming to Independence Plaza Park - Northeast News,https://northeastnews.net/pages/renovations-coming-independence-plaza-park/,http://www.paseogateway.com/,www.paseogateway.com,23,76,False,False,False,True,False,False,False,False,2024-12-03,2025-05-30,False,False
14,"The History Behind The Paseo, One Of Kansas City's First Boulevards | KCUR - Kansas City news and NPR",https://www.kcur.org/community/2017-05-23/the-history-behind-the-paseo-one-of-kansas-citys-first-boulevards,http://www.paseogateway.com/,The Paseo Gateway Project,28,88,False,False,False,True,False,False,False,False,2024-12-18,2025-05-23,False,False
19,"In The Loop: April 10, 2022 - by Kevin Worley",https://kcdowntownloop.substack.com/p/in-the-loop-april-10-2022,https://paseogateway.com/,Paseo Gateway,53,15,False,False,False,True,False,False,False,False,2024-12-08,2025-05-12,False,False
