Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,"Überprüfung von Good Shephard Mission | Ein großartiger Ort, um zu sein. Alle Mitarbeiter ...",https://de.trustburn.com/review/-ARY93UBzzAS63SUVbPi,https://thegsmission.org/,Internet thegsmission.org,4,20,False,False,False,False,False,False,True,False,2024-06-22,2025-04-20,False,False
5,Society and Culture Web Directory: ODP.org > Regional > North America > United States > Texas > Counties > Walker > Society and Culture Directory,http://www.odp.org/Regional/North_America/United_States/Texas/Counties/Walker/Society_and_Culture,http://thegsmission.org/,Good Shepherd Mission,4,15,False,False,False,True,False,False,False,False,2024-10-21,2025-04-15,False,False
7,Good Shepherd Mission - Betty Mills,https://www.bettymills.com/shelter/view/714344-good-shepherd-mission-huntsville-tx-77320,https://www.thegsmission.org/,https://www.thegsmission.org,4,143,False,False,False,True,False,False,False,False,2024-09-13,2025-05-30,False,False
19,Walker County Resources | Southern District of Texas,https://www.txs.uscourts.gov/page/walker-county-resources,http://thegsmission.org/wp/,Good Shepherd Mission,5,53,False,False,False,True,False,False,False,False,2021-04-22,2025-05-06,False,True
8,Resources - We are Women of Worth Inc,http://mywebsite.flipcause.com/preview/19d6df.8dk5ngk4e824b.df1439d77a00fb10d02c9725c19d22b9/274496909286538315,http://thegsmission.org/wp/,Good Shepherd Mission,12,26,False,False,False,True,False,False,False,False,2025-01-16,2025-05-23,False,False
10,"Good Shepherd, Smith celebrated at dinner | News | itemonline.com",https://www.itemonline.com/news/good-shepherd-smith-celebrated-at-dinner/article_ea780f3e-8886-11ee-8ac2-33a9d50a5937.html,http://www.thegsmission.org/,www.thegsmission.org,15,121,False,False,False,True,False,False,False,False,2023-11-28,2024-12-28,False,True
13,"Jan. 5, 2015, update",https://todayatsam.shsu.edu/T@S/2015/jan0515up.html,http://www.thegsmission.org/,thegsmission.org,22,65,False,False,False,True,False,False,False,False,2024-07-02,2025-05-28,False,False
5,Philanthropy & Charity | HomeLand Properties | East Texas,https://homelandprop.com/philanthropy/,http://thegsmission.org/wp/,,24,15,False,False,False,False,False,False,True,False,2024-04-29,2025-02-03,False,True
15,The latest news for you,https://myemail.constantcontact.com/The-latest-news-for-you.html?aid=pgEwfzyQpyI&soid=1133191321179,http://www.thegsmission.org/,Good Shepherd Mission,41,6,False,False,False,True,False,False,False,False,2024-10-19,2025-04-21,False,False
11,"Community Resources / Walker County, TX",https://www.co.walker.tx.us/department/division.php?structureid=77,https://thegsmission.org/wp/,Good Shepherd Mission,49,41,False,False,False,True,False,False,False,False,2024-12-04,2025-04-28,False,False
