Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,,https://thedonationblog.wordpress.com/2013/03/21/interview-with-a-doer-shem/,https://wearedonation.com/2013/03/21/interview-with-a-doer-shem/,,0,0,False,False,False,True,False,False,False,False,2025-03-04,2025-03-04,False,False
10,,https://u7061146.ct.sendgrid.net/ls/click?upn=4tNED-2FM8iDZJQyQ53jATUe3D96RynQQhAls1bCvyRQg0pxVXGw6XyD7IhvQaCnLNDOAtzvuGSoNVNDZCBxspIkTXH-2B8Iu3YXyafwF0z4DNU-3DPxEG_VQ7ydX8K3a3Xur4PAo9RtZhQ8NWcAw9BylROFlHURjKFY797WbMyGUJx9U0ynDlWxahYd3T1QWTatSevnRFwqiIXcc449eGbfemMQLrOSHmxNjZktRHqQPzZ5U-2FtegCHklnz4sFl21ARfot8vyEVWE3vaG7AGRj-2BMYregIbzNI4u-2FEy53jgteCtu-2Bjcv83A1YpHFOKZfbi2lprTHUN056ugzYPbzN7jpoEYbfaqLtVmGB302jhjpPFxXq554HS7XOigXxnSQviPd-2FHM592mgYv3-2FZUHmFFH-2F7bYAH-2B5el7VsKZlZoLyPaheaaRCA2UXDz4WEXPVU-2FBn1bQGUIQxBmSFSD42VoO-2BA6dDjqq-2Ftle8-3D,https://wearedonation.com/en-gb/do-actions/shower-power/,,0,0,False,False,False,True,False,False,False,False,2024-06-19,2025-05-01,False,True
8,Do Nation | Climatebase,https://climatebase.org/company/23987/do-nation,https://www.wearedonation.com/,https://www.wearedonation.com/,1,1,False,False,False,True,False,False,False,False,2023-09-02,2025-05-16,False,False
11,Cycling for climate action with Ride the Change,https://www.abelandcole.co.uk/Blog/post/ride-the-change,https://www.wearedonation.com/en-gb/businesses/ride-the-change-to-cop26/leaderboards/ride-the-change-to-cop26/,here,1,20,False,False,False,True,False,False,False,False,2024-11-10,2025-05-20,False,False
5,We take Climate Action,https://wtca.lfca.earth/e/do-nation,https://www.wearedonation.com/,Website,1,2,False,False,False,True,False,False,False,False,2023-11-13,2025-05-10,False,False
6,Salvando o planeta em duas rodas! - Agência Jovem de Notícias,https://agenciajovem.org/salvando-o-planeta-em-duas-rodas/,https://www.wearedonation.com/en-gb/individuals/cycle-cop26/,Ride the Change,1,30,False,False,False,True,False,False,False,False,2024-02-06,2025-01-13,False,True
14,donation-pledge - University of Birmingham,https://www.birmingham.ac.uk/community/donation-pledge,https://www.wearedonation.com/businesses/university-of-birmingham/,WeAreDoNation.com/UniversityOfBirmingham,2,15,False,False,False,True,False,False,False,False,2024-10-30,2025-05-28,False,False
14,,https://www.uhs.nhs.uk/about-the-trust/about-uhs/sustainable-uhs,https://www.wearedonation.com/,visit the Do Nation website by clicking this link,2,7,False,False,False,True,False,False,False,False,2024-03-22,2025-05-26,False,False
14,wearedonation.com/en-gb - Website Carbon Calculator,https://www.websitecarbon.com/website/wearedonation-com-en-gb/,https://www.wearedonation.com/en-gb/,wearedonation.com/en-gb,2,9,False,False,False,True,False,False,False,False,2023-11-29,2025-05-19,False,False
8,Callum's Marathon | Localgiving,https://localgiving.org/fundraising/dosomethinggood?locale=cy,https://www.wearedonation.com/en-gb/do-actions/,this webpage,3,18,False,False,False,True,False,False,False,False,2024-06-23,2025-05-26,False,False
