Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
47,RedFab,https://redfabc.blogspot.com/,https://kidpoweryoga.com/,kidpoweryoga,50172,3,True,False,False,True,False,False,False,False,2024-07-17,2025-05-25,False,False
37,Mariam Gates (Author of Good Night Yoga),https://www.goodreads.com/author/show/8351296.Mariam_Gates,https://kidpoweryoga.com/,https://kidpoweryoga.com/,8,116,False,False,False,True,False,False,False,False,2025-03-15,2025-03-15,False,False
33,RedFab,https://redfabc.blogspot.com/files/textes/droits_usage.html,https://kidpoweryoga.com/,kidpoweryoga,50172,4,True,False,False,True,False,False,False,False,2023-11-18,2025-04-09,False,False
31,RedFab,https://redfabc.blogspot.com/%C2%A0,https://kidpoweryoga.com/,kidpoweryoga,50172,4,True,False,False,True,False,False,False,False,2024-09-08,2025-05-06,False,False
23,RedFab,https://redfabc.blogspot.com/hot/,https://kidpoweryoga.com/,kidpoweryoga,50172,4,True,False,False,True,False,False,False,False,2025-01-22,2025-01-22,False,False
20,Sisterhood of the Traveling Van - by Sarah Wheeler,https://momspreading.substack.com/p/sisterhood-of-the-traveling-van,https://kidpoweryoga.com/,best-selling children’s books and teacher-training,13,12,False,False,False,True,False,False,False,False,2024-09-18,2025-05-14,False,False
20,interview with Sarah Wheeler about writing through rejection and ADHD,https://nancyreddy.substack.com/p/understand-that-there-will-be-setbacks,https://kidpoweryoga.com/,Mariam Gates,21,28,False,False,False,True,False,False,False,False,2024-06-25,2025-05-10,False,False
17,RedFab,https://redfabc.blogspot.com/lostpassword.seam,https://kidpoweryoga.com/,kidpoweryoga,50172,4,True,False,False,True,False,False,False,False,2025-03-07,2025-03-07,False,False
17,Tips and books to get kids reading this summer | KSL.com,https://www.ksl.com/article/39620016/tips-and-books-to-get-kids-reading-this-summer,http://www.kidpoweryoga.com/pages/GNY-book/index.html,This adorable book,32,127,True,False,False,True,False,False,False,False,2024-10-25,2025-04-04,False,False
16,The Genius Morning Rituals of a Yoga Power Couple,https://www.wellandgood.com/fitness/mariam-rolf-gates-morning-routine,http://kidpoweryoga.com/pages/home.html,Yoga teacher,23,29,True,False,False,True,False,False,False,False,2025-02-06,2025-05-07,False,False
16,Mariam and Rolf Gates' Morning Routine | Well+Good,https://www.wellandgood.com/mariam-rolf-gates-morning-routine/,https://kidpoweryoga.com/pages/home.html,Yoga teacher,23,67,True,False,False,True,False,False,False,False,2023-09-26,2025-01-08,False,False
15,Good Night Yoga – Boston Herald,https://www.bostonherald.com/2015/03/16/good-night-yoga/,http://kidpoweryoga.com/pages/home.html,Good Night Yoga: A Pose by Pose Bedtime Story,19,113,False,False,False,True,False,False,False,False,2024-08-10,2025-05-02,False,False
