Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
37,Mariam Gates (Author of Good Night Yoga),https://www.goodreads.com/author/show/8351296.Mariam_Gates,https://kidpoweryoga.com/,https://kidpoweryoga.com/,8,116,False,False,False,True,False,False,False,False,2025-03-15,2025-03-15,False,False
8,"Mariam Gates, Author at BEST SELF",https://bestselfmedia.com/author/mariam-gates/,http://kidpoweryoga.com/,kidpoweryoga.com,8,48,False,False,False,True,False,False,False,False,2024-09-29,2025-03-31,False,False
10,Parenting & Children Archives - Page 7 of 10 - Sounds True,https://www.resources.soundstrue.com/category/parenting-and-children/page/7/,http://kidpoweryoga.com/pages/home.html,kidpoweryoga.com,10,75,False,False,False,True,False,False,False,False,2024-10-13,2024-12-09,False,False
13,Mariam Gates,https://kripalu.org/presenters-programs/presenters/mariam-gates,http://www.kidpoweryoga.com/pages/home.html,Kid Power Yoga,11,114,False,False,False,True,False,False,False,False,2024-09-03,2025-04-27,False,False
13,ベストセラー作家が提案！子供も親も感情に上手く対処できるようになる「4つの呼吸法」 | ヨガジャーナルオンライン,https://yogajournal.jp/3118,http://kidpoweryoga.com/,kidpoweryogaのサイト,12,64,False,False,False,True,False,False,False,False,2024-07-20,2025-05-17,False,False
20,Sisterhood of the Traveling Van - by Sarah Wheeler,https://momspreading.substack.com/p/sisterhood-of-the-traveling-van,https://kidpoweryoga.com/,best-selling children’s books and teacher-training,13,12,False,False,False,True,False,False,False,False,2024-09-18,2025-05-14,False,False
8,Bedtime Yoga For Kids — Inner Bliss Yoga Studio,https://www.innerblissyogastudio.com/iby-chatter/2015/4/1/bedtime-yoga-for-kids,http://kidpoweryoga.com/pages/home.html,Kid Power Yoga Program,15,43,False,False,False,True,False,False,False,False,2024-08-20,2025-04-16,False,False
14,How Kids' Yoga Can De-Stress Your Crazy Mornings (Seriously): 10 Easy Poses to Try,https://cafemom.com/parenting/197361-how_kids_yoga_can_destress,http://www.kidpoweryoga.com/,Kid Power Yoga,17,69,False,False,False,True,False,False,False,False,2024-09-19,2025-05-13,False,True
8,Indoor Energy Busters for Hot Summer Days,https://scottsdale.momcollective.com/general/indoor-energy-busters-for-hot-summer-days/,https://www.kidpoweryoga.com/pages/home.html,Kid Power Yoga,18,133,False,False,False,True,False,False,False,False,2024-03-19,2025-05-24,False,False
15,Good Night Yoga – Boston Herald,https://www.bostonherald.com/2015/03/16/good-night-yoga/,http://kidpoweryoga.com/pages/home.html,Good Night Yoga: A Pose by Pose Bedtime Story,19,113,False,False,False,True,False,False,False,False,2024-08-10,2025-05-02,False,False
10,How To Set Your Students Up for Success With Morning Meetings,https://blog.planbook.com/morning-meetings/,http://kidpoweryoga.com/pages/GNY-book/index.html,Miriam Gates,20,18,False,False,False,True,False,False,False,False,2024-10-06,2025-05-12,False,False
8,The best bedtime books for adults and children | Bed Guru,https://www.bedguru.co.uk/the-best-bedtime-books-for-adults-and-children,http://kidpoweryoga.com/,Mariam Gates,23,139,False,False,False,True,False,False,False,False,2024-11-02,2025-05-18,False,False
8,How Yoga Can Help Families Bond :: YummyMummyClub.ca,https://www.yummymummyclub.ca/family/kids/20181011/how-yoga-can-help-families-bond,http://kidpoweryoga.com/pages/GNY-book/index.html,Good Morning/ Goodnight Yoga,36,130,False,False,False,True,False,False,False,False,2024-06-21,2025-04-27,False,True
9,"Yoga for Kids: Books, Videos, Games",https://imaginationsoup.net/yoga-kids-practice-books-videos-games/,http://kidpoweryoga.com/pages/GNY-book/index.html,Kid Power Yoga,42,104,False,False,False,True,False,False,False,False,2024-01-01,2025-05-12,False,False
5,"OMazing Kids AAC Consulting | Angela Moorad, MS, CCC-SLP. 35 years experience in AAC. OMazing Kids AAC and app consulting. Creator of several AAC Feature Matching resources (https://omazingkidsllc.com/omazing-kids-aac-resource-links/). Includes info about unique features to support Gestalt Language Processors | Page 47",https://omazingkidsllc.com/page/47/,http://kidpoweryoga.com/pages/GNY-book/index.html,http://kidpoweryoga.com/pages/GNY-book/index.html,77,344,False,False,False,True,False,False,False,False,2024-11-01,2025-05-06,False,True
12,Mindfulness social emotional programs for schools | Wuf Shanti,https://wufshanti.com/resources/mindful-kids-peace-summit/,https://kidpoweryoga.com/about/,Mariam Gates,111,50,False,False,False,True,False,False,False,False,2023-06-19,2025-05-19,False,False
