Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
65,,http://groomandstyle.com/air-purifying-plants/,https://yourhousegarden.com/air-purifying-plants/,,0,0,False,False,False,True,False,False,False,False,2024-12-04,2024-12-04,False,False
49,,https://groomandstyle.com/best-pasta-maker-review-top-5-list/,https://yourhousegarden.com/best-pasta-maker-review-top-5-list/,,0,0,False,False,False,True,False,False,False,False,2024-07-28,2025-05-22,False,False
48,Best Pasta Maker Review - Top 5 Freshest List for,https://yourhousegarden.com/best-pasta-maker-review-top-5-list/,https://yourhousegarden.com/top-5-best-vacuum-sealers-for-home-use/,,38,48,False,False,False,True,False,False,False,False,2024-10-11,2025-04-14,False,False
29,36 Freakishly Effective Ways To Motivate Employees In 2025,https://snacknation.com/blog/how-to-motivate-employees/,https://yourhousegarden.com/air-purifying-plants/,work environment,129,396,False,False,False,True,False,False,False,False,2023-09-14,2025-03-27,False,True
25,SOLVED: Kettle doesn't turn off - Fixya,https://www.fixya.com/support/t2516612-kettle_doesnt_turn_off,https://yourhousegarden.com/top-5-best-electric-kettle-reviews/,electric kettle,6,152,True,False,False,True,False,False,False,False,2023-11-04,2024-12-04,False,True
23,Homemade+Pasta+Maker - Search Images,https://4.bing.com/images/search?FORM=IRFLTR&q=Homemade%2BPasta%2BMaker&qft,https://yourhousegarden.com/best-pasta-maker-review-top-5-list/,groomandstyle.com,40,384,False,False,False,True,False,False,False,False,2024-11-23,2024-11-23,False,False
23,Hamilton+Beach+Electric+Tea+Kettle - Search Images,https://4.bing.com/images/search?FORM=IRMHRS&q=Hamilton%2BBeach%2BElectric%2BTea%2BKettle,https://yourhousegarden.com/best-electric-kettle-review/,yourhousegarden.com,40,371,False,False,False,True,False,False,False,False,2024-12-16,2024-12-16,False,False
23,Travel+Umbrella - Search Images,https://4.bing.com/images/search?FORM=IRMHRS&q=Travel%2BUmbrella,https://yourhousegarden.com/best-travel-umbrellas-review/,yourhousegarden.com,37,398,False,False,False,True,False,False,False,False,2024-08-06,2025-02-20,False,True
23,Pasta+Maker - Search Images,https://akam.bing.com/images/search?FORM=IRMHEP&q=Pasta%2BMaker,https://yourhousegarden.com/best-pasta-maker-review-top-5-list/,groomandstyle.com,41,416,False,False,False,True,False,False,False,False,2024-05-23,2025-02-19,False,True
22,,http://groomandstyle.com/top-5-best-space-heater-reviews/,https://yourhousegarden.com/top-5-best-space-heater-reviews/,,0,0,False,False,False,True,False,False,False,False,2024-06-19,2025-04-30,False,False
21,Pain Caused By a High Filling – Why It Happens and How to Fix It | Oral Answers,https://www.oralanswers.com/pain-caused-by-a-high-filling-why-it-happens-and-how-to-fix-it/,https://yourhousegarden.com/top-5-best-electric-toothbrush-reviews/,Lisa,973,12699,False,False,False,True,False,False,False,True,2024-08-28,2025-05-22,False,False
19,Rejuvenating a Boiler Into Air Purifier ! : 5 Steps - Instructables,https://www.instructables.com/Rejuvenating-a-Boiler-Into-Air-Purifier-/,https://yourhousegarden.com/air-purifying-plants/,https://groomandstyle.com/air-purifying-plants/,16,25,True,False,False,True,False,False,False,False,2024-08-11,2025-05-01,False,False
19,What Can You Cook in a Pizza Oven Besides Pizza? - Patio & Pizza Outdoor Furnishings,https://www.patioandpizza.com/blogs/resources/what-can-you-cook-in-a-wood-fired-oven,https://yourhousegarden.com/top-5-best-stand-mixers-list/,essential equipment,12,160,False,False,False,True,False,False,False,False,2025-03-25,2025-03-25,False,False
18,,https://groomandstyle.com/top-5-best-vacuum-sealers-for-home-use/,https://yourhousegarden.com/top-5-best-vacuum-sealers-for-home-use/,,0,0,False,False,False,True,False,False,False,False,2024-10-11,2025-05-17,False,False
18,6 Tips on Achieving Maximum Productivity While Working From Home | Newsmax.com,https://www.newsmax.com/finance/richardagu/working-home-maximum-productivity/2017/12/14/id/831841/,https://yourhousegarden.com/top-5-best-air-purifiers-list/,Air purifiers,14,44,False,False,False,True,False,False,False,False,2024-08-15,2025-03-13,False,False
16,[CaynesHousewares.com] Pure Guardian ultrasonic humifier with humidistat - $100 - RedFlagDeals.com Forums,https://forums.redflagdeals.com/cayneshousewares-com-pure-guardian-ultrasonic-humifier-humidistat-100-2159328/,https://yourhousegarden.com/top-5-best-humidifier-reviews/,http://groomandstyle.com/top-5-best-humidifier-reviews/,22,244,True,False,False,True,False,False,False,False,2024-06-12,2025-02-13,False,False
16,,https://groomandstyle.com/top-5-best-water-flosser-reviews/,https://yourhousegarden.com/top-5-best-water-flosser-reviews/,,0,0,False,False,False,True,False,False,False,False,2024-07-26,2025-05-22,False,False
16,Mowers Media – Page 2,https://mowersmedia.home.blog/page/2/,https://yourhousegarden.com/top-5-best-electric-lawn-mowers-reviews/,rechargeable push mowers,31,85,False,False,False,True,False,False,False,False,2024-08-06,2025-04-20,False,False
16,Fight Decision Fatigue and be More Effective – New Dentist Blog,https://newdentistblog.ada.org/fight-decision-fatigue-and-be-more-effective/,https://yourhousegarden.com/top-5-best-electric-toothbrush-reviews/,Lisa Hayden,19,67,True,False,True,True,False,False,False,False,2023-09-15,2025-05-03,False,True
