Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,51 Social Entrepreneurs to Watch in 2021,https://ideamensch.com/social-entrepreneurs/,https://getraddle.com/,Raddle,47,61,True,False,False,True,False,False,False,False,2024-10-26,2025-05-17,False,False
21,Raddle - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/raddle,https://getraddle.com/,getraddle.com/,8,84,True,False,False,True,False,False,False,False,2024-11-10,2025-02-19,False,False
20,Harnessing the Power of Support: How Liyani Rodriguez is Changing the Game for Small Business Owners | Nasdaq,https://www.nasdaq.com/articles/harnessing-the-power-of-support:-how-liyani-rodriguez-is-changing-the-game-for-small,http://www.getraddle.com/,Raddle,14,161,False,False,False,True,False,False,False,False,2024-11-08,2025-02-20,False,False
20,Techstars Anywhere 2021: Startups Built for a Remote-First World,https://www.techstars.com/newsroom/techstars-anywhere-class-of-2021-startups-built-for-a-remote-first-world,https://getraddle.com/,www.getraddle.com,20,42,False,False,False,True,False,False,False,False,2024-10-08,2025-05-20,False,False
19,Inside a Techstars Accelerator - Apr 28 | RingCentral Events,https://events.ringcentral.com/events/jpmc-inside-a-techstars-accelerator,http://getraddle.com/,,35,15,False,False,False,False,False,False,True,False,2025-04-20,2025-05-19,False,False
19,Liyani Rodriguez - Co-Founder & CEO @ Raddle - Crunchbase Person Profile,https://www.crunchbase.com/person/liyani-rodriguez,https://getraddle.com/,getraddle.com/,7,61,True,False,False,True,False,False,False,False,2025-01-14,2025-01-14,False,False
17,AI Meeting Facilitator by Raddle | Webex App Hub,https://apphub.webex.com/applications/ai-meeting-facilitator-by-raddle-raddle-19041,https://getraddle.com/,Raddle,9,59,False,False,False,True,False,False,False,False,2024-12-06,2025-05-24,False,False
16,"Raddle - Products, Competitors, Financials, Employees, Headquarters Locations",https://www.cbinsights.com/company/brainstorm-quicky,https://getraddle.com/,getraddle.com,3,79,False,False,False,True,False,False,False,False,2024-02-12,2025-01-02,False,True
14,Started ResearchInno - Companies,https://started.inf.uniroma3.it/dashboard/companies/?page=7706,https://getraddle.com/,https://getraddle.com/,39,7,False,False,False,True,False,False,False,False,2024-09-05,2025-05-20,False,False
12,Raddle | The Org,https://theorg.com/org/raddle,http://getraddle.com/,,8,39,False,False,False,True,False,False,False,False,2024-12-11,2025-03-26,False,False
