Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
7,RADDLE - people working at Raddle,https://b2b.getemail.io/raddle-company-21092098.html,http://www.getraddle.com/,getraddle.com,1,17,False,False,False,True,False,False,False,False,2024-12-18,2025-05-24,False,False
11,Raddle Privacy Policy | Notion,https://getraddle.notion.site/Raddle-Privacy-Policy-976e926e77ee4ba78d1a1ca54f2c9306,http://getraddle.com/,,2,1,False,False,False,True,False,False,False,False,2024-10-04,2025-05-24,False,False
16,"Raddle - Products, Competitors, Financials, Employees, Headquarters Locations",https://www.cbinsights.com/company/brainstorm-quicky,https://getraddle.com/,getraddle.com,3,79,False,False,False,True,False,False,False,False,2024-02-12,2025-01-02,False,True
5,Raddle photos,https://trustburn.com/photos/raddle,http://getraddle.com/,Internet getraddle.com,3,18,False,False,False,False,False,False,True,False,2024-09-02,2025-02-02,False,False
7,"Raddle - Phone, Email, Employees, CEO, VP, 2024",https://www.visualvisitor.com/companies/3939768/raddle,https://www.getraddle.com/,https://www.getraddle.com,6,84,False,False,False,True,False,False,False,False,2024-12-14,2025-03-25,False,False
12,Raddle | The Org,https://theorg.com/org/raddle,http://getraddle.com/,,8,39,False,False,False,True,False,False,False,False,2024-12-11,2025-03-26,False,False
17,AI Meeting Facilitator by Raddle | Webex App Hub,https://apphub.webex.com/applications/ai-meeting-facilitator-by-raddle-raddle-19041,https://getraddle.com/,Raddle,9,59,False,False,False,True,False,False,False,False,2024-12-06,2025-05-24,False,False
10,Meet Tex Dworkin | Raddle Co-founder & Chief Community Officer - SHOUTOUT LA,https://shoutoutla.com/meet-tex-dworkin-raddle-co-founder-chief-community-officer/,https://getraddle.com/,https://getraddle.com,9,29,False,False,False,True,False,False,False,False,2024-12-07,2025-05-18,False,False
9,Give your community members something TO DO together,https://blog.mixily.com/blog/community-members-something-to-do-together,https://getraddle.com/,Raddle,9,17,False,False,False,True,False,False,False,False,2024-11-19,2025-04-28,False,False
11,Meet Tex Dworkin – CanvasRebel Magazine,https://canvasrebel.com/meet-tex-dworkin/,https://getraddle.com/,https://getraddle.com,9,27,False,False,False,True,False,False,False,False,2024-11-27,2025-05-03,False,False
20,Harnessing the Power of Support: How Liyani Rodriguez is Changing the Game for Small Business Owners | Nasdaq,https://www.nasdaq.com/articles/harnessing-the-power-of-support:-how-liyani-rodriguez-is-changing-the-game-for-small,http://www.getraddle.com/,Raddle,14,161,False,False,False,True,False,False,False,False,2024-11-08,2025-02-20,False,False
11,Do Introverts Love Quarantine? (Part 1) - Thrive Global,https://community.thriveglobal.com/do-introverts-love-quarantine-part-1/,http://www.getraddle.com/,Raddle,18,53,False,False,False,True,False,False,False,False,2024-11-09,2025-05-27,False,False
20,Techstars Anywhere 2021: Startups Built for a Remote-First World,https://www.techstars.com/newsroom/techstars-anywhere-class-of-2021-startups-built-for-a-remote-first-world,https://getraddle.com/,www.getraddle.com,20,42,False,False,False,True,False,False,False,False,2024-10-08,2025-05-20,False,False
5,citybuzz,https://newyork.citybuzz.co/article/648332/techstars-anywhere-class-of-2021-startups-built-for-a-remote-first-world,https://getraddle.com/,www.getraddle.com,21,13,False,False,False,True,False,False,False,False,2024-11-17,2025-05-22,False,False
7,Startups Led By Hispanic Women Are Innovating And Thriving,https://heragenda.com/p/5-hispanic-women-led-startups-to-watch-into-2025/,https://getraddle.com/,Raddle,29,46,False,False,False,True,False,False,False,False,2024-10-10,2025-05-25,False,False
19,Inside a Techstars Accelerator - Apr 28 | RingCentral Events,https://events.ringcentral.com/events/jpmc-inside-a-techstars-accelerator,http://getraddle.com/,,35,15,False,False,False,False,False,False,True,False,2025-04-20,2025-05-19,False,False
7,Pitch Events - Women In Voice,https://womeninvoice.org/pitch-events/,https://getraddle.com/,Raddle,35,50,False,False,False,True,False,False,False,False,2024-11-24,2025-05-29,False,False
14,Started ResearchInno - Companies,https://started.inf.uniroma3.it/dashboard/companies/?page=7706,https://getraddle.com/,https://getraddle.com/,39,7,False,False,False,True,False,False,False,False,2024-09-05,2025-05-20,False,False
