Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,The Veg Hub - ByBlack,https://byblack.us/business/the-veg-hub,https://www.theveghub.com/our-story-2/,Visit website,7,24,False,False,False,True,False,False,False,False,2024-11-09,2025-04-27,False,False
20,Episode 8: Iris - Bar Dive | iHeart,https://www.iheart.com/podcast/269-bar-dive-63431648/episode/episode-8-iris-72862492/,http://www.theveghub.com/,The Veg Hub,8,12,False,False,False,True,False,False,False,False,2024-08-07,2025-04-22,False,False
10,Berkeley to Host Vegan Sustainability Festival for Earth Day,https://www.livekindly.com/berkeley-to-hold-the-west-coasts-first-vegan-earth-day/,http://www.theveghub.com/,The Veg Hub,9,17,False,False,False,True,False,False,False,False,2024-06-19,2025-05-06,False,False
6,Growing your Bay Area/Oakland Tech Company with an SBA Loan,https://www.tmcfinancing.com/es/growing-your-bay-area-tech-company/,http://www.theveghub.com/,Veg Hub,9,110,False,False,False,True,False,False,False,False,2024-07-17,2025-04-23,False,False
18,"The Veg Hub, Oakland, CA - Reviews, Ratings, Tips and Why You Should Go – Wanderlog",https://extensionembed.wanderlog.com/place/details/445106/the-veg-hub,http://www.theveghub.com/,http://www.theveghub.com/,10,256,False,False,False,True,False,False,False,False,2025-01-05,2025-04-08,False,False
15,"Check, Please! Bay Area Kids review: Antipastos, The Veg Hub, Coco's Ramen | KQED",https://www.kqed.org/checkplease/19999/check-please-bay-area-kids-review-antipastos-the-veg-hub-cocos-ramen,http://www.theveghub.com/,The Veg Hub,10,76,False,False,False,True,False,False,False,False,2024-06-30,2025-05-07,False,False
10,Vegan Entrepreneur Brings Healthy Food Choices to Northern California with CDFI Support - OFN,https://www.ofn.org/impact-stories/vegan-entrepreneur-brings-healthy-food-choices-to-northern-california-with-cdfi-support/,http://www.theveghub.com/,The Veg Hub,10,58,False,False,False,True,False,False,False,False,2024-06-23,2025-05-08,False,False
20,Leona Canyon - Recreation & Wellbeing,https://dev-wp-sa-recsports-1.pantheon.berkeley.edu/self-guided-adventures-leona-canyon/,http://www.theveghub.com/,The Veg Hub,11,219,False,False,False,True,False,False,False,False,2024-10-12,2025-05-03,False,False
9,"The Veg Hub - 2 Restaurant Reviews - 2214 MacArthur Blvd, Oakland, CA 94602 - EatOkra - Black-owned Business",https://www.eatokra.com/businesses/the-veg-hub,https://theveghub.com/,theveghub.com,12,34,False,False,False,True,False,False,False,False,2024-05-26,2025-05-10,False,False
5,COMPANY INFO – Better Chew – Plant-Based Comfort Food,https://eatbetterchew.com/company-info/,http://www.theveghub.com/,,13,16,False,False,False,True,False,False,False,False,2024-09-20,2025-05-06,False,False
15,Episode 8: Iris,https://bardive.buzzsprout.com/1092734/episodes/5963491-episode-8-iris,http://www.theveghub.com/,The Veg Hub,14,11,False,False,False,True,False,False,False,False,2024-09-17,2025-04-23,False,False
9,Vegan “Chef Chew” On Healthy Food Mission - Black Star News,https://blackstarnews.com/vegan-chef-chew-on-healthy-food-mission-html/,http://www.theveghub.com/our-story-2/,The Veg Hub,14,61,False,False,False,True,False,False,False,False,2024-10-12,2025-01-30,False,False
9,San Francisco Archives - Page 8 of 18 - BitterSweet,https://bittersweetblog.com/tag/san-francisco/page/8/,http://www.theveghub.com/,The VegHub,15,37,False,False,False,True,False,False,False,False,2024-02-22,2025-04-01,False,True
12,"These guests on 'Check, Please! Bay Area' are opinionated, discerning and under 13",https://www.berkeleyside.org/2018/11/28/check-please-bay-area-kids,http://www.theveghub.com/,The Veg Hub,15,54,False,False,False,True,False,False,False,False,2024-11-01,2025-05-04,False,False
8,List of Vegan companies in World Wide,https://www.fastbase.com/dataset/yelp/World-Wide/V/Vegan,http://www.theveghub.com/,theveghub.com,20,35,False,False,False,True,False,False,False,False,2024-11-15,2024-11-15,False,False
10,Something Better Foods — Working Solutions CDFI,https://www.workingsolutions.org/client-success-stories/2019/7/15/gw-chew-something-better-foods,http://www.theveghub.com/,www.theveghub.com,23,33,False,False,False,True,False,False,False,False,2024-10-18,2025-05-05,False,False
8,7 Black-Owned Vegan Businesses You Can Support Right Now,https://chooseveg.com/blog/black-owned-vegan-businesses/,https://www.theveghub.com/,The Veg Hub,24,18,False,False,False,True,False,False,False,False,2024-07-28,2025-05-05,False,False
5,Greer's OC | Alicia Pet Care Center’s 10th Annual Free Spay & Neuter Day,https://greersoc.com/index.php/blogs/misc/www.performancebike.com/P1034,http://www.theveghub.com/our-story-2/,The Veg Hub,24,62,False,False,False,True,False,False,False,False,2025-02-14,2025-02-14,False,False
14,Opinion: Vegan activist finds surprise McDonald's replacement,https://www.eastbaytimes.com/2017/10/18/opinion-vegan-activist-finds-surprise-mcdonalds-replacement/,http://www.theveghub.com/,The Veg Hub,29,148,False,False,False,True,False,False,False,False,2024-11-17,2025-04-26,False,False
5,"2413 Potomac Street, Oakland, CA 94602 - Abio Properties",https://abioproperties.com/listings/2413-potomac-street-oakland-ca-94602-abio-properties/,http://www.theveghub.com/,Veg Hub,32,50,False,False,False,True,False,False,False,False,2024-06-03,2024-11-14,False,False
8,Directory | Drupal,https://www.nadadventist.org/es/nad-org-directory?field_nad_org_class_value=All&field_name_value&page=809,http://www.theveghub.com/,The Veg Hub,34,32,False,False,False,True,False,False,False,False,2024-10-05,2025-04-22,False,False
7,15 Bay Area Vegan Spots You Have to Try - VegansBaby,https://vegansbaby.com/vegan_dining_bay_area/,http://www.theveghub.com/,The Veg Hub,34,75,False,False,False,True,False,False,False,False,2024-10-10,2025-04-11,False,False
7,Hidden Treasures of Dimond & Laurel |,https://www.redoakrealty.com/posts/hidden-treasures-of-dimond-laurel,http://www.theveghub.com/,The Veg Hub,34,30,False,False,False,True,False,False,False,False,2025-01-01,2025-03-22,False,False
13,Vegan Fried Chicken and Steak Launch at Whole Foods in Northern California | VegNews,https://vegnews.com/vegan-fried-chicken-and-steak-launch-at-whole-foods-in-northern-california,http://www.theveghub.com/,The Veg Hub,37,97,False,False,False,True,False,False,False,False,2024-06-20,2025-05-07,False,False
9,Black Owned Businesses in California - SHOPPE BLACK,https://shoppeblack.us/black-owned-businesses-california/,http://www.theveghub.com/,The Veg Hub,37,45,False,False,False,True,False,False,False,False,2022-07-29,2025-05-08,False,False
5,Food for the People: Swift & Creative Responses Amidst COVID-19 - Community Vision,https://communityvisionca.org/swiftcreativeresponsesamid_covid19/,http://www.theveghub.com/,The Veg Hub,59,91,False,False,False,True,False,False,False,False,2024-06-24,2025-03-27,False,False
10,Black-Owned Vegan Businesses You Can Support | New Roots Institute,https://www.newrootsinstitute.org/articles/black-owned-vegan-business-support,http://www.theveghub.com/,The Veg Hub,85,24,False,False,False,True,False,False,False,False,2024-06-08,2025-05-11,False,False
10,Protecting Animals Through Education: Animal Equality Blog,https://animalequality.org/blog/black-owned-vegan-restaurants/,http://www.theveghub.com/,"THE VEG HUB – OAKLAND, CA",157,51,False,False,False,True,False,False,False,False,2025-03-01,2025-05-06,False,False
6,Our Companies,https://www.ica.fund/our-companies?programs=Seed%2BFund,http://www.theveghub.com/,The Veg Hub,189,37,False,False,False,True,False,False,False,False,2024-09-24,2025-05-04,False,False
