Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
49,2011 in hip hop music - Wikipedia,https://en.wikipedia.org/wiki/2011_in_hip_hop_music,http://vibedeck.com/brotherj-thebestofxclan,the original,124,1007,True,False,False,True,False,False,False,False,2024-04-03,2024-12-04,False,False
48,vczone,https://vczone.blogspot.com/,https://vibedeck.com/,vibedeck,50174,7,True,False,False,True,False,False,False,False,2024-09-09,2025-05-11,False,False
42,vczone,https://vczone.blogspot.com/%C2%A0,https://vibedeck.com/,vibedeck,50174,5,True,False,False,True,False,False,False,False,2024-04-28,2025-05-04,False,False
37,"Ghetto Funk – Bass-Heavy Funk Music, Label & Events from the UK​",https://ghettofunk.co.uk/,http://vibedeck.com/ghettofunk,,10,25,False,False,False,True,False,False,False,False,2025-04-20,2025-05-08,True,False
37,"Ghetto Funk – Bass-Heavy Funk Music, Label & Events from the UK​",https://ghettofunk.co.uk/,http://vibedeck.com/ghettofunk,HERE,10,25,False,False,False,True,False,False,False,False,2025-04-20,2025-05-08,True,False
37,"Ghetto Funk – Bass-Heavy Funk Music, Label & Events from the UK​",https://ghettofunk.co.uk/,http://vibedeck.com/ghettofunk,‘Grey & Red’ Tee,10,25,False,False,False,True,False,False,False,False,2025-04-20,2025-05-08,True,False
37,"Ghetto Funk – Bass-Heavy Funk Music, Label & Events from the UK​",https://ghettofunk.co.uk/,http://vibedeck.com/ghettofunk,Shop,10,25,False,False,False,True,False,False,False,False,2025-04-20,2025-05-08,True,False
37,The Dub Step Zone (DSZ) | Pete Cogle's Podcast Factory,https://petecogle.co.uk/category/the-dub-step-zone/,https://vibedeck.com/ephedrinanetlabel/koona-underwaterstarkey-7inch,"Underwater, by Koona",597,94,False,False,False,True,False,False,False,False,2025-01-11,2025-02-21,False,False
34,vczone,https://vczone.blogspot.com/files/textes/droits_usage.html,https://vibedeck.com/,vibedeck,50174,5,True,False,False,True,False,False,False,False,2024-06-07,2025-02-07,False,False
31,Friday Music Reviews,http://fridayreviews.blogspot.com/,http://vibedeck.com/paintoverpictures/like-hell,FOR FUCKING FREE HERE!!!,52,198,False,False,False,True,False,False,False,False,2025-01-09,2025-01-09,False,False
31,بیتنی جوی لنز - ویکی‌پدیا,https://azb.wikipedia.org/wiki/%D8%A8%DB%8C%D8%AA%D9%86%DB%8C_%D8%AC%D9%88%DB%8C_%D9%84%D9%86%D8%B2,http://vibedeck.com/bette,"""Please""",28,164,True,False,False,True,False,False,False,False,2023-11-20,2025-04-18,False,False
31,Stream BigFidget - Chasing Sun by BigFidget | Listen online for free on SoundCloud,https://soundcloud.com/bigfidget/bigfidget-chasing-sun,http://vibedeck.com/bigfidget,Buy BigFidget - Chasing Sun,6,13,False,False,False,True,False,False,False,False,2024-01-18,2025-04-09,False,False
28,Making the strange things happen,http://sparkyandtherandomband.blogspot.com/,http://vibedeck.com/sparkyandtherandomband,http://vibedeck.com/sparkyandtherandomband,26,57,False,False,False,True,False,False,False,False,2025-01-12,2025-01-12,False,False
28,Ra (band) - Wikipedia,https://en.wikipedia.org/wiki/Ra_(band),http://vibedeck.com/ra--2/supermegadubstep,the original,61,257,True,False,False,True,False,False,False,False,2024-09-20,2025-01-05,False,False
