Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
30,Top 69 Similar Sites Like ariane.com | Best ariane Alternatives & Reviews,https://www.sitelike.org/similar/ariane.com/,https://www.asyoustay.com/,asyoustay.com,34,265,True,False,False,False,False,False,True,False,2025-03-22,2025-03-22,False,False
26,LeonidIvanov (Leonid Ivanov) · GitHub,https://github.com/LeonidIvanov,https://asyoustay.com/,https://asyoustay.com/,5,77,True,False,False,True,False,False,False,False,2024-04-07,2025-01-21,False,True
21,How to Find the Best Hotels for Microstays,https://www.makeuseof.com/find-best-hotels-microstays/,https://asyoustay.com/,AsYouStay,29,78,False,False,False,True,False,False,False,False,2024-09-04,2025-04-26,False,False
21,"Your Stay, 123 W 44th St, New York, NY 10036, US - MapQuest",https://www.mapquest.com/us/new-york/your-stay-433459868,https://asyoustay.com/,https://asyoustay.com,7,35,False,False,False,True,False,False,False,False,2024-10-21,2025-05-12,False,False
21,"Your Stay, 123 W 44th St, New York, NY 10036, US - MapQuest",https://www.mapquest.com/us/new-york/your-stay-433459868,https://asyoustay.com/,Website,7,35,False,False,False,True,False,False,False,False,2024-10-21,2025-05-12,False,False
19,As You Stay - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/pay-as-you-stay,https://asyoustay.com/,asyoustay.com,11,72,True,False,False,True,False,False,False,False,2024-10-09,2025-03-08,False,False
19,"רוצים חופשה בחו""ל במחיר שפוי? מצאנו את האתרים שיחסכו לכם כסף | מעריב",https://www.maariv.co.il/lifestyle/travel/article-1088201,https://asyoustay.com/he,https://asyoustay.com/he,19,125,False,False,False,True,False,False,False,False,2024-10-14,2025-03-23,False,False
19,הסטארטאפ הישראלי שמאפשר לקבוע את שעות הצ'ק אין וצ'ק אאוט במלון,https://www.mako.co.il/nexter-news/Article-854e35aaf265381026.htm,https://asyoustay.com/,""" As You Stay "",",27,141,False,False,False,True,False,False,False,False,2024-08-24,2025-04-19,False,False
18,News: What to Do When You Arrive Too Early to Check Into Your Hotel,https://au.lifehacker.com/news/97957/what-to-do-when-you-arrive-too-early-to-check-into-your-hotel,https://asyoustay.com/,As You Stay,31,30,False,False,False,True,False,False,False,False,2024-11-01,2025-05-08,False,False
18,News: As You Stay Lets You Book Hotels by the Hour So You Can Check In Anytime,https://au.lifehacker.com/news/98122/as-you-stay-lets-you-book-hotels-by-the-hour-so-you-can-check-in-anytime,https://asyoustay.com/,As You Stay,17,24,False,False,False,True,False,False,False,False,2024-10-22,2025-05-04,False,False
18,As You Stay Lets You Book Hotels by the Hour So You Can Check In Anytime | Lifehacker,https://lifehacker.com/as-you-stay-lets-you-book-hotels-by-the-hour-so-you-can-1792358821,https://asyoustay.com/,As You Stay,32,47,False,False,False,True,False,False,False,False,2024-08-26,2025-05-04,False,False
18,What to Do When You Arrive Too Early to Check Into Your Hotel | Lifehacker,https://lifehacker.com/what-to-do-when-you-arrive-too-early-to-check-into-your-1792644813,https://asyoustay.com/,As You Stay,46,57,False,False,False,True,False,False,False,False,2024-08-22,2025-05-09,False,False
18,Save on hotels abroad: Israeli sites & tips for affordable vacations - The Jerusalem Post,https://www.jpost.com/brandblend/article-794897,https://asyoustay.com/he,https://asyoustay.com/he,17,80,True,False,False,True,False,False,False,False,2024-08-15,2025-04-28,False,False
18,Israeli Start-Up Revolutionizes the Global Online Booking Scene Despite P - The Jerusalem Post,https://www.jpost.com/special-content/israeli-start-up-revolutionizes-the-global-online-booking-scene-despite-pandemic-646469,https://asyoustay.com/,As You Stay,15,79,False,False,False,True,False,False,False,False,2024-08-23,2025-04-27,False,False
18,Top 77 Similar Sites Like hotelsbyday.com | Best hotelsbyday Alternatives & Reviews,https://www.sitelike.org/similar/hotelsbyday.com/,https://www.asyoustay.com/,asyoustay.com,39,292,True,False,False,False,False,False,True,False,2025-01-04,2025-05-05,False,False
18,Top 72 Similar Sites Like soroom-hotel.com | Best soroom-hotel Alternatives & Reviews,https://www.sitelike.org/similar/soroom-hotel.com/,https://www.asyoustay.com/,asyoustay.com,29,282,True,False,False,False,False,False,True,False,2025-04-11,2025-04-11,False,False
17,3 Excellent Ways to Avoid Business Travel Burnout,https://www.inc.com/damon-brown/3-excellent-ways-to-save-money-on-day-trips.html,https://asyoustay.com/,As You Stay,14,94,False,False,False,True,False,False,False,False,2024-08-14,2025-04-13,False,False
16,מקליקים וחוסכים: שלושה אתרי הזמנת מלונות שאתם חייבים להכיר | רשת 13,https://13tv.co.il/item/mood/vacation-in-israel/tourism-news/szuo9-903588135/,https://asyoustay.com/he,אתר AsYouStay,3,68,False,False,False,True,False,False,False,False,2024-08-18,2025-05-09,False,False
15,4 New Travel Startups Helping Hotels Engage With Guests,https://skift.com/2017/02/20/4-new-travel-startups-helping-hotels-engage-with-guests/,https://asyoustay.com/,As You Stay,23,58,False,False,False,True,False,False,False,False,2024-07-25,2025-04-02,False,True
15,As You Stay Culture | Comparably,https://www.comparably.com/companies/as-you-stay,https://asyoustay.com/,asyoustay.com,5,67,True,False,False,True,False,False,False,False,2024-12-02,2025-04-20,False,False
15,9 Travel Apps That Will Change The Way You Vacation,https://www.nylon.com/articles/travel-apps-the-zoe-report,https://asyoustay.com/#theapp,here,23,12,False,False,False,True,False,False,False,False,2024-08-14,2025-05-05,False,False
15,Top 33 Similar Sites Like recharge.co | Best recharge Alternatives & Reviews,https://www.sitelike.org/similar/recharge.co/,https://www.asyoustay.com/,asyoustay.com,17,139,True,False,False,False,False,False,True,False,2024-10-28,2025-02-26,False,False
14,大胆予測：将来、ホテルから消えて無くなる10のもの | TABI LABO,https://tabi-labo.com/280610/futurehoteltravel,https://asyoustay.com/,As You Stay,12,80,False,False,False,True,False,False,False,False,2024-08-05,2025-04-25,False,False
14,Last Week's Top Downloads,https://www.lifehacker.com.au/2017/02/this-weeks-top-downloads-62/,https://asyoustay.com/,As You Stay,17,61,False,False,False,True,False,False,False,False,2024-06-15,2024-11-20,False,True
14,ASYOUSTAY Reviews & Experiences,https://www.provenexpert.com/en-us/asyoustay/,https://asyoustay.com/,ASYOUSTAY,9,21,False,False,False,True,False,False,False,False,2024-10-26,2025-05-01,False,False
