Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
16,מקליקים וחוסכים: שלושה אתרי הזמנת מלונות שאתם חייבים להכיר | רשת 13,https://13tv.co.il/item/mood/vacation-in-israel/tourism-news/szuo9-903588135/,https://asyoustay.com/he,אתר AsYouStay,3,68,False,False,False,True,False,False,False,False,2024-08-18,2025-05-09,False,False
7,Pay-As-You-Go hotel rooms benefit both travellers and hoteliers - Springwise,https://springwise.com/pay-go-hotel-rooms-benefit-travellers-hoteliers/,https://asyoustay.com/,www.asyoustay.com,4,7,False,False,False,True,False,False,False,False,2024-04-11,2025-01-27,False,True
5,As You Stay: Pro-Rated Hotel Rooms for Stays Under 24 Hours - MileValue,https://milevalue.com/as-you-stay-pro-rated-hotel-rooms-for-stays-under-24-hours/,https://asyoustay.com/,As You Stay’s website,7,80,False,False,False,True,False,False,False,False,2024-07-22,2025-05-04,False,False
21,"Your Stay, 123 W 44th St, New York, NY 10036, US - MapQuest",https://www.mapquest.com/us/new-york/your-stay-433459868,https://asyoustay.com/,https://asyoustay.com,7,35,False,False,False,True,False,False,False,False,2024-10-21,2025-05-12,False,False
9,Travel Tip: New Apps & Sites that Can Help You Book a Hotel Room,https://petergreenberg.com/2017/03/23/apps-sites-book-a-hotel-room/,https://asyoustay.com/,As You Stay,8,71,False,False,False,True,False,False,False,False,2024-08-19,2025-02-26,False,False
7,Byhours: So funktioniert Hotel Microstay,https://derinternaut.ch/hotels/byhours-willkommen-im-chateau-echtzeit/,https://asyoustay.com/,AsYouStay,9,28,False,False,False,True,False,False,False,False,2024-08-07,2025-04-28,False,False
11,"Charitybuzz: Arlotta by Chris Arlotta Luxury Cashmere Package, $500 AsYouStay Voucher & More",https://www.charitybuzz.com/catalog_items/auction-arlotta-by-chris-arlotta-luxury-cashmere-2560408,https://asyoustay.com/,AsYouStay,9,42,False,False,False,True,False,False,False,False,2024-09-17,2025-05-01,False,False
14,ASYOUSTAY Reviews & Experiences,https://www.provenexpert.com/en-us/asyoustay/,https://asyoustay.com/,ASYOUSTAY,9,21,False,False,False,True,False,False,False,False,2024-10-26,2025-05-01,False,False
14,大胆予測：将来、ホテルから消えて無くなる10のもの | TABI LABO,https://tabi-labo.com/280610/futurehoteltravel,https://asyoustay.com/,As You Stay,12,80,False,False,False,True,False,False,False,False,2024-08-05,2025-04-25,False,False
11,Traveltech startup lets travellers determine check-in and check-out hours to maximise savings | Startups Magazine,https://startupsmagazine.co.uk/index.php/article-traveltech-startup-lets-travellers-determine-check-and-check-out-hours-maximise-savings,https://asyoustay.com/,https://asyoustay.com/,12,44,False,False,False,True,False,False,False,False,2024-08-21,2025-05-04,False,False
12,"Mobile app finds rooms for travellers, payable by the hour – Business Traveller",https://www.businesstraveller.com/business-travel/2017/02/21/mobile-app-finds-rooms-travellers-payable-hour/,https://asyoustay.com/,asyoustay.com,13,89,False,False,False,True,False,False,False,False,2024-08-22,2025-05-07,False,False
9,The App That Lets You Book Hotel Rooms by the Hour -,https://johnnyjet.com/app-book-hotel-rooms-by-the-hour-asyoustay/,https://asyoustay.com/#service,the bottom of this page,13,64,False,False,False,True,False,False,False,False,2024-09-07,2025-04-19,False,False
17,3 Excellent Ways to Avoid Business Travel Burnout,https://www.inc.com/damon-brown/3-excellent-ways-to-save-money-on-day-trips.html,https://asyoustay.com/,As You Stay,14,94,False,False,False,True,False,False,False,False,2024-08-14,2025-04-13,False,False
12,Hotel check-in and check-out at any time you want - ISRAEL21c,https://www.israel21c.org/hotel-check-in-and-check-out-at-any-time-you-want/,https://asyoustay.com/,here,14,50,False,False,False,True,False,False,False,False,2023-01-01,2025-02-13,False,True
18,Israeli Start-Up Revolutionizes the Global Online Booking Scene Despite P - The Jerusalem Post,https://www.jpost.com/special-content/israeli-start-up-revolutionizes-the-global-online-booking-scene-despite-pandemic-646469,https://asyoustay.com/,As You Stay,15,79,False,False,False,True,False,False,False,False,2024-08-23,2025-04-27,False,False
14,Last Week's Top Downloads,https://www.lifehacker.com.au/2017/02/this-weeks-top-downloads-62/,https://asyoustay.com/,As You Stay,17,61,False,False,False,True,False,False,False,False,2024-06-15,2024-11-20,False,True
18,News: As You Stay Lets You Book Hotels by the Hour So You Can Check In Anytime,https://au.lifehacker.com/news/98122/as-you-stay-lets-you-book-hotels-by-the-hour-so-you-can-check-in-anytime,https://asyoustay.com/,As You Stay,17,24,False,False,False,True,False,False,False,False,2024-10-22,2025-05-04,False,False
11,How to Be a Corporate Travel Planning Expert | SnackNation,https://snacknation.com/blog/corporate-travel-planning/,https://asyoustay.com/,As You Stay,21,88,False,False,False,True,False,False,False,False,2024-08-18,2025-05-10,False,False
14,9 Travel Apps That Will Change The Way You Vacation,https://www.thezoereport.com/culture/travel/best-travel-apps,https://asyoustay.com/#theapp,here,22,37,False,False,False,True,False,False,False,False,2024-08-17,2025-04-29,False,False
15,9 Travel Apps That Will Change The Way You Vacation,https://www.nylon.com/articles/travel-apps-the-zoe-report,https://asyoustay.com/#theapp,here,23,12,False,False,False,True,False,False,False,False,2024-08-14,2025-05-05,False,False
15,4 New Travel Startups Helping Hotels Engage With Guests,https://skift.com/2017/02/20/4-new-travel-startups-helping-hotels-engage-with-guests/,https://asyoustay.com/,As You Stay,23,58,False,False,False,True,False,False,False,False,2024-07-25,2025-04-02,False,True
6,"Met deze 23 websites is je vakantie goedkoop, origineel en fantastisch | Franska.nl",https://franska.nl/23-websites-is-vakantie-goedkoop-origineel-en-fantastisch/,https://asyoustay.com/,nog meer hotels.,28,40,False,False,False,True,False,False,False,False,2024-08-10,2025-05-09,False,False
21,How to Find the Best Hotels for Microstays,https://www.makeuseof.com/find-best-hotels-microstays/,https://asyoustay.com/,AsYouStay,29,78,False,False,False,True,False,False,False,False,2024-09-04,2025-04-26,False,False
7,32 Mejores Aplicaciones y Sitios Web de Viaje en 2021 - Pruvo - Ahorra Dinero Después de Reservar,https://www.pruvo.com/blog/32-mejores-aplicaciones-y-sitios-web-de-viajes/,https://asyoustay.com/,As You Stay,39,42,False,False,False,True,False,False,False,False,2024-08-31,2025-04-25,False,False
8,Alle Links aus dem aktuellen Heft zum bequemen Ansurfen - StartingUp: Das Gründermagazin,https://www.starting-up.de/linksammlung02-2017.html,http://www.asyoustay.com/,AsYouStay,64,124,False,False,False,True,False,False,False,False,2024-09-06,2025-05-01,False,False
5,What's New In The Israeli High Tech - Jewish Business News,https://jewishbusinessnews.com/2021/01/10/whats-new-in-the-israeli-high-tech/,https://asyoustay.com/,You can check-in anytime you want.,127,92,False,False,False,True,False,False,False,False,2024-08-09,2025-04-17,False,False
