Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
50,Bradley Needlepoint Company,https://bradleyneedlepoint.com/apps/store-locator,https://absolutelyneedlepoint.com/,https://absolutelyneedlepoint.com,66,222,False,False,False,True,False,False,False,False,2024-05-29,2025-02-26,False,False
22,"Strong domain metrics are within reach—here’s how, on SeoFlox.com",http://seoflox.io/o/ubytl-rank-website-on-first-page/,https://absolutelyneedlepoint.com/,Stop wasting time; see what truly moves absolutelyneedlepoint.com up on SeoFlox.com.,7000,1003,True,False,False,True,False,False,False,False,2025-01-27,2025-04-11,False,False
12,"Best 21 Needlework Materials in Coral Springs, FL | superpages.com",https://www.superpages.com/coral-springs-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,,19,94,True,False,False,True,False,False,False,False,2023-09-13,2025-01-07,False,True
12,"Best 21 Needlework Materials in Coral Springs, FL | superpages.com",https://www.superpages.com/coral-springs-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,19,91,True,False,False,True,False,False,False,False,2024-05-13,2025-01-07,False,False
12,"Best 10 Needlework Materials in Miami, FL | superpages.com",https://www.superpages.com/miami-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,,11,73,True,False,False,True,False,False,False,False,2024-08-03,2024-12-26,False,True
12,"Best 11 Needlework Materials in Miami, FL | superpages.com",https://www.superpages.com/miami-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,11,73,True,False,False,True,False,False,False,False,2024-12-26,2024-12-26,False,False
12,"Best 22 Needlework Materials in Palm Square, Delray Beach, FL | superpages.com",https://www.superpages.com/palm-square-delray-beach-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,,20,103,True,False,False,True,False,False,False,False,2024-06-26,2024-11-14,False,True
12,"Best 21 Needlework Materials in Plantation, FL | superpages.com",https://www.superpages.com/plantation-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,19,96,True,False,False,True,False,False,False,False,2024-12-10,2024-12-22,False,False
12,"Best 20 Needlework Materials in Plantation, FL | superpages.com",https://www.superpages.com/plantation-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,,19,95,True,False,False,True,False,False,False,False,2024-04-29,2024-12-22,False,True
12,"Best 22 Needlework Materials in Pompano Beach, FL | superpages.com",https://www.superpages.com/pompano-beach-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,19,95,True,False,False,True,False,False,False,False,2024-11-01,2025-04-21,False,False
12,"Best 20 Needlework Materials in Pompano Beach, FL | superpages.com",https://www.superpages.com/pompano-beach-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,,19,96,True,False,False,True,False,False,False,False,2024-02-15,2024-11-01,False,True
12,"Best 21 Needlework Materials in Yamato, FL | superpages.com",https://www.superpages.com/yamato-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,19,93,True,False,False,True,False,False,False,False,2025-04-20,2025-04-20,True,False
11,"Best 22 Needlework Materials in Delray Beach, FL | superpages.com",https://www.superpages.com/delray-beach-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,20,94,True,False,False,True,False,False,False,False,2025-04-28,2025-04-28,True,False
11,"Best 23 Needlework Materials in Delray, FL | superpages.com",https://www.superpages.com/delray-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,20,96,True,False,False,True,False,False,False,False,2024-10-30,2025-04-24,False,False
11,"Best 23 Needlework Materials in Palm Square, Delray Beach, FL | superpages.com",https://www.superpages.com/palm-square-delray-beach-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,20,100,True,False,False,True,False,False,False,False,2024-11-14,2025-05-04,False,False
11,"Best 19 Needlework Materials in Pembroke Pines, FL | superpages.com",https://www.superpages.com/pembroke-pines-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Visit Website,16,92,True,False,False,True,False,False,False,False,2024-10-19,2025-04-28,False,False
10,date Extinct receipt professional needlepoint finishing Horn inch juice,https://alkotoegyetem.metropolitan.hu/professional-needlepoint-finishing-k.html,https://absolutelyneedlepoint.com/wp-content/uploads/2020/04/new11-29-14-350x350.jpg,Finishing – Absolutely Needlepoint,29,20,False,False,False,False,False,False,True,False,2024-08-29,2025-02-25,False,True
9,"Top 10 Needlework Materials in Chokoloskee, FL | DexKnows.com",https://www.dexknows.com/chokoloskee-fl/needlework-needlework-materials,http://www.absolutelyneedlepoint.com/,Icon - external link Visit Website,13,68,True,False,False,False,False,False,True,False,2024-12-02,2024-12-02,False,False
8,Find games in Miami,https://miami.yabsta.com/businesses/search/1/games,http://www.absolutelyneedlepoint.com/,Website,34,80,False,False,False,True,False,False,False,False,2023-11-26,2024-11-06,False,True
8,Find toy shops in Miami,https://miami.yabsta.com/businesses/search/1/toy%20shops,http://www.absolutelyneedlepoint.com/,Website,34,81,False,False,False,True,False,False,False,False,2023-07-18,2024-11-01,False,True
8,Find toys in Miami,https://miami.yabsta.com/businesses/search/1/toys,http://www.absolutelyneedlepoint.com/,Website,34,81,False,False,False,True,False,False,False,False,2023-07-10,2024-11-23,False,True
8,Find stores in Miami,https://miami.yabsta.com/businesses/search/9/stores,http://www.absolutelyneedlepoint.com/,Website,34,89,False,False,False,True,False,False,False,False,2024-09-06,2024-11-22,False,True
8,Absolutely Needlepoint - Miami Businesses Directory,https://miami.yabsta.com/listing/view/122926/absolutely-needlepoint,http://www.absolutelyneedlepoint.com/,Website,26,50,False,False,False,True,False,False,False,False,2023-12-06,2024-11-03,False,True
8,Find childrens toys in Miami,https://miami.yabsta.com/search/all/1/childrens%20toys,http://www.absolutelyneedlepoint.com/,Website,33,74,False,False,False,True,False,False,False,False,2023-12-01,2024-11-06,False,True
8,Find childrens toys in Miami,https://miami.yabsta.com/search/all/1/childrens%20toys/10,http://www.absolutelyneedlepoint.com/,Website,32,74,False,False,False,True,False,False,False,False,2023-11-21,2024-11-04,False,True
8,Find games in Miami,https://miami.yabsta.com/search/all/1/games,http://www.absolutelyneedlepoint.com/,Website,34,78,False,False,False,True,False,False,False,False,2023-11-21,2024-12-22,False,True
8,Find toys in Miami,https://miami.yabsta.com/search/all/1/toys,http://www.absolutelyneedlepoint.com/,Website,34,79,False,False,False,True,False,False,False,False,2023-07-13,2024-11-05,False,True
8,Find toy stores in Miami,https://miami.yabsta.com/search/all/2/toy%20stores/10,http://www.absolutelyneedlepoint.com/,Website,33,80,False,False,False,True,False,False,False,False,2023-04-05,2024-11-03,False,True
6,Gumnut Shops -- Custom House of Needle Arts,http://www.customhouseofneedlearts.com/shops/gumshops.html,https://www.absolutelyneedlepoint.com/,www.AbsolutelyNeedlepoint.com,65,37,False,False,False,True,False,False,False,False,2024-03-21,2025-02-21,False,False
6,What’s Happening at NJNA 7/27/24 | NJNA is Blogging!,https://blog.njneedleartists.org/2024/07/27/whats-happening-at-njna-7-27-24/,https://absolutelyneedlepoint.com/,Absolutely Needlepoint – Discover a world of needlepoint and everything that comes with it.,23,88,False,False,False,True,False,False,False,False,2025-01-12,2025-01-12,False,False
6,Absolutely Needlepoint,https://whatsnearby.com/en/miami/fl/absolutely-needlepoint/272439,http://www.absolutelyneedlepoint.com/,www.absolutelyneedlepoint.com,2,4,True,False,False,True,False,False,False,False,2024-09-24,2024-11-12,False,False
4,Shops in Florida,http://www.caron-net.com/states/orflorid.html,http://www.absolutelyneedlepoint.com/,www.absolutelyneedlepoint.com,10,22,False,False,False,True,False,False,False,False,2024-06-02,2024-11-09,False,False
4,Shops in Florida,https://caron-net.com/states/orflorid.html,http://www.absolutelyneedlepoint.com/,www.absolutelyneedlepoint.com,10,22,False,False,False,True,False,False,False,False,2024-11-26,2025-05-12,False,False
4,"Strong domain metrics are within reach—here’s how, on SeoFlox.com",https://seoflox.io/o/ubytl-rank-website-on-first-page/,https://absolutelyneedlepoint.com/,Stop wasting time; see what truly moves absolutelyneedlepoint.com up on SeoFlox.com.,7000,1003,True,False,False,True,False,False,False,False,2025-03-12,2025-05-11,False,False
4,Welcome to Strictly Christmas Needlepoint Designs - Retailers,https://strictlychristmasetc.com/shops.html,http://absolutelyneedlepoint.com/,Absolutely Needlepoint,168,49,False,False,False,True,False,False,False,False,2024-05-21,2025-04-10,False,False
4,Shops in Florida,https://www.caron-net.com/states/orflorid.html,http://www.absolutelyneedlepoint.com/,www.absolutelyneedlepoint.com,10,22,False,False,False,True,False,False,False,False,2024-12-06,2025-05-09,False,False
3,:: Kathy Schenkel ::,http://kathyschenkel.com/default/retailers,http://www.absolutelyneedlepoint.com/,View,79,120,False,False,False,True,False,False,False,False,2024-05-23,2025-04-27,False,False
3,:: Kathy Schenkel ::,http://www.kathyschenkel.com/default/retailers,http://www.absolutelyneedlepoint.com/,View,79,120,False,False,False,True,False,False,False,False,2024-03-27,2025-05-10,False,False
