Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
53,Why Renewable Energy Is the New Must-Have Building Amenity – Commercial Observer,https://commercialobserver.com/2022/08/why-renewable-energy-must-have-building-amenity/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Nielsen study,22,176,False,False,False,True,False,False,False,False,2023-11-22,2025-05-08,False,False
44,"Jejak karbon - Wikipedia bahasa Indonesia, ensiklopedia bebas",https://id.wikipedia.org/wiki/Jejak_karbon,http://www.carbonandmore.com/2012/08/13/definition-carbon-footprint/,Carbon Footprint,47,500,True,False,False,True,False,False,False,False,2024-10-30,2025-04-15,False,False
28,The greenest drinks companies of the decade - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-10-30,2025-05-10,False,False
24,CarbonFootprint (Independent Publisher) - Connectors | Microsoft Learn,https://learn.microsoft.com/en-us/connectors/carbonfootprintip/,https://www.carbonandmore.com/,https://www.carbonandmore.com/,3,31,False,False,False,True,False,False,False,False,2024-11-05,2025-05-09,False,False
16,Best Environmental Software - Top System Reviews 2025 | GoodFirms,https://www.goodfirms.co/environmental-software/,https://www.carbonandmore.com/,Vendor pricing page,107,190,True,False,False,True,False,False,False,False,2025-04-20,2025-04-30,True,False
16,Best Environmental Software - Top System Reviews 2025 | GoodFirms,https://www.goodfirms.co/environmental-software/,https://www.carbonandmore.com/,Visit website,107,190,True,False,False,True,False,False,False,False,2025-04-20,2025-04-30,True,False
16,بصمة الكربون - المعرفة,https://www.marefa.org/%D8%A8%D8%B5%D9%85%D8%A9_%D8%A7%D9%84%D9%83%D8%B1%D8%A8%D9%88%D9%86,http://www.carbonandmore.com/2012/08/13/definition-carbon-footprint/,Carbon Footprint,28,445,True,False,False,True,False,False,False,False,2024-11-05,2025-04-20,False,False
14,The greenest drinks companies of the decade - Page 2 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/2/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-11-05,2025-05-06,False,False
14,The greenest drinks companies of the decade - Page 3 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/3/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-10-30,2025-05-04,False,False
14,The greenest drinks companies of the decade - Page 4 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/4/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-11-01,2025-05-06,False,False
14,The greenest drinks companies of the decade - Page 5 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/5/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-11-02,2025-05-05,False,False
14,The greenest drinks companies of the decade - Page 6 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/6/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-11-02,2025-05-10,False,False
14,The greenest drinks companies of the decade - Page 7 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/7/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-11-14,2025-05-10,False,False
14,The greenest drinks companies of the decade - Page 9 of 9 - The Drinks Business,https://www.thedrinksbusiness.com/2018/08/the-greenest-drinks-companies-of-the-decade/9/,http://www.carbonandmore.com/,Daphne Gonnet,11,76,True,False,True,True,False,False,False,False,2024-10-19,2025-05-06,False,False
14,What’s ahead for dentistry in 2022 and beyond? | Delta Dental,https://www1.deltadentalins.com/dentists/fyi-online/2021/dentistry-in-2022.html,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,more likely,8,92,False,False,False,True,False,False,False,False,2024-10-30,2025-05-11,False,False
13,19 Best CSR Software of 2025 for Corporate Social Responsibility - People Managing People,https://peoplemanagingpeople.com/tools/best-csr-software/,https://www.carbonandmore.com/,Carbon and More,88,85,True,True,False,True,False,False,False,False,2024-11-03,2025-05-08,False,False
13,Jejak karbon,https://teknopedia.teknokrat.ac.id/wiki/Jejak_karbon,http://www.carbonandmore.com/2012/08/13/definition-carbon-footprint/,Carbon Footprint,42,432,True,False,False,True,False,False,False,False,2024-12-07,2024-12-07,False,False
11,Is Environmental Health a Social Determinant of Health? | Privia Health,https://www.priviahealth.com/blog/is-environmental-health-a-social-determinant-of-health/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,Data,32,85,False,False,False,True,False,False,False,False,2024-10-22,2025-05-05,False,False
11,Best Carbon and More Alternatives & Competitors in 2024 - SaaSHub,https://www.saashub.com/carbon-and-more-alternatives,https://www.carbonandmore.com/blog/,,19,147,True,False,False,True,False,False,False,False,2024-11-01,2025-04-01,False,False
11,Best Rallyteam Alternatives & Competitors in 2024 - SaaSHub,https://www.saashub.com/rallyteam-alternatives,https://www.carbonandmore.com/,,16,149,True,False,False,True,False,False,False,False,2024-10-04,2025-02-25,False,True
10,Reasons for Small and Medium-Size Businesses to implement a CSR program. | Research | Asia | Sustainable Business,https://www.eco-business.com/research/reasons-for-small-and-medium-size-businesses-to-implement-a-csr-program/,http://www.carbonandmore.com/wp-content/uploads/2018/01/CSR_Benefits_for_SME.pdf,Download report,15,116,False,False,False,True,False,False,False,False,2024-10-21,2025-05-06,False,False
10,Go Green & Be Seen - Recycled Paper Sends the Right Message,https://www.paperpapers.com/news/go-green-and-be-seen-recycled-paper-sends-the-right-message/,https://www.carbonandmore.com/do-consumers-prefer-eco-friendly-companies/,consumers prefer to use eco-friendly companies,14,106,False,False,False,True,False,False,False,False,2025-02-23,2025-05-09,False,False
10,Best Carbon and More Alternatives & Competitors in 2024 - SaaSHub,https://www.saashub.com/carbon-and-more-alternatives,https://www.carbonandmore.com/,Visit website,22,147,True,False,False,True,False,False,False,False,2024-06-06,2025-04-01,False,True
10,KindLink Alternatives - Top HR Products,https://www.saashub.com/kindlink-alternatives,https://www.carbonandmore.com/,,23,154,True,False,False,True,False,False,False,False,2023-11-03,2024-11-03,False,True
10,Best Onforce Alternatives & Competitors in 2024 - SaaSHub,https://www.saashub.com/onforce-alternatives,https://www.carbonandmore.com/,,17,142,True,False,False,True,False,False,False,False,2025-01-12,2025-01-12,False,False
10,Carbon And More Reviews Mar 2025: Pricing & Features | SoftwareWorld,https://www.softwareworld.co/software/carbon-and-more-reviews/,https://www.carbonandmore.com/,Visit Website,7,48,True,False,False,True,False,False,False,False,2024-11-17,2025-03-17,False,False
10,Carbon And More or EnergyElephant? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-energyelephant,https://www.carbonandmore.com/editions/,Get Free Trial,8,57,False,False,False,True,False,False,False,False,2025-01-23,2025-01-23,False,False
10,Carbon And More vs Faradai Sustain? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-faradai-sustain,https://www.carbonandmore.com/editions/,Get Free Trial,8,56,False,False,False,True,False,False,False,False,2025-01-03,2025-03-15,False,False
10,Carbon And More vs GreenFrame? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-greenframe,https://www.carbonandmore.com/editions/,Get Free Trial,9,54,False,False,False,True,False,False,False,False,2024-09-28,2025-03-24,False,False
10,Carbon And More vs Informed 365? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-informed-365,https://www.carbonandmore.com/editions/,Get Free Trial,8,56,False,False,False,True,False,False,False,False,2024-08-15,2025-03-21,False,False
10,Carbon And More vs Kabaun? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-kabaun,https://www.carbonandmore.com/editions/,Get Free Trial,8,54,False,False,False,True,False,False,False,False,2024-07-03,2025-03-21,False,False
10,Carbon And More or Net0? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-net0,https://www.carbonandmore.com/editions/,Get Free Trial,8,59,False,False,False,True,False,False,False,False,2024-09-05,2025-03-01,False,False
10,Carbon And More or Persefoni? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-persefoni,https://www.carbonandmore.com/editions/,Get Free Trial,8,57,False,False,False,True,False,False,False,False,2024-11-27,2025-01-29,False,False
10,Carbon And More vs Qualified? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-qualified,https://www.carbonandmore.com/editions/,Get Free Trial,8,64,False,False,False,True,False,False,False,False,2024-06-29,2025-03-11,False,False
10,Carbon And More vs Qualified? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-qualified-io,https://www.carbonandmore.com/editions/,Get Free Trial,9,69,False,False,False,True,False,False,False,False,2025-01-09,2025-03-16,False,False
10,Carbon And More vs ReclaimAI? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-reclaimai,https://www.carbonandmore.com/editions/,Get Free Trial,8,57,False,False,False,True,False,False,False,False,2024-11-15,2025-03-20,False,False
10,Carbon And More or SAS Data Quality? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-sas-data-quality,https://www.carbonandmore.com/editions/,Get Free Trial,8,64,False,False,False,True,False,False,False,False,2025-01-09,2025-03-10,False,False
10,Carbon And More vs Selflessly? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-selflessly,https://www.carbonandmore.com/editions/,Get Free Trial,8,58,False,False,False,True,False,False,False,False,2025-01-04,2025-03-18,False,False
10,Carbon And More or Stripe Climate? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-stripe-climate,https://www.carbonandmore.com/editions/,Get Free Trial,8,58,False,False,False,True,False,False,False,False,2024-12-24,2025-03-04,False,False
10,Carbon And More or Workvivo? A Comprehensive Review,https://www.spotsaas.com/compare/carbon-and-more-vs-workvivo,https://www.carbonandmore.com/editions/,Get Free Trial,8,58,False,False,False,True,False,False,False,False,2024-10-22,2025-03-08,False,False
10,Ecometrica Platform vs Carbon And More? A Comprehensive Review,https://www.spotsaas.com/compare/ecometrica-platform-vs-carbon-and-more,https://www.carbonandmore.com/editions/,Get Free Trial,8,54,False,False,False,True,False,False,False,False,2025-01-06,2025-03-23,False,False
10,Net0 or Carbon And More? A Comprehensive Review,https://www.spotsaas.com/compare/net0-vs-carbon-and-more,https://www.carbonandmore.com/editions/,Get Free Trial,8,61,False,False,False,True,False,False,False,False,2024-11-03,2025-02-26,False,False
10,Qualified vs Carbon And More? A Comprehensive Review,https://www.spotsaas.com/compare/qualified-vs-carbon-and-more,https://www.carbonandmore.com/editions/,Get Free Trial,8,64,False,False,False,True,False,False,False,False,2024-11-08,2025-03-14,False,False
