Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
7,Reading and Mis[s]reading the eneriwomaninterface,https://kairos.technorhetoric.net/6.2/features/smith/intro.htm,http://www.eaze.net/~jfbarber/cw2k/entranceframeset.html,CW2K,1,9,False,False,False,True,False,False,False,False,2024-10-11,2025-05-08,False,False
17,Colophon,https://wac.colostate.edu/aw/connections/cw99/colophon.html,http://www.eaze.net/~jfbarber/frontpage.html,www.eaze.net/~jfbarber/frontpage.html,2,0,False,False,False,True,False,False,False,False,2024-10-10,2025-04-30,False,False
6,Computer Co-Authors for Fiction,https://www.nickm.com/if/cw2k.html,http://www.eaze.net/~jfbarber/cw2k/entranceframeset.html,Computers and Writing 2000,2,4,False,False,False,True,False,False,False,False,2024-09-08,2025-04-29,False,False
12,Kindred Spirits in TX... | TFL purple rc1,https://purple.thefiringline.com/threads/kindred-spirits-in-tx.50742/,http://www.eaze.net/~tacpro/,http://www.eaze.net/~tacpro/,3,98,False,False,False,True,False,False,False,False,2024-11-30,2025-03-24,False,False
18,Humanist.Archives.Vol.13: 13.0174 job for web-ster; tech design competition,http://lists.village.virginia.edu/lists_archive/Humanist/v13/0170.html,http://www.eaze.net/~jfbarber/cw2k/bridge.html,http://www.eaze.net/~jfbarber/cw2k/bridge.html,3,6,False,False,False,True,False,False,False,False,2024-09-06,2024-11-27,False,False
7,"Sur Richard Brautigan : Western, polar, bière, vagabondage, pêche et poésie - La Revue des Ressources",https://larevuedesressources.org/Sur-Richard-Brautigan-Western-polar-biere-vagabondage-peche-et-poesie.html?debut_lesart=10,http://www.eaze.net/~jfbarber/brautigan/,un site anglais sur Brautigan,4,57,False,False,False,True,False,False,False,False,2025-01-27,2025-01-27,False,False
7,Creating Harmony Within Your Body,https://stairway2hope.fortunecity.ws/,http://www.eaze.net/~lore/index.html/,Spiritual Help,4,2,False,False,False,True,False,False,False,False,2024-09-25,2024-12-30,False,False
11,Locus Online: Author Appearances May 2000,https://www.locusmag.com/2000/Future/Appear05.html,http://www.eaze.net/~jfbarber/cw2k/entranceframeset.html,Computers and Writing 2000 Conference,5,15,False,False,False,True,False,False,False,False,2023-09-08,2025-04-04,False,False
6,Kids.Net.Au - Encyclopedia > Richard Brautigan,http://encyclopedia.kids.net.au/page/ri/Richard_Brautigan,http://www.eaze.net/~jfbarber/brautigan/,The most comprehensive website available focusing on the life and work of Richard Brautigan.,8,22,False,False,False,True,False,False,False,False,2024-09-17,2025-04-14,False,False
9,"Graham Street Church of Christ - Church of Christ church in Stephenville, TX 76401 | FaithStreet",https://www.faithstreet.com/church/graham-street-church-of-christ-stephenville-texas,http://www.eaze.net/~yelorose/Index1/htm,http://www.eaze.net/~yelorose/Index1/htm,8,104,False,False,False,True,False,False,False,False,2024-11-25,2025-04-27,False,False
6,some one has to do this topic! - Geocaching Australia,https://forum.geocaching.com.au/viewtopic.php?t=1978,http://www.eaze.net/~citius/santa.htm,http://www.eaze.net/~citius/santa.htm,9,77,False,False,False,True,False,False,False,False,2023-09-11,2024-11-23,False,True
5,q=eaze.net - eaze.net=235 emails,https://www.skymem.info/srch?q=eaze.net,https://eaze.net/,outbound_outline,9,26,False,False,False,True,False,False,False,False,2024-10-20,2025-03-12,False,False
7,,https://www.eliterature.org/chats/040602.html,http://www.eaze.net:7000/,http://www.eaze.net:7000,10,1,False,False,False,True,False,False,False,False,2024-09-07,2025-04-29,False,False
12,Medea,http://abacus.bates.edu/~mimber/Medea/medea.htm,http://www.eaze.net/~dene/Medea_resources.html,Euripides's Medea Resources,10,0,False,False,False,True,False,False,False,False,2024-10-07,2025-05-13,False,False
10,,https://5.17.147.6.hosted-by.leaseweb.oocities.org/Heartland/Bluffs/2779/geobook6.htm,http://www.eaze.net/~lore/index.html,http://www.eaze.net/~lore/index.html,10,7,False,False,False,True,False,False,False,False,2025-02-23,2025-04-24,False,False
13,AMANDA'S FRIENDS,http://geocities.ws/server2/homestead/westhollywood/5710/friendslinks2.html,http://www.eaze.net/~rpdig/~~dig.html,Donna Gray's Home Page,11,27,False,False,False,True,False,False,False,False,2024-10-02,2025-03-24,False,False
5,Arvutimaailm 10/02 | AM.ee,https://www.am.ee/node/101,http://www.eaze.net/~citius/santa.htm,www.eaze.net/~citius/santa.htm,12,28,False,False,False,True,False,False,False,False,2024-09-29,2025-05-04,False,False
5,The Use of the WWW for Teaching Foreign Literature,http://rapidintellect.com/AEQweb/mo2247july.htm,http://www.eaze.net/~dene/scmla_paper.html,http://www.eaze.net/~dene/scmla_paper.html,12,1,False,False,False,True,False,False,False,False,2024-10-30,2025-04-28,False,False
8,"Boobies one more size ""2"" - Page 4 - The Bonfire - Dropzone.com",https://www.dropzone.com/forums/topic/231118-boobies-one-more-size-%222%22/page/4/,http://www.stephenville.eaze.net/ferret/skydiving/0120PICX.jpg,Pic 1,13,178,False,False,False,True,False,False,False,False,2024-09-22,2025-01-05,False,True
9,Coton Camaraderie,https://www.members.tripod.com/~cotonproducts/links.html,http://www.eaze.net/~casablancacoton,http://www.eaze.net/~casablancacoton,15,7,False,False,False,True,False,False,False,False,2025-01-01,2025-01-01,False,False
9,U.S. Scouting Service Project - Baloo's Bugle - Web Links,http://usscouts.org/bbugle/bb9811/bb9811wl.html,http://www.eaze.net/~citius/santa.htm,http://www.eaze.net/~citius//santa.htm,16,9,False,False,False,True,False,False,False,False,2024-10-06,2025-04-29,False,False
10,Rhizome > community > PRE-ISEA Event: Remaking Reality: CAiiA-STAR@IAMAS Symposium - Japan Oct25th,https://rhizome.org/community/2899/,http://www.eaze.net/~dene,http://www.eaze.net/~dene,20,20,False,False,False,True,False,False,False,False,2024-01-15,2025-01-13,False,True
28,Nanobes - Images and Links,http://www.microscopy-uk.org.uk/nanobes/nanoimages.html,http://www.eaze.net/~wspencer/MARSLIFR.HTM,Source 3,22,13,False,False,False,True,False,False,False,False,2024-10-14,2025-05-13,False,False
7,Linux AI & Alife HOWTO: Traditional Artificial Intelligence,https://ftp.pslib.cz/linux/redhat-cz/6.2/supp/HOWTOS/other-formats/html/AI-Alife-HOWTO/AI-Alife-HOWTO-2.html,http://lynx.eaze.net/~pdkb/web/,lynx.eaze.net/~pdkb/web/,26,3,False,False,False,True,False,False,False,False,2025-01-18,2025-05-05,False,False
18,GNU/Linux AI & Alife HOWTO: Traditional Artificial Intelligence,https://legacy.redhat.com/pub/redhat/linux/7.1/fr/doc/HOWTOS/other-formats/html/AI-Alife-HOWTO-html/AI-Alife-HOWTO-2.html,http://lynx.eaze.net/~pdkb/web/,lynx.eaze.net/~pdkb/web/,32,0,False,False,False,True,False,False,False,False,2024-09-04,2025-04-28,False,False
12,GNU/Linux AI & Alife HOWTO: Traditional Artificial Intelligence,https://rsync9.de.gentoo.org/Mirrors/archive.download.redhat.com/redhat/linux/7.1/de/doc/HOWTOS/other-formats/html/AI-Alife-HOWTO-html/AI-Alife-HOWTO-2.html,http://lynx.eaze.net/~pdkb/web/,lynx.eaze.net/~pdkb/web/,32,0,False,False,False,True,False,False,False,False,2025-02-01,2025-04-17,False,False
