Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
6,Female Filmmaker Has Ferndale Roots | Bellingham Alive April Edition,https://bellinghamalive.com/lifestyle/female-filmmaker-has-ferndale-roots/,http://www.letmedia.org/,letmedia.org,4,54,False,False,False,True,False,False,False,False,2024-06-28,2025-04-24,False,False
9,Sarah Menzies - Rocky Mountain Women's Film,https://rmwfilm.org/filmmakers/sarah-menzies/,http://www.letmedia.org/,Official website,5,19,False,False,False,True,False,False,False,False,2024-05-18,2025-04-21,False,False
7,A Steelhead Quest | Global FlyFisher,https://www.globalflyfisher.com/video/a-steelhead-quest,http://www.letmedia.org/,http://www.letmedia.org/,5,136,False,False,False,True,False,False,False,False,2024-07-08,2025-03-23,False,False
5,Kurzfilm Catch it,https://ich-liebe-berge.ch/kurzfilm-catch-it/,http://www.letmedia.org/,Let Media,5,38,False,False,False,True,False,False,False,False,2023-03-06,2025-05-01,False,True
15,5050 on the water Archives - Page 2 of 23 - Orvis News,https://news.orvis.com/tag/5050-on-the-water/page/2,https://www.letmedia.org/,"Let Media,",6,44,False,False,False,True,False,False,False,False,2024-10-22,2025-05-03,False,False
5,The Mirnavator,https://shaff.co.uk/shaff19/the-minervator,http://www.letmedia.org/,,7,55,False,False,False,True,False,False,False,False,2024-07-07,2025-05-04,False,False
17,Beyond Inspiring: Afghanistan's First All-Women Cycling Team - Outside Online,https://test.outsideonline.com/video/beyond-inspiring-afghanistans-first-all-women-cycling-team/,http://www.letmedia.org/,Let Media,8,42,False,False,False,True,False,False,False,False,2024-10-14,2025-02-22,False,False
19,"The Secret to a Happy Life, According to a French Surfer Who Lives in Northern Norway - The Atlantic",https://www.theatlantic.com/video/index/389090/the-happy-life-of-a-nomadic-surfer/,http://www.letmedia.org/,Sarah Menzies,8,94,False,False,False,True,False,False,False,False,2024-10-29,2025-04-30,False,False
8,"Our Water, Our Future",https://wp2018.storyofstuff.org/movies/our-water-our-future/,http://www.letmedia.org/,Let Media,8,34,False,False,False,True,False,False,False,False,2024-07-18,2025-04-26,False,False
7,The Steelhead Quest - The FlyFish Journal,https://www.theflyfishjournal.com/2017/05/the-steelhead-quest/,http://www.letmedia.org/,Let Media,11,28,False,False,False,True,False,False,False,False,2023-10-20,2025-02-28,False,True
8,A Steelhead Quest: Portrait of a Rivered Life - Wild & Scenic Film Festival,https://wildandscenicfilmfestival.org/film/steelhead-quest-portrait-rivered-life/,http://www.letmedia.org/,www.letmedia.org,12,15,False,False,False,True,False,False,False,False,2024-11-07,2025-05-04,False,False
13,"Léa Brassy, Norway's Cold Water Princess | The Inertia",https://www.theinertia.com/surf/lea-brassy-norways-cold-water-princess/,http://www.letmedia.org/,Let Media,14,25,False,False,False,True,False,False,False,False,2024-07-17,2025-05-08,False,False
13,She Explores,https://she-explores.simplecast.com/episodes/4d632fbb-4d632fbb/transcript,http://www.letmedia.org/,Let Media,14,0,False,False,False,True,False,False,False,False,2024-07-18,2025-05-02,False,False
19,Woman Behind The Lens: Documentary Filmmaker Sarah Menzies - Uncommon Path – An REI Co-op Publication,https://www.rei.com/blog/travel/woman-behind-the-lens-documentary-filmmaker-sarah-menzies,http://www.letmedia.org/,Let Media,17,109,False,False,False,True,False,False,False,False,2024-10-30,2025-04-12,False,False
14,Afghanistan: Sarah Menzies filme ces femmes qui conquièrent leur liberté en vélo | Les Inrocks,https://www.lesinrocks.com/cheek/afghanistan-sarah-menzies-filme-ces-femmes-qui-conquierent-leur-liberte-en-velo-317097-05-10-2015/,http://www.letmedia.org/,Let Media,18,116,False,False,False,True,False,False,False,False,2024-06-14,2024-11-23,False,False
8,Wild and Scenic Film Festival Recap - ACES,https://aspennature.org/blog/wild-and-scenic-film-festival-recap/,http://www.letmedia.org/,,27,125,False,False,False,False,False,False,True,False,2024-06-22,2025-05-08,False,False
8,Wild & Scenic Film Festival comes to Jupiter - Palm Beach Illustrated,https://www.palmbeachillustrated.com/wild-scenic-film-festival-comes-to-jupiter/,http://www.letmedia.org/,Catch It,31,58,False,False,False,True,False,False,False,False,2024-06-16,2025-05-09,False,False
12,LINKS & PROJECTS,https://academics.smcvt.edu/mjda/ADVENTURE%20-%20ENV%20FILM/Admin-Syllabus/adventure%20film%20website/links---projects.html,http://www.letmedia.org/,Sarah Menzies LET MEDIA,45,13,False,False,False,True,False,False,False,False,2024-09-15,2025-05-01,False,False
5,FAT GIRL RUNNING: Doing the Most,http://fatgirlrunning-fatrunner.blogspot.com/2017/08/doing-most.html,http://www.letmedia.org/,http://www.letmedia.org/,111,89,False,False,False,True,False,False,False,False,2024-06-18,2025-05-13,False,False
