Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
5,,https://yeahdave.com/,https://namastenourished.com/press-release-yeahdave-com-acquired-by-namaste-nourished/,,0,0,False,False,False,True,False,False,False,False,2024-02-03,2025-01-25,False,True
25,Namaste Nourished (namastenourished) - Profile | Pinterest,https://no.pinterest.com/namastenourished/,https://namastenourished.com/,namastenourished.com ; Opens a new tab,1,15,False,False,False,True,False,False,False,False,2023-12-12,2025-04-20,False,False
12,Creating the Habit of Meditation Mini-Course – Sea Change,https://seachange.zenhabits.net/creating-the-habit-of-meditation-mini-course/,https://namastenourished.com/press-release-yeahdave-com-acquired-by-namaste-nourished/,David Romanelli of Livin’ in the Moment,2,14,False,False,False,True,False,False,False,False,2024-09-08,2024-11-29,False,False
18,Yoga and wine intertwine for maximum bliss,https://archive.jsonline.com/features/food/43814697.html,https://namastenourished.com/press-release-yeahdave-com-acquired-by-namaste-nourished/,www.yeahdave.com,2,3,False,False,False,True,False,False,False,False,2024-03-05,2025-02-24,False,True
13,Good Spa Guide | The Good Spa Guide talks to yoga guru David Romanelli,https://goodspaguide.co.uk/blog/the-good-spa-guide-talks-to-yoga-guru-david-romanelli,https://namastenourished.com/press-release-yeahdave-com-acquired-by-namaste-nourished/,www.yeahdave.com,5,62,False,False,False,True,False,False,False,False,2024-02-22,2025-02-21,False,True
6,Live Simply: Daily Memories Create Joy | YouBeauty,https://www.youbeauty.com/life/live-in-the-moment/,https://namastenourished.com/in-home-retreat,Sign up here,6,110,False,False,False,True,False,False,False,False,2024-01-27,2024-12-28,False,True
5,6 Ways to Create a More Balanced Life : Bodhi Tree,https://bodhitree.com/balanced-life/,https://namastenourished.com/press-release-yeahdave-com-acquired-by-namaste-nourished/,Dave Romanelli,6,167,False,False,False,True,False,False,False,False,2023-07-09,2025-03-28,False,True
5,The Wild Camping Mindset - Nearly Wild Camping,https://nearlywildcamping.org/the-wild-camping-mindset/,https://namastenourished.com/growth-mindset/,https://namastenourished.com/growth-mindset/,6,28,False,False,False,True,False,False,False,False,2024-09-07,2025-03-19,False,False
9,"Stretch, Eat and Be Yogi",https://foodchannel.com/2010/stretch-eat-and-be-yogi,https://namastenourished.com/yeah-dave-yoga/yoga-workshops/jam-sessions-yoga-for-foodies/,website,8,82,False,False,False,True,False,False,False,False,2022-10-02,2025-03-06,False,True
6,Author Profile for Dave Romanelli,https://www.porchlightbooks.com/authors/r/d/dave-romanelli-9044050,https://namastenourished.com/press-release-yeahdave-com-acquired-by-namaste-nourished/,www.yeahdave.com,9,74,False,False,False,True,False,False,False,False,2023-12-05,2024-11-06,False,True
