Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
59,Animals Available for Adoption - Ontario SPCA and Humane Society,https://ontariospca.ca/adopt/view-pets-for-adoption/,https://quintehumanesociety.com/adoption.php,"Humane Society Hastings Prince Edward, formerly “Quinte Humane Society”",27,56,False,False,False,True,False,False,False,False,2024-08-23,2025-04-30,False,False
23,Kids+Crayons - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRS&q=Kids%2BCrayons,https://walk.quintehumanesociety.com/kidzone.php,walk.quintehumanesociety.com,40,167,False,False,False,True,False,False,False,False,2023-08-18,2024-12-04,False,True
18,Boss Mare Eventing,http://bossmareeventing.blogspot.com/,http://www.quintehumanesociety.com/,Quinte Humane Society,70,13,False,False,False,True,False,False,False,True,2024-07-29,2025-04-23,False,False
17,Employee Giving – LifeLabs,https://lifelabs.com/sustainabilities/employee-giving/,https://www.quintehumanesociety.com/,Quinte Humane Society,112,81,False,False,False,True,False,False,False,False,2024-10-25,2025-04-28,False,False
17,Employee Giving – LifeLabs,https://www.lifelabs.com/sustainabilities/employee-giving/,https://www.quintehumanesociety.com/,Quinte Humane Society,112,81,False,False,False,True,False,False,False,False,2024-07-04,2025-04-28,False,False
15,Trenton Food Bank | Sharing & Caring,https://trentonfoodbank.ca/,https://quintehumanesociety.com/,,14,19,False,False,False,True,False,False,False,False,2024-08-20,2025-05-12,False,False
14,Lifechanging partnerships: Service dogs and PTSD - Ontario SPCA and Humane Society,https://ontariospca.ca/blog/lifechanging-partnerships-service-dogs-and-ptsd/,https://quintehumanesociety.com/,Quinte Humane Society,19,95,False,False,False,True,False,False,False,False,2024-07-29,2025-05-11,False,False
14,Northern community transfer dogs ready for adoption! - Ontario SPCA and Humane Society,https://ontariospca.ca/blog/transfer-dogs-ready-for-adoption/,http://quintehumanesociety.com/,Quinte Humane Society,17,101,False,False,False,True,False,False,False,False,2024-08-12,2025-05-08,False,False
14,Ontario SPCA,https://secure.ontariospca.ca/site/SPageNavigator/Cupcake13_participatingsocieties.html,http://www.quintehumanesociety.com/,www.quintehumanesociety.com,26,58,False,False,False,True,False,False,False,False,2024-09-06,2025-01-31,False,False
14,Ontario SPCA,https://secure.ontariospca.ca/site/SPageServer?pagename=%2FCupcake13_participatingsocieties,http://www.quintehumanesociety.com/,www.quintehumanesociety.com,26,58,False,False,False,True,False,False,False,False,2024-07-15,2025-02-08,False,False
