Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
53,下载变速精灵-变速精灵下载-官方网站-兄弟工作组,http://www.vrbrothers.com/cn/speeder/download.htm,http://www.speederxp.com/,,14,11,False,False,False,False,False,False,True,False,2024-06-23,2025-04-25,False,False
24,荒氏用ツール保管庫 | ～кёяo†‡【真の友情】иoяд†‡～ - 楽天ブログ,https://plaza.rakuten.co.jp/syousinano1/3000/,http://www.speederxp.com/en/download.htm,スピーターXPダウンロード,8,44,False,False,False,True,False,False,False,False,2024-10-07,2025-04-14,False,False
24,ツール倉庫 | ハンゲーム 荒らし技 - 楽天ブログ,https://plaza.rakuten.co.jp/yuji0702/4004/,http://www.speederxp.com/en/download.htm,スピーダーＸＰ,7,44,False,False,False,False,False,False,True,False,2024-06-19,2025-04-03,False,False
22,SpeederXP لـ Windows - قم بتنزيله من Uptodown مجانا,https://speederxp.ar.uptodown.com/windows,http://www.speederxp.com/en/index.html,Brothers Software,8,87,True,False,False,True,False,False,False,False,2024-06-13,2025-05-05,False,False
22,قم بتنزيل SpeederXP 1.80 لـ Windows | Uptodown.com,https://speederxp.ar.uptodown.com/windows/download,http://www.speederxp.com/en/index.html,Brothers Software,8,95,True,False,False,True,False,False,False,False,2024-05-24,2025-05-01,False,False
22,SpeederXP para Windows - Baixe gratuitamente na Uptodown,https://speederxp.br.uptodown.com/windows,http://www.speederxp.com/en/index.html,Brothers Software,8,88,True,False,False,True,False,False,False,False,2024-06-13,2025-05-05,False,False
22,Baixe SpeederXP 1.80 para Windows | Uptodown.com,https://speederxp.br.uptodown.com/windows/download,http://www.speederxp.com/en/index.html,Brothers Software,8,93,True,False,False,True,False,False,False,False,2024-05-24,2025-05-01,False,False
22,SpeederXP针对于Windows - 从Uptodown上免费地下载它,https://speederxp.cn.uptodown.com/windows,http://www.speederxp.com/en/index.html,Brothers Software,8,88,True,False,False,True,False,False,False,False,2024-06-13,2025-05-05,False,False
22,下载SpeederXP 1.80针对于Windows | Uptodown.com,https://speederxp.cn.uptodown.com/windows/download,http://www.speederxp.com/en/index.html,Brothers Software,8,95,True,False,False,True,False,False,False,False,2024-05-24,2025-05-01,False,False
22,SpeederXP für Windows - Lade es kostenlos von Uptodown herunter,https://speederxp.de.uptodown.com/windows,http://www.speederxp.com/en/index.html,Brothers Software,8,89,True,False,False,True,False,False,False,False,2024-06-14,2025-05-05,False,False
