Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
13,Food Without Borders,https://food-without-borders.simplecast.com/episodes/7cd5d016-7cd5d016,https://equityatthetable.com/directory/cleopatra-zuli/,Cleopatra Zuli,2,1,False,False,False,True,False,False,False,False,2024-06-27,2025-04-28,False,False
14,When dinner tables bridge political divides. new america resilience- Resilience,https://resilience.newamerica.org/when-dinner-tables-bridge-political-divides/,https://equityatthetable.com/join/,EATT,6,42,False,False,False,True,False,False,False,False,2024-09-05,2025-05-10,False,False
9,"Kirsten Saladow - Facebook, LinkedIn, Twitter",https://clay.earth/profile/kirsten-saladow,https://equityatthetable.com/directory/kirsten-saladow/,3,6,14,False,False,False,True,False,False,False,False,2024-11-25,2025-03-02,False,False
14,"Make a Pizza with Edible Flowers, It's Like Eating Summer - Chef and Author Robin Asbell",https://robinasbell.com/2019/08/make-a-pizza-with-edible-flowers-its-like-eating-summer/,https://equityatthetable.com/directory/jametta-raspberry/,Jametta Raspberry,7,1039,False,False,False,True,False,False,False,False,2024-08-03,2025-05-06,False,False
10,Julia Turshen: Equitable Storytelling Through Home Cooking | Shelf Awareness,https://shelf-awareness.com/readers/2021-03-05/julia_turshen:_equitable_storytelling_through_home_cooking.html,https://equityatthetable.com/,Equity at the Table,8,27,False,False,False,True,False,False,False,False,2024-08-17,2025-04-26,False,False
7,Julia Turshen Event! — Katonah Reading Room,https://www.katonahreadingroom.com/things-i-think-about/julia-turshen-event,https://equityatthetable.com/,Equity At The Table,8,19,False,False,False,True,False,False,False,False,2025-02-17,2025-04-26,False,False
8,Julia Turshen on Creating Equity at the Table | Share Our Strength,https://shareourstrength.org/podcast/fighting-gender-and-racial-discrimination-in-the-food-industry-author-and-activist-julia-turshen/,https://equityatthetable.com/,https://equityatthetable.com/,8,44,False,False,False,True,False,False,False,False,2024-07-21,2025-04-27,False,False
10,"Pro Bono Perspectives: Julia Turshen, ""Simply Julia""",https://app.3blmedia.com/news/pro-bono-perspectives-s3e11-julia-turshen-simply-julia,https://equityatthetable.com/,equityatthetable.com,9,37,False,False,False,True,False,False,False,False,2024-11-01,2025-04-12,False,False
8,Planning Inclusive Events - Paradigm,https://www.paradigmiq.com/blog/planning-inclusive-events/,https://equityatthetable.com/,(EATT),9,54,False,False,False,True,False,False,False,False,2024-08-16,2025-05-04,False,False
9,Mit csinál egy ételaktivista? - Magyar Konyha Online,http://magyarkonyhaonline.hu/cikkek/mit-csinal-egy-etelaktivista,https://equityatthetable.com/,Equity at the Table,10,23,False,False,False,True,False,False,False,False,2024-09-15,2025-05-04,False,False
8,Simply Julia: A Virtual Demo with Julia Turshen,https://www.bakewithzing.com/class/simply-julia-virtual-demo-julia-turshen,http://equityatthetable.com/,Equity At The Table (EATT),10,21,False,False,False,True,False,False,False,False,2024-07-20,2025-05-02,False,False
36,"‘Salt, Fat, Acid, Heat’ Is a Love Letter to Amateur Cooks - The Atlantic",https://www.theatlantic.com/entertainment/archive/2018/10/samin-nosrat-salt-fat-acid-heat-netflix/572731/,https://equityatthetable.com/about/,"Equity at the Table, or EATT",10,52,False,False,False,True,False,False,False,False,2024-08-31,2025-04-26,False,False
